document;span;property;span_gold_qid;retrieved_context_texts;llm_answer;prediction;prediction_label;prediction_description;llm_answer_correct;pred_qid_correct;gold_standard;in_web;in_corpus;Verified;Source
The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.;Agnes Drummond;given name;NIL;['The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale. Miss Adelaide Pulham, Miss Fanny Henman, and Mr. George F, Smith, R.A.M., presided at the pianoforte, and Mr. C. P. Mann conducted. The programme comprised many well-known songs, several of which were encored. A pianoforte and concertina duet by Mr. C. P. Mann and Mr. E, Stone, on ‘“* Scotch Airs,” was loudly applauded.', 'Stone.—Mr. Gundry gave a Concert at the Town Hall, on Wednesday evening, the oth inst., when the following artists were engaged :— Madame Clara Suter, Madame Alice Barnett, Mr. Wallace Wells, Mr. Henry Pyatt, Mr. T. Harper (solo Trumpet), and Mr. Arthur H.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.'];['Agnes'];[np.str_('Q16010167')];Ágnes;female given name;;;Q394431;no;yes;yes;
The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.;Agnes Drummond;sex or gender;NIL;['The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale. Miss Adelaide Pulham, Miss Fanny Henman, and Mr. George F, Smith, R.A.M., presided at the pianoforte, and Mr. C. P. Mann conducted. The programme comprised many well-known songs, several of which were encored. A pianoforte and concertina duet by Mr. C. P. Mann and Mr. E, Stone, on ‘“* Scotch Airs,” was loudly applauded.', 'Stone.—Mr. Gundry gave a Concert at the Town Hall, on Wednesday evening, the oth inst., when the following artists were engaged :— Madame Clara Suter, Madame Alice Barnett, Mr. Wallace Wells, Mr. Henry Pyatt, Mr. T. Harper (solo Trumpet), and Mr. Arthur H.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.'];['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;no;yes;yes;
The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.;Agnes Drummond;country of citizenship;NIL;['The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale. Miss Adelaide Pulham, Miss Fanny Henman, and Mr. George F, Smith, R.A.M., presided at the pianoforte, and Mr. C. P. Mann conducted. The programme comprised many well-known songs, several of which were encored. A pianoforte and concertina duet by Mr. C. P. Mann and Mr. E, Stone, on ‘“* Scotch Airs,” was loudly applauded.', 'Stone.—Mr. Gundry gave a Concert at the Town Hall, on Wednesday evening, the oth inst., when the following artists were engaged :— Madame Clara Suter, Madame Alice Barnett, Mr. Wallace Wells, Mr. Henry Pyatt, Mr. T. Harper (solo Trumpet), and Mr. Arthur H.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.'];['United Kingdom of Great Britain and Ireland'];[np.str_('Q145')];United Kingdom;country in north-west Europe;;;Q145;no;yes;yes;
The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.;Agnes Drummond;occupation;NIL;['The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale. Miss Adelaide Pulham, Miss Fanny Henman, and Mr. George F, Smith, R.A.M., presided at the pianoforte, and Mr. C. P. Mann conducted. The programme comprised many well-known songs, several of which were encored. A pianoforte and concertina duet by Mr. C. P. Mann and Mr. E, Stone, on ‘“* Scotch Airs,” was loudly applauded.', 'Stone.—Mr. Gundry gave a Concert at the Town Hall, on Wednesday evening, the oth inst., when the following artists were engaged :— Madame Clara Suter, Madame Alice Barnett, Mr. Wallace Wells, Mr. Henry Pyatt, Mr. T. Harper (solo Trumpet), and Mr. Arthur H.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.'];['artist', 'musician', 'singer', 'performer'];[np.str_('Q3391743'), np.str_('Q12374149'), np.str_('Q65620039'), np.str_('Q15214752')];"visual artist; rock musician; soul singer; cabaret performer";"artist involved with the visual arts; musician playing rock music; singer who sings soul songs; performing artist specialized in cabaret";;;Q177220;no;yes;yes;
The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.;Agnes Drummond;date of birth;NIL;['The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale. Miss Adelaide Pulham, Miss Fanny Henman, and Mr. George F, Smith, R.A.M., presided at the pianoforte, and Mr. C. P. Mann conducted. The programme comprised many well-known songs, several of which were encored. A pianoforte and concertina duet by Mr. C. P. Mann and Mr. E, Stone, on ‘“* Scotch Airs,” was loudly applauded.', 'Stone.—Mr. Gundry gave a Concert at the Town Hall, on Wednesday evening, the oth inst., when the following artists were engaged :— Madame Clara Suter, Madame Alice Barnett, Mr. Wallace Wells, Mr. Henry Pyatt, Mr. T. Harper (solo Trumpet), and Mr. Arthur H.', 'Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.'];;;;;;;NIL;no;no;yes;
The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.;Agnes Drummond;family name;;;;;;;;;Q16869679;yes;yes;yes;
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Agnes Larkcom;given name;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['Agnes'];[np.str_('Q16010167')];Ágnes;female given name;;;Q394431;yes;yes;yes;https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Agnes Larkcom;sex or gender;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['female'];[np.str_('Q6581072')];female;"to be used in ""sex or gender"" (P21) to indicate that the human subject is a female or ""semantic gender"" (P10339) to indicate that a word refers to a female person";;;Q6581072;yes;yes;yes;https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Agnes Larkcom;country of citizenship;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['United Kingdom of Great Britain and Ireland'];[np.str_('Q145')];United Kingdom;country in north-west Europe;;;Q145;yes;yes;yes;https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.;Agnes Larkcom;occupation;NIL;"['High CoMMENDATIONS (to those who have already received Bronze Medals.)—Singing: Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams. Pianoforte: Clara Cooper, Ellen Holmes, Isabel Thurgood.', 'Butherworth, Mrs. Florence Marshall. Letters of Commenstion : Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell. Sterndale Bennett Prize (Purse, mtaining Ten Guineas): Miss Annie Jane Martin. Highly wa ed: Miss Agnes A. Channell (Silver Medallis t, Mars Department. — Silver Medals : Master Harry Walker (Pianoforte); Mr. W. A. Howells (Singing). Bronze Medals: Messrs. F. Weekes, F. Done, B. E. Elmenhorst, ii. Wadmore, H. A. Pope. A Prize Violin Bow (kindly m to the Institution by Mr. James Tubbs, of Wardour get): Mr. J. H. Reed. Books: Mesars. T. Matthay, H.', 'Troup (Pianoforte),! Miss Elizabeth Connolly (Pianoforte) ; ius Amy E. Turner Burnett (Pianoforte), Miss Mary aylor (General Progress); Miss Jessie Jones (Singing); s Sarah A. Goode (Singing). Bronze Medals: Misses Cornish, Isabella. . BcCarty, Eliza J. Hopkins, . Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis. Books: feces Helen Pamphilon, Hllen Edridge, Maria Combs, ei Harraden, Catherine Beaumont, Mary Roffe, Clara Baley, Ellen Hancock, Ellinor Blake, Edith Brand, Alice Chapman, Janie Burrough, Hannah Edouard, Mary E.']";['singer'];[np.str_('Q65620039')];soul singer;singer who sings soul songs;;;Q98834068, Q7939609;yes;yes;yes;https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
