document_id	sentence	named entity mention 	named entity QID	named entity type	property	property value QID	in_web	in_corpus	Verified	Source
TheMusicalTimes__1875-388.txt_1671	The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.	Agnes Drummond	NIL	person	given name	Q394431	no	yes	yes	
TheMusicalTimes__1875-388.txt_1671	The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.	Agnes Drummond	NIL	person	sex or gender	Q6581072	no	yes	yes	
TheMusicalTimes__1875-388.txt_1671	The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.	Agnes Drummond	NIL	person	country of citizenship	Q145	no	yes	yes	
TheMusicalTimes__1875-388.txt_1671	The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.	Agnes Drummond	NIL	person	occupation	Q177220	no	yes	yes	
TheMusicalTimes__1875-388.txt_1671	The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.	Agnes Drummond	NIL	person	date of birth	NIL	no	no	yes	
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Agnes Larkcom	NIL	person	given name	Q394431	yes	yes	yes	https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Agnes Larkcom	NIL	person	sex or gender	Q6581072	yes	yes	yes	https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Agnes Larkcom	NIL	person	country of citizenship	Q145	yes	yes	yes	https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Agnes Larkcom	NIL	person	occupation	Q98834068, Q7939609	yes	yes	yes	https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Agnes Larkcom	NIL	person	date of birth	1865	yes	yes	yes	https://shigovoicelessons.com/voicetalk//2016/04/the-garcia-lineage-agnes-larkcom.html
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	Agnes Robinson	NIL	person	given name	Q16010167	no	yes	yes	Corpus
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	Agnes Robinson	NIL	person	sex or gender	Q6581072	no	yes	yes	Corpus
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	Agnes Robinson	NIL	person	country of citizenship	NIL				
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	Agnes Robinson	NIL	person	occupation	Q29448653	no	yes	yes	Corpus
TheMusicalTimes__1876-397.txt_2399	Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.	Agnes Robinson	NIL	person	date of birth	NIL				
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Alice Mary Curtis	NIL	person	given name	Q112679131	no	yes	yes	
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Alice Mary Curtis	NIL	person	sex or gender	Q6581072	no	yes	yes	
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Alice Mary Curtis	NIL	person	country of citizenship	Q145	no	yes	yes	
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Alice Mary Curtis	NIL	person	occupation	Q29448653	no	yes	yes	
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Alice Mary Curtis	NIL	person	date of birth	NIL	no	no	yes	
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Amy Aylward	NIL	person	given name	Q481809				https://thewomenwhomademe.wordpress.com/2017/10/08/amy-as-story/
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Amy Aylward	NIL	person	sex or gender	Q6581072				https://thewomenwhomademe.wordpress.com/2017/10/08/amy-as-story/
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Amy Aylward	NIL	person	country of citizenship	Q145				https://thewomenwhomademe.wordpress.com/2017/10/08/amy-as-story/
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Amy Aylward	NIL	person	occupation	Q98834068				https://thewomenwhomademe.wordpress.com/2017/10/08/amy-as-story/
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Amy Aylward	NIL	person	date of birth	NIL				https://thewomenwhomademe.wordpress.com/2017/10/08/amy-as-story/
Dwight's Journal of Music_1859-004_ms_4	The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.	Angele Cordier	NIL	person	given name	Q533686				https://thewomenwhomademe.wordpress.com/2017/10/08/amy-as-story/
Dwight's Journal of Music_1859-004_ms_4	The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.	Angele Cordier	NIL	person	sex or gender	Q6581072				
Dwight's Journal of Music_1859-004_ms_4	The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.	Angele Cordier	NIL	person	country of citizenship	Q142				
Dwight's Journal of Music_1859-004_ms_4	The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.	Angele Cordier	NIL	person	occupation	Q33999, Q693249, Q2865819				
Dwight's Journal of Music_1859-004_ms_4	The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.	Angele Cordier	NIL	person	date of birth	NIL				
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Annie Albu	NIL	person	given name	Q566893	yes	yes	yes	https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Annie Albu	NIL	person	sex or gender	Q6581072	yes	yes	yes	https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Annie Albu	NIL	person	country of citizenship	Q145	yes	yes	yes	https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Annie Albu	NIL	person	occupation	Q177220, Q639669	yes	yes	yes	https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
TheMusicalTimes__1876-402.txt_1172	Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.	Annie Albu	NIL	person	date of birth	1858	yes	yes	yes	https://kurtofgerolstein.blogspot.com/2019/05/when-girl-isnt-pretty-but-she-can-sing.html
TheMusicalTimes__1873-366.txt_1406	Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.	Annie Bradley	NIL	person	given name	Q566893				
TheMusicalTimes__1873-366.txt_1406	Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.	Annie Bradley	NIL	person	sex or gender	Q6581072				
TheMusicalTimes__1873-366.txt_1406	Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.	Annie Bradley	NIL	person	country of citizenship	Q145				
TheMusicalTimes__1873-366.txt_1406	Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.	Annie Bradley	NIL	person	occupation	NIL				
TheMusicalTimes__1873-366.txt_1406	Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.	Annie Bradley	NIL	person	date of birth	NIL				
TheMusicalTimes__1876-402.txt_1191	Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.	Annie Butterworth	NIL	person	given name	Q566893	no	yes	yes	Corpus
TheMusicalTimes__1876-402.txt_1191	Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.	Annie Butterworth	NIL	person	sex or gender	Q6581072	no	yes	yes	Corpus
TheMusicalTimes__1876-402.txt_1191	Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.	Annie Butterworth	NIL	person	country of citizenship	Q145	no	yes	yes	Corpus
TheMusicalTimes__1876-402.txt_1191	Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.	Annie Butterworth	NIL	person	occupation	Q177220,Q639669,Q2643890	no	yes	yes	Corpus
TheMusicalTimes__1876-402.txt_1191	Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.	Annie Butterworth	NIL	person	date of birth	NIL				
TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1886	Antoine Law rent -Baudron was born at Amiens, i in 117 43.	Antoine Law	NIL	person	given name	Q15235674	no	yes	yes	Corpus
TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1886	Antoine Law rent -Baudron was born at Amiens, i in 117 43.	Antoine Law	NIL	person	sex or gender	Q6581097	no	yes	yes	Corpus
TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1886	Antoine Law rent -Baudron was born at Amiens, i in 117 43.	Antoine Law	NIL	person	country of citizenship	Q142	no	yes	yes	Corpus
TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1886	Antoine Law rent -Baudron was born at Amiens, i in 117 43.	Antoine Law	NIL	person	occupation	Q1259917	no	yes	yes	Corpus
TheQuarterlyMusicalMagazineAndReview__1825-025.txt_1886	Antoine Law rent -Baudron was born at Amiens, i in 117 43.	Antoine Law	NIL	person	date of birth	1743	no	yes	yes	Corpus
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Beata Francis	NIL	person	given name	Q338015				
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Beata Francis	NIL	person	sex or gender	Q6581072				
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Beata Francis	NIL	person	country of citizenship	Q145				
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Beata Francis	NIL	person	occupation	Q98834068				
TheMusicalTimes__1873-366.txt_1404	Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.	Beata Francis	NIL	person	date of birth	NIL				
The Musical Times_1881-455_ms_2	"With my wife to the King’s House to see. ‘The Virgin Martyr,’ * the first time it hath been acted a great while, and itis mighty pleasant; not that the play is worth much, but it is finely acted by Beck Marshall."	Beck Marshall	NIL	person	given name	Q60185145	no	yes	yes	
The Musical Times_1881-455_ms_2	"With my wife to the King’s House to see. ‘The Virgin Martyr,’ * the first time it hath been acted a great while, and itis mighty pleasant; not that the play is worth much, but it is finely acted by Beck Marshall."	Beck Marshall	NIL	person	sex or gender	Q6581072	no	no	yes	
