retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
bge-large,What is the family name of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"['TheMusicalTimes_1875-388.txt_p704', 'TheHarmonicon_1824-016.txt_p708', 'TheHarmonicon_1824-016.txt_p1323']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'cecit. First and chief. Cil Pensieroso.) Handel, Anthem. Ascribe unto the Lord. Travers.', 'cecit. First and chief. Cil Pensieroso.) Handel, Anthem. Ascribe unto the Lord. Travers.']",Liddle,NIL,person,,,0,0,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]",Rogers,NIL,person,,,0,0,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"['TheHarmonicon_1828-001.txt_p253', 'TheHarmonicon_1828-001.txt_p665', 'TheHarmonicon_1828-001.txt_p1077']","['M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.']",Beckers,NIL,person,,,0,0,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651', 'TheMusicalTimes_1873-366.txt_p1308', 'TheMusicalWorld_1843-038.txt_p95']","['Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', '= A-wealthy lord (S. Solo and Chorus) mai,. Stabat Mater dolorosa Then comes the dawn (Trio Chos.) 2 2324 Tord most holy . ot whe Eia Mater (B. Soto and Chorus) ose ree CREATION. we 233) Thou hast tried our hearts ... wt th And the Spirit of God oes oe Td | 234 Sancta Mater (Quartett) ... od, MN EN Hoe oe he ie pe 3 Blessin, wer, s honour, glory rb. | 269 po T. Solo and Chorus) 1} I | 270 Hail, Lord Almighty - we ase OT', 'Quartetto.. Miss C. Novello, Miss Rainforth, Mr. Braham, and Mr. Bennett .‘‘ Mi manca la voce”.. (Mose in Egetto)']",Orton,NIL,person,Q16880802,Q16880802,1,1,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651', 'TheMusicalTimes_1873-366.txt_p1308', 'TheMusicalWorld_1844-006.txt_p195']","['Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', '= A-wealthy lord (S. Solo and Chorus) mai,. Stabat Mater dolorosa Then comes the dawn (Trio Chos.) 2 2324 Tord most holy . ot whe Eia Mater (B. Soto and Chorus) ose ree CREATION. we 233) Thou hast tried our hearts ... wt th And the Spirit of God oes oe Td | 234 Sancta Mater (Quartett) ... od, MN EN Hoe oe he ie pe 3 Blessin, wer, s honour, glory rb. | 269 po T. Solo and Chorus) 1} I | 270 Hail, Lord Almighty - we ase OT', 'Where shall the child’s first prayer be taught.ditto Learn, my sweet child, to speak the truth. .. ditto In the silence of night may our trust be in Thee (Also arranged asa Quartett for Four Treble VOICES)... 66.6 wee ce cece ee ee eens ditto The Orphan is not Fatherless................ ditto O! from a mother’s eye to veil a secret error.ditto Q! who can breathe God’s Holy Name without sincere devotion..... .......... . ».. ditte Any of the above may be had singly.']",Wale,NIL,person,Q113128055,Q28035106,0,0,1,1,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651', 'TheMusicalTimes_1873-366.txt_p1308', 'TheMusicalWorld_1844-006.txt_p195']","['Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', '= A-wealthy lord (S. Solo and Chorus) mai,. Stabat Mater dolorosa Then comes the dawn (Trio Chos.) 2 2324 Tord most holy . ot whe Eia Mater (B. Soto and Chorus) ose ree CREATION. we 233) Thou hast tried our hearts ... wt th And the Spirit of God oes oe Td | 234 Sancta Mater (Quartett) ... od, MN EN Hoe oe he ie pe 3 Blessin, wer, s honour, glory rb. | 269 po T. Solo and Chorus) 1} I | 270 Hail, Lord Almighty - we ase OT', 'Where shall the child’s first prayer be taught.ditto Learn, my sweet child, to speak the truth. .. ditto In the silence of night may our trust be in Thee (Also arranged asa Quartett for Four Treble VOICES)... 66.6 wee ce cece ee ee eens ditto The Orphan is not Fatherless................ ditto O! from a mother’s eye to veil a secret error.ditto Q! who can breathe God’s Holy Name without sincere devotion..... .......... . ».. ditte Any of the above may be had singly.']",Horniblow,NIL,person,Q65120103,Q65120103,1,1,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1873-366.txt_p338']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'Inside Hand. Also,;<a YOUNG -MAN as out-door Hand and Tuner. Permanent employment to steatly men.—Robert Allen and Co, Organ Builders, Bristol. . - FoR SALE, an old-established MUSIC and FAN']",Carper,NIL,person,,,0,0,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-402.txt_p164']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, 9, Burdett-road, Mile-end, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. ° O CLERGYMEN,-. BANDMASTERS, MUSICIANS, and BANDS now forming.—The best house in the trade for serviceable INSTRUMENTS, manufactured on the premises, of the best brass and stayed in the best and strongest manner, Brass Cornet, with water slide, 65s.; ditto, with water key, &os.; ditto, with double water key, £6; perfected E flat Soprano, £3 158.; ditto, E flat Tenor, £3 ros.; ditto, B flat Baritone, £4; ditto, B flat Euphonium, £5; ditto, E flat Bombardon, £6. A special warranty given. Every instrument carriage paid. Large Hlustrated Lists free.']",Carper,NIL,person,Q56537940,Q56537940,1,1,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p191']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Mr. H. ASHTON Mr. F. H. COZENS']",Amor,NIL,person,,,0,0,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
bge-large,What is the family name of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p758']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Sir George Smart Mr. Furstenau ist Coach _Dr. Kind soe Mr. Gosclien Mr. Kramer Mr. Burke mn 4 vd C. Kemble, Esq.']",Pettit,NIL,person,,,0,0,0,0,NIL,0,0.9021739130434783,0.8469387755102041,0.8736842105263158
