retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
bm25,What is the family name of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalTimes_1876-397.txt_p724', 'TheMusicalTimes_1875-388.txt_p657']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', ""Brandon, and Mr. J. M. Powell. There was a fuil band, led by Mr. Stephenson, of Wrexham. Mr. J. Jones presided at the harmonium, and Mr. F. C. Watkins conducted. Dersy.—On Wednesday, the oth ult., the second Subscription Concert of the Midland Musical Society was given in the Royal Drill: Hall, The artists engaged were Miss Agnes Larkcom (soprano), Miss Cummings (contralto), Mr. Kenningham {tenor), and Mr. T. Ley Greaves. (bass). Mr.'Wm. Morley was leader of the band, Mr. Bentley, pianist, Mr. Housley,organist, and Mr. Kempton, conductor."", 'Messrs. Hooper, Bruton, Bartlett, and Matthews presided at the pianoforte and harmonium, and Mr. J. A. Matthews conducted.']",Liddle,NIL,person,,,0,0,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"['TheHarmonicon_1832-012.txt_p1063', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p6']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]",Rogers,NIL,person,,,0,0,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"['TheHarmonicon_1828-001.txt_p253', 'TheHarmonicon_1828-001.txt_p665', 'TheHarmonicon_1828-001.txt_p1077']","['M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.']",Beckers,NIL,person,,,0,0,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"['TheMusicalTimes_1876-397.txt_p735', 'TheMusicalTimes_1875-388.txt_p536', 'TheMusicalTimes_1875-388.txt_p693']","['Hincx.ey.—On the 3rd ult. a special service was held in the parish church, when a collection -was made for the Organ Fund. The service consisted of selections from the Messiah, Fudas Maccabeus, Samson, Dettingen Te Deum, and Creation, the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow. The choir, which numbered about sixty voices, rendered the pieces with correctness and precision. Mr. Josias Wells conducted, and Mr. Joseph Homer presided at the organ. The instrument, built by G. P, England, is to be entirely rebuilt and considerably enlarged by Messrs. Hoimshaw, of Birmingham. : ; JsppurcH.—A performance of the Messiak was given by the Musical Association, on January 28th, to a crowded audience. The principal vocalists were Miss Blair (soprano), Madame Lanbach (contralto), Mr. J. A. Robertson (tenor), and Mr. Smyth (bass). Miss Blair sang the treble solos with considerable taste, and was especially successful in her rendering of “I know that my Redeemer.” The choruses were generally well sung, the “ Hallelujah” and “ For unto us” being marked with great precision. Mr. H. W. George presided at the harmonium, and Mr. J. Lunn conducted.', 'AN amateur concert was given at the St. Mark’s Schools, Regent’s-park, on Wednesday evening the 5th ult. Mr. George Calkin conducted, and the Rev. E. D. Galloway accompanied the solos and choruses. The programme commenced with Mendelssohn’s ‘“‘ Lauda Sion,” which was rendered in a very effective manner by the St. Mark’s Choral Class; the solo “ Lord, at all times’? being well given by Miss Fogarty, and encored. Miss Steele, Miss Johnstone, Miss Janet King, Miss Goodall, Mr. G. Calkin, Mr. Conrad King, and several others contributed to the vocal music. Miss Grassman played one of Beethoven’s Sonatas on one of Messrs. J. and J. Hopkinson’s pianos (kindly lent by them for the occasion), and Miss May a movement by Hummel. Much praise is due to Mr. Calkin for the training of the chorus. Mr. Galloway accompanied.', 'Miss Branks, Miss Rhodes, Messrs. Redfern and Powel taking the solo parts. The choir, which numbered about forty performers, was under the direction of Mr. Thomas Wilson. Miss Ada Wilson, the organist of St. John’s, presided at the organ.']",Orton,NIL,person,Q16880802,Q16880802,1,1,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"['TheMusicalTimes_1876-397.txt_p735', 'TheMusicalTimes_1875-388.txt_p536', 'TheMusicalTimes_1875-388.txt_p693']","['Hincx.ey.—On the 3rd ult. a special service was held in the parish church, when a collection -was made for the Organ Fund. The service consisted of selections from the Messiah, Fudas Maccabeus, Samson, Dettingen Te Deum, and Creation, the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow. The choir, which numbered about sixty voices, rendered the pieces with correctness and precision. Mr. Josias Wells conducted, and Mr. Joseph Homer presided at the organ. The instrument, built by G. P, England, is to be entirely rebuilt and considerably enlarged by Messrs. Hoimshaw, of Birmingham. : ; JsppurcH.—A performance of the Messiak was given by the Musical Association, on January 28th, to a crowded audience. The principal vocalists were Miss Blair (soprano), Madame Lanbach (contralto), Mr. J. A. Robertson (tenor), and Mr. Smyth (bass). Miss Blair sang the treble solos with considerable taste, and was especially successful in her rendering of “I know that my Redeemer.” The choruses were generally well sung, the “ Hallelujah” and “ For unto us” being marked with great precision. Mr. H. W. George presided at the harmonium, and Mr. J. Lunn conducted.', 'AN amateur concert was given at the St. Mark’s Schools, Regent’s-park, on Wednesday evening the 5th ult. Mr. George Calkin conducted, and the Rev. E. D. Galloway accompanied the solos and choruses. The programme commenced with Mendelssohn’s ‘“‘ Lauda Sion,” which was rendered in a very effective manner by the St. Mark’s Choral Class; the solo “ Lord, at all times’? being well given by Miss Fogarty, and encored. Miss Steele, Miss Johnstone, Miss Janet King, Miss Goodall, Mr. G. Calkin, Mr. Conrad King, and several others contributed to the vocal music. Miss Grassman played one of Beethoven’s Sonatas on one of Messrs. J. and J. Hopkinson’s pianos (kindly lent by them for the occasion), and Miss May a movement by Hummel. Much praise is due to Mr. Calkin for the training of the chorus. Mr. Galloway accompanied.', 'Miss Branks, Miss Rhodes, Messrs. Redfern and Powel taking the solo parts. The choir, which numbered about forty performers, was under the direction of Mr. Thomas Wilson. Miss Ada Wilson, the organist of St. John’s, presided at the organ.']",Wale,NIL,person,Q113128055,Q28035106,0,0,1,1,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"['TheMusicalTimes_1876-397.txt_p735', 'TheMusicalTimes_1876-397.txt_p744', 'TheMusicalTimes_1875-388.txt_p536']","['Hincx.ey.—On the 3rd ult. a special service was held in the parish church, when a collection -was made for the Organ Fund. The service consisted of selections from the Messiah, Fudas Maccabeus, Samson, Dettingen Te Deum, and Creation, the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow. The choir, which numbered about sixty voices, rendered the pieces with correctness and precision. Mr. Josias Wells conducted, and Mr. Joseph Homer presided at the organ. The instrument, built by G. P, England, is to be entirely rebuilt and considerably enlarged by Messrs. Hoimshaw, of Birmingham. : ; JsppurcH.—A performance of the Messiak was given by the Musical Association, on January 28th, to a crowded audience. The principal vocalists were Miss Blair (soprano), Madame Lanbach (contralto), Mr. J. A. Robertson (tenor), and Mr. Smyth (bass). Miss Blair sang the treble solos with considerable taste, and was especially successful in her rendering of “I know that my Redeemer.” The choruses were generally well sung, the “ Hallelujah” and “ For unto us” being marked with great precision. Mr. H. W. George presided at the harmonium, and Mr. J. Lunn conducted.', 'unnett; and a pianoforte solo (concerto in E Fiat—Weber), well played by Mr. Arthur Bunnett. Mendelssohn’s Ave Maria, was exquisitely sung by Miss Duval, and the chorus for female voices was well rendered by the ladies of the Union. Mr. Wilkins led the band, and Mr. Walter Lain presided at the organ.', 'AN amateur concert was given at the St. Mark’s Schools, Regent’s-park, on Wednesday evening the 5th ult. Mr. George Calkin conducted, and the Rev. E. D. Galloway accompanied the solos and choruses. The programme commenced with Mendelssohn’s ‘“‘ Lauda Sion,” which was rendered in a very effective manner by the St. Mark’s Choral Class; the solo “ Lord, at all times’? being well given by Miss Fogarty, and encored. Miss Steele, Miss Johnstone, Miss Janet King, Miss Goodall, Mr. G. Calkin, Mr. Conrad King, and several others contributed to the vocal music. Miss Grassman played one of Beethoven’s Sonatas on one of Messrs. J. and J. Hopkinson’s pianos (kindly lent by them for the occasion), and Miss May a movement by Hummel. Much praise is due to Mr. Calkin for the training of the chorus. Mr. Galloway accompanied.']",Horniblow,NIL,person,Q65120103,Q65120103,1,1,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-402.txt_p164']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, 9, Burdett-road, Mile-end, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. ° O CLERGYMEN,-. BANDMASTERS, MUSICIANS, and BANDS now forming.—The best house in the trade for serviceable INSTRUMENTS, manufactured on the premises, of the best brass and stayed in the best and strongest manner, Brass Cornet, with water slide, 65s.; ditto, with water key, &os.; ditto, with double water key, £6; perfected E flat Soprano, £3 158.; ditto, E flat Tenor, £3 ros.; ditto, B flat Baritone, £4; ditto, B flat Euphonium, £5; ditto, E flat Bombardon, £6. A special warranty given. Every instrument carriage paid. Large Hlustrated Lists free.']",Bow,NIL,person,,,0,0,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-402.txt_p164']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, 9, Burdett-road, Mile-end, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. ° O CLERGYMEN,-. BANDMASTERS, MUSICIANS, and BANDS now forming.—The best house in the trade for serviceable INSTRUMENTS, manufactured on the premises, of the best brass and stayed in the best and strongest manner, Brass Cornet, with water slide, 65s.; ditto, with water key, &os.; ditto, with double water key, £6; perfected E flat Soprano, £3 158.; ditto, E flat Tenor, £3 ros.; ditto, B flat Baritone, £4; ditto, B flat Euphonium, £5; ditto, E flat Bombardon, £6. A special warranty given. Every instrument carriage paid. Large Hlustrated Lists free.']",Carper,NIL,person,Q56537940,Q56537940,1,1,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"['TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p497']","['Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Waillworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J. Amor, H.']",Amor,NIL,person,,,0,0,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
bm25,What is the family name of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"['TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p483']","['Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Wallworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, F. B. Jewson, Walter Macfarren, Arthur O’Leary, Harold Thomas, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J.']",Pettit,NIL,person,,,0,0,0,0,NIL,0,0.9120879120879121,0.8469387755102041,0.8783068783068784
