retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
gtr-large,What is the family name of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalTimes_1876-397.txt_p724', 'TheMusicalWorld_1844-006.txt_p135']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', ""Brandon, and Mr. J. M. Powell. There was a fuil band, led by Mr. Stephenson, of Wrexham. Mr. J. Jones presided at the harmonium, and Mr. F. C. Watkins conducted. Dersy.—On Wednesday, the oth ult., the second Subscription Concert of the Midland Musical Society was given in the Royal Drill: Hall, The artists engaged were Miss Agnes Larkcom (soprano), Miss Cummings (contralto), Mr. Kenningham {tenor), and Mr. T. Ley Greaves. (bass). Mr.'Wm. Morley was leader of the band, Mr. Bentley, pianist, Mr. Housley,organist, and Mr. Kempton, conductor."", 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.']",Liddle,NIL,person,,,0,0,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]",Rogers,NIL,person,,,0,0,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"['TheMusicalWorld_1844-006.txt_p58', 'TheHarmonicon_1828-001.txt_p423', 'TheHarmonicon_1828-001.txt_p835']","['S. Bennett, for he is an ornament to his profession : he not only can, but does play classical music, both in public and private, and he is justly admired.', 'The applause that followed this announcement was not less sincere than loud. When it had subsided, he in whose honour the party had assembled, was Jed to the piano-forte by the chairman, Messrs. Crainer and Moscheles. A', 'The applause that followed this announcement was not less sincere than loud. When it had subsided, he in whose honour the party had assembled, was Jed to the piano-forte by the chairman, Messrs. Crainer and Moscheles. A']",Beckers,NIL,person,,,0,0,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"['TheMusicalTimes_1875-388.txt_p690', 'TheMusicalWorld_1843-038.txt_p138', 'TheMusicalTimes_1876-397.txt_p735']","['The principal singers were Miss Bristow, Master Whitehead, Mr. R. R. Ambler, and Mr. Ellis. The reception of the work was most enthusiastic, Dr. Bridge receiving quite an ovation at the close of the Oratorio. The second part comprised a miscellaneous selection, which was performed in an equally successful manner, the most notable items being two organ solos by Dr. Bridge, and “ Waft her angels” (Fephtha), well sung by Mr. Ambler, : TEIGNMOUTH.—The members of the Philharmonic Society gave a performance of the Messiah at the New Assembly Rooms on Friday evening, the 30th April. The choir, numbering between thirty and forty voices, was most ably assisted by orchestral accompaniments, and the various choruses were well rendered. The solos were taken by members of the, Society, Miss Brooks, Miss Pearse, Miss Elrington, and Messrs. Béeaven, Wills, and Pedrick, sang with their usual ability. The concert was a great success, much credit being due to Miss C. Linter, who presided at the pianoforte, and to Mr. M. G. Rice, the conductor.', 'Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'Hincx.ey.—On the 3rd ult. a special service was held in the parish church, when a collection -was made for the Organ Fund. The service consisted of selections from the Messiah, Fudas Maccabeus, Samson, Dettingen Te Deum, and Creation, the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow. The choir, which numbered about sixty voices, rendered the pieces with correctness and precision. Mr. Josias Wells conducted, and Mr. Joseph Homer presided at the organ. The instrument, built by G. P, England, is to be entirely rebuilt and considerably enlarged by Messrs. Hoimshaw, of Birmingham. : ; JsppurcH.—A performance of the Messiak was given by the Musical Association, on January 28th, to a crowded audience. The principal vocalists were Miss Blair (soprano), Madame Lanbach (contralto), Mr. J. A. Robertson (tenor), and Mr. Smyth (bass). Miss Blair sang the treble solos with considerable taste, and was especially successful in her rendering of “I know that my Redeemer.” The choruses were generally well sung, the “ Hallelujah” and “ For unto us” being marked with great precision. Mr. H. W. George presided at the harmonium, and Mr. J. Lunn conducted.']",Orton,NIL,person,Q16880802,Q16880802,1,1,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"['TheMusicalTimes_1875-388.txt_p690', 'TheMusicalWorld_1843-038.txt_p138', 'TheQuarterlyMusicalMagazineAndReview_1824-022.txt_p409']","['The principal singers were Miss Bristow, Master Whitehead, Mr. R. R. Ambler, and Mr. Ellis. The reception of the work was most enthusiastic, Dr. Bridge receiving quite an ovation at the close of the Oratorio. The second part comprised a miscellaneous selection, which was performed in an equally successful manner, the most notable items being two organ solos by Dr. Bridge, and “ Waft her angels” (Fephtha), well sung by Mr. Ambler, : TEIGNMOUTH.—The members of the Philharmonic Society gave a performance of the Messiah at the New Assembly Rooms on Friday evening, the 30th April. The choir, numbering between thirty and forty voices, was most ably assisted by orchestral accompaniments, and the various choruses were well rendered. The solos were taken by members of the, Society, Miss Brooks, Miss Pearse, Miss Elrington, and Messrs. Béeaven, Wills, and Pedrick, sang with their usual ability. The concert was a great success, much credit being due to Miss C. Linter, who presided at the pianoforte, and to Mr. M. G. Rice, the conductor.', 'Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'Song—Miss Goodall, newly arranged by—Hawes. Quartetto—Mr. W. Knyvett, Mr. Vaughan, Mr. Hawes, and Mr. J.B. Sale, with a double aceompaniment, Mr. Attwood and Sir George Smart—“ The harp’s wild notes. ”°— Altwood.']",Wale,NIL,person,Q113128055,Q28035106,0,0,1,1,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"['TheMusicalWorld_1844-006.txt_p135', 'TheMusicalWorld_1843-038.txt_p138', 'TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p766']","['Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.', 'Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', '. ——— Horsley . . Sir J. Stevenson H. Horn | Mr. Walmisley Hodsoll Webbe Kiesewetter. =|° —— Wordsworth W.Linley |} —— Ward - Lonsdale - foo - Willis.']",Horniblow,NIL,person,Q65120103,Q65120103,1,1,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-397.txt_p758']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'Bates and Bower. The band performed several overtures, selections, &c., in a manner which reflected great credit on Mr. Waddington, the conductor. Mr. Horner presided at the piano.']",Bower,NIL,person,,,0,0,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-402.txt_p164']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, 9, Burdett-road, Mile-end, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. ° O CLERGYMEN,-. BANDMASTERS, MUSICIANS, and BANDS now forming.—The best house in the trade for serviceable INSTRUMENTS, manufactured on the premises, of the best brass and stayed in the best and strongest manner, Brass Cornet, with water slide, 65s.; ditto, with water key, &os.; ditto, with double water key, £6; perfected E flat Soprano, £3 158.; ditto, E flat Tenor, £3 ros.; ditto, B flat Baritone, £4; ditto, B flat Euphonium, £5; ditto, E flat Bombardon, £6. A special warranty given. Every instrument carriage paid. Large Hlustrated Lists free.']",Carper,NIL,person,Q56537940,Q56537940,1,1,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p516']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'L. Fryer, H. Baker and W. Powell; pianist, Mr. J. H.']",Amor,NIL,person,,,0,0,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
gtr-large,What is the family name of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"['TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-397.txt_p340']","['Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Walter Porter, Esq., F.C.O., St. Mary’s Parish Church, Hull, He G. Rew, Esqa., College of St. Paul, Stoney-Stratford.']",Pettit,NIL,person,,,0,0,0,0,NIL,0,0.8617021276595744,0.826530612244898,0.84375
