retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
gtr-xl,What is the family name of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalWorld_1844-006.txt_p135', 'TheMusicalTimes_1875-388.txt_p671']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.', 'Mr. E. G. Woodward led a small string band, Mr. J. A. Matthews presided at the organ, and Mr. J. Hunt conducted. : HENLEY-ON-THAMES.—The Psalmody Class, conducted by Mr. H. J.']",Liddle,NIL,person,,,0,0,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]",Rogers,NIL,person,,,0,0,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"['TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p435', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p824', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p738']","['the notes, &c. instead of those first rudiments which his preparatory little book, the Piano Forte Primer, inculcates. Mr. Burrowes however announces his design with as much modesty as ""judgment, for in the first paragraph he declares that his directions “are intended merely to assist the memory of the pupil during the time of practice, and not by any means to supersede the assistance ofa masher, without which no one need hope to make any progress in music.” It seems rather singular, after the. multitudes of instruction books that have been printed, there should still be any such deficiency in the means of tuition as to leave room for a publication of this nature. The truth is that every day fresh improvements are made as fresh minds are turned to the subject, or rather perhaps as experience discovers shorter roads or more minute details. We conceive Mr. Burrowes has drawn his lights from experience, and his mind appears to be one naturally studious of inethod and capable of arrangement. Hence he kas been led to perceive that the ordinary courses of instruction, if they embrace all that he has here digested, shew it in so indistinct and loose a form, that as much time is wasted in collecting and understanding the process as in the process itself. He has therefore put together a series of lessons, with clear and precise directions, shewing the \x0c 74 oe BURROWES’ COMPANION,» exact intention and the natural progression. What others have left unexplained, trusting wholly to practice, he has demonstrated in words -as well as notes, and has {hus brought the mind to aid and assist the fingers. He has done this with his usual cleverness.', 'An event somewhat similar to that which distinguished the first, marked also the second concert—namely the return of Mr. Weichsell to his station of leader, after an absence of many years. No man ever stood higher in the estimation of his. troops both as an artist and a gentleman; and though he no longer exercises music as a profession, he retains all the force and precision of his early practice. Mr. Cramer played his concerto in a manner worthy of his great name and fine taste. Indeed the execution of this composition ought to be taken for an example of a style far better than that which is the pervading fashion—a style in which feeling, not wonder,. predominates.', 'exhibit of introducing novelties worthy of themselves and their audience, it may yet strike the examiner, that there is less perConcerto, Piano F ‘orte, Mr. Cramer 2. Cramer and Mozart.']",Beckers,NIL,person,,,0,0,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"['TheMusicalTimes_1876-397.txt_p769', 'TheMusicalWorld_1843-038.txt_p10', 'TheMusicalTimes_1875-388.txt_p679']","['Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'Miss Clara Novello —Mrs. Alfred Shaw Miss Rainforth—Mr. Braham—Mr. Phillips, and Mr. Bennett. In feeling, Braham is as much superior now, to any living vocalist, as he was in his best days—and his voice is really wonderful when we consider the labour and travel it has endured for half a century.', 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .']",Orton,NIL,person,Q16880802,Q16880802,1,1,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"['TheMusicalTimes_1876-397.txt_p769', 'TheMusicalTimes_1875-388.txt_p40', 'TheMusicalWorld_1843-038.txt_p10']","['Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'MRS. WARREN (Soprano), Of Mr. C. Hallé’s Concerts. For Oratorio or other.-Concerts, address 150;-Radnor-street, Hulme, Manchester.- Lessons in Singing. References—Charles Hallé, Esq., and Edward Hecht, Esq.', 'Miss Clara Novello —Mrs. Alfred Shaw Miss Rainforth—Mr. Braham—Mr. Phillips, and Mr. Bennett. In feeling, Braham is as much superior now, to any living vocalist, as he was in his best days—and his voice is really wonderful when we consider the labour and travel it has endured for half a century.']",Wale,NIL,person,Q113128055,Q28035106,0,0,1,1,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"['TheMusicalWorld_1843-036.txt_p117', 'TheMusicalTimes_1876-397.txt_p769', 'TheMusicalTimes_1875-388.txt_p679']","[""Mr. Cullum’s performance, (pianoforte) with Mr. Blagrove (violin) in Herz and De Beriot’s duet concertante La Fianeée, drew down showers of applause. Mr. Humphrey, our respected tenor singer, gave several bal'ads with his usual taste. ‘The concert gave satisfaction, but we lament to say that the evening proving so very wet, prevented many attending who otherwise would have done so. The morning concert was very fully attended. We hope to hear Mr. Blagrove in Sevenoaks again."", 'Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .']",Horniblow,NIL,person,Q65120103,Q65120103,1,1,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalWorld_1843-038.txt_p134', 'TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p483']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', '{Our correspondent encloses his name and ad address. Ep. M. W.)', '_ Callcott’s family, we believe modesty to be a leading characteristic. Yet however the knowledge and comparison of these two circumstances may raise expectation, they who shall examine the production before us will find no disappointment.']",Carper,NIL,person,,,0,0,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalWorld_1843-038.txt_p134', 'TheMusicalTimes_1875-388.txt_p91']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', '{Our correspondent encloses his name and ad address. Ep. M. W.)', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.']",Carper,NIL,person,Q56537940,Q56537940,1,1,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-397.txt_p1052']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Salaman, ""Alberto Rande H. Farmer, J. Baptiste Cusins, E. "" Delaborde, E. Silas, John Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion; and J. Tilleard.']",Amor,NIL,person,,,0,0,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
gtr-xl,What is the family name of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"['TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-397.txt_p1052']","['Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Salaman, ""Alberto Rande H. Farmer, J. Baptiste Cusins, E. "" Delaborde, E. Silas, John Hullah, E. H. Tu Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, Brion; and J. Tilleard.']",Pettit,NIL,person,,,0,0,0,0,NIL,0,0.8936170212765957,0.8571428571428571,0.875
