retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
instructor-xl,What is the family name of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalWorld_1844-006.txt_p135', 'TheMusicalTimes_1875-388.txt_p683']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.', 'members of the Society. Mr. Richmond, of Dundee, presided at the harmonium. The performance was a great success.']",Liddle,NIL,person,,,0,0,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]",Rogers,NIL,person,,,0,0,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p738', 'DwightSJournalOfMusic_1873-016.txt_p188', 'TheMusicalTimes_1873-366.txt_p404']","['exhibit of introducing novelties worthy of themselves and their audience, it may yet strike the examiner, that there is less perConcerto, Piano F ‘orte, Mr. Cramer 2. Cramer and Mozart.', 'old music-master, It wasin the autumn of 1860, when Mme. Schumann was giving concerts there in Dresden with Joachim, the great. violinist. With the latter we had heen introduced one evening into a genial circle of musicians, after which, we find it jotted down as follows: We go out into the moonlight, and, turning some dark eorners—my companion lealing—enter one of thase smoke holes, swarming with beer-drinking life and laughter, distributed about in which,, according to affinities, you mag find the larger part of the intellectual, as well ag the duller male population, on any evening, in every city of Germany. The object is to find an old man who is aupposell ta “‘Kkreip” here, and who, in his wav, is quite a character, And presently thee rose through the ciger smoke, in the further corner, the white head of a tall and rather courtly personage.—high intellectual forehead, strong profile—a face combining eeverity with companionable humor and a spice of drollery even—who greeted us very cordially, and entered eagerly into talk shout America, andabout the musical signs of the times, the old schoo! and the new, &c. Plainiv an oracle amongst his younger con-sodules in that corner, most of whom appeared ta be musical. This was father Wieck, fend of having his own way evidently, hut. genial, witty, and prond (as he might be) ef his daughters, Clara Schumann and the Fraulein Malie. He knows well what is good in music; is a sharp, true critic. and is still, as he long has been, one of the very best teachers of the piano living, Prnees seck his tuition for their daughters, and pay him princely prices ; and that hismethod is a good one, he has at lenat two notable examples in his awn family to show. He isa thinker and not a mere man of routine; and he carries himself not only with dignity, but with the freshness of vouth stiil; good for cenviviality and good for work. The old man and our strong young violinist were evidently on the best of terms together. It was pleasant to see them: and +ait was ta sre with what a mixture of admiring affection and respect the young men would address their questions sand remarks to the “Herr Concertmeister,” as Joachim is styled at the cou rt of Hanover, where he controla the music upon terms worthy of the indepen‘lent spirit of an artist, and does not have to drudge in royal church and theatre like the Kapellmeisters of Dresden and most German courts, Again, a few evenings later: The concert over, now imagine a very pleasant, sociable symposium in an upper room of this same nice Hotel de Saxe. Itisa *enuine German sit-dowr, where every= body is expected to be just as free and happy as he can.', 'He looked upon the piano as a cut above the perambulator.” Had Mr. Normansell omitted to supply us with his own opinion on the subject, by his assertion that some had pianos and harmoniums, and even perambulators, it might have been imagined that he considered carriages of any kind ranked above musicalinstruments; but his declaration that he ‘looked upon the piano as a cut above the perambulator” is a delicate compliment to our art which we are certain will be universally appreciated.']",Beckers,NIL,person,,,0,0,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"['TheMusicalTimes_1875-388.txt_p679', 'TheMusicalWorld_1843-038.txt_p138', 'TheMusicalWorld_1843-038.txt_p90']","['he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.']",Orton,NIL,person,Q16880802,Q16880802,1,1,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"['TheMusicalWorld_1843-038.txt_p90', 'TheMusicalTimes_1875-388.txt_p679', 'TheMusicalTimes_1875-388.txt_p688']","['Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.', 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'The soloista were Miss Blakeley, who sang eart,” wi Miss Blakeley and Mr. B.']",Wale,NIL,person,Q113128055,Q28035106,0,0,1,1,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"['TheMusicalWorld_1843-038.txt_p90', 'TheMusicalTimes_1875-388.txt_p679', 'TheMusicalWorld_1843-038.txt_p138']","['Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.', 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.']",Horniblow,NIL,person,Q65120103,Q65120103,1,1,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"['TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p357']","['FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .']",Bow,NIL,person,,,0,0,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"['TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p357']","['FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .']",Carper,NIL,person,Q56537940,Q56537940,1,1,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p497']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Waillworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J. Amor, H.']",Amor,NIL,person,,,0,0,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
instructor-xl,What is the family name of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"['TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p483']","['Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Wallworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, F. B. Jewson, Walter Macfarren, Arthur O’Leary, Harold Thomas, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J.']",Pettit,NIL,person,,,0,0,0,0,NIL,0,0.8947368421052632,0.8673469387755102,0.8808290155440415
