retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
bge-large,What is the family name of Gavinies?,,"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,"['TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p349', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p46', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p352']","['It was during this time that he composed, as if by inspiration, the celebrated Romance de. Gavinies, so long in vogue. This romance he performed at the age of 63, with such exquisite expression as to draw tears from a crowded audience at a public concert. Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs. A year before his death (in 1799) he published a work entitled ‘ Les vingt quatre Matinées,” which contains music of still more difficult execution than the Caprices of Locatelli and Fiorillo. Gavinies was particularly celebrated for his skill in accompaniment, and the taste he display ed in the variations he introduced. ‘-Before entering upon .the histories of the scholars of Gavinies, it t will be right to give some account of his eotemporar ies.', 'Maria Von Weber .....--+seseeeee ces ceccerscccce 102 XV. Three Grand Sonatas for the Piano F orte, composed by Charles Ambrose eoeesereeeceens ee 104 XVI. What is. Prayer; the Poetry by Montgomery ; the Music by . J. W. Holder, Mus. Bac. Oxon.', 'Pagin, born in 1730, went into Italy purposely to profit by the Au génie de son.art, Gaviniés joignait un jugement solide et un esprit cultivé. Ll fut lié avec Jean J acques “Rousseau, qui prisait beau-coup sa conversation. On nousa raconté le trait suivant. Un j Jour Jean Jacques Rousseau lui dit: Je sais que vous aimez les cotelettes, je vous invite en manger avec moi. Gaviniés se rendit.chez Rousseau, qui fit cuire lui-méme les cotelettes. Cela est d’autant plus remarquable que Rousseau, en général, était peu eommunicatif. — Dictionnaire Historique. . a \x0c ON THE RISE AND PROGRESS OF THE YIOLIN.. 49 instructions of Tartini. He returned to Paris in his twentieth year, and performed several times with great applause at the Concerts Spirituel. He however executed nothing but the music of his master Tartini, which raised a cabal against him amongst the French musicians, and he one day received such ironical applause from them, as induced him to quit the Concert Spirituel, and he accordingly accepted a situation in the house of the Count de Clermont. Dr. Burney, who heard him in private in 1770, was delighted with the expression and delicacy of his performance. He published six sonatas, in 1748, at Paris. .']",Gavinies,Q490205,person,,,0,0,0,0,QID,1,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Lord Chamberlain?,,", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,"['TheHarmonicon_1832-012.txt_p308', 'TheHarmonicon_1832-012.txt_p761', 'TheHarmonicon_1832-012.txt_p1214']","['Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.', 'Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.', 'Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.']",Chamberlain,Q541755,person,Q16865452,Q14917207,0,0,1,1,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Mr. C. Hancock?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,"['TheMusicalTimes_1875-388.txt_p704', 'TheHarmonicon_1824-016.txt_p708', 'TheHarmonicon_1824-016.txt_p1323']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'cecit. First and chief. Cil Pensieroso.) Handel, Anthem. Ascribe unto the Lord. Travers.', 'cecit. First and chief. Cil Pensieroso.) Handel, Anthem. Ascribe unto the Lord. Travers.']",Hancock,Q16030597,person,Q13635636,Q13635636,1,1,0,0,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Sir George Elvey?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalWorld_1844-006.txt_p117', 'TheHarmonicon_1824-016.txt_p708']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Sr. Any’s, ALDERSGATE STREET.—The candidates for the situation of organist were returned in the following order. Mr. Goss umpire. 1. Wylde; 2. Waller; 3. Striland; 4. White. Wylde played Bach’s pedal fugue in C; Waller, one of the fortyeight fugues in D; White “ Achieved is the glorious work.” Mr. Wylde is an excellent inusician, and a capital performer.', 'cecit. First and chief. Cil Pensieroso.) Handel, Anthem. Ascribe unto the Lord. Travers.']",Elvey,Q5541104,person,Q37439496,Q37439496,1,1,0,0,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Mr. Viotti?,,Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,"['TheHarmonicon_1828-001.txt_p239', 'TheHarmonicon_1828-001.txt_p651', 'TheHarmonicon_1828-001.txt_p1063']","['Q2ist. M. Laurent has this day taken the King’s Theatre for the ensuing season, at a rent of 8500. In_ stead of other security for this and for salaries, the ‘monies received are to be paid into a banker’s, in the joint names of the lessee and the clerk of the assignees, Having . taken the theatre with all the engagements, as made by the assignees, M. Laurent is obliged to have Monsieur Bochsa, I hear, and intends to place him in some sub- ; ordinate capacity; but it is said that his name will be kept back as much as possible. Time will shew.', 'Q2ist. M. Laurent has this day taken the King’s Theatre for the ensuing season, at a rent of 8500. In_ stead of other security for this and for salaries, the ‘monies received are to be paid into a banker’s, in the joint names of the lessee and the clerk of the assignees, Having . taken the theatre with all the engagements, as made by the assignees, M. Laurent is obliged to have Monsieur Bochsa, I hear, and intends to place him in some sub- ; ordinate capacity; but it is said that his name will be kept back as much as possible. Time will shew.', 'Q2ist. M. Laurent has this day taken the King’s Theatre for the ensuing season, at a rent of 8500. In_ stead of other security for this and for salaries, the ‘monies received are to be paid into a banker’s, in the joint names of the lessee and the clerk of the assignees, Having . taken the theatre with all the engagements, as made by the assignees, M. Laurent is obliged to have Monsieur Bochsa, I hear, and intends to place him in some sub- ; ordinate capacity; but it is said that his name will be kept back as much as possible. Time will shew.']",Viotti,Q313188,person,Q21508362,Q21508362,1,1,0,0,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Rameau?,,"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,"['TheMusicalWorld_1843-038.txt_p48', 'TheMusicalWorld_1843-038.txt_p43', 'TheMusicalWorld_1843-038.txt_p54']","['of Rameau was represented in 1735, it was a balletopera Les Indes galantes. What was then termed a ballet opera, is now out of use, and itis difficult to define this title of ballet added to that of opera —it did not mean that there was more dancing than in the operas which had only the single title, but it indicated the lightness of the subject, which was mostly graceful, and one of the particularities of this kind of piece was that, when in several parts, the one complete work was composed of various acts which had only connexion with the general title of the work: thus spectacles were often formed, called fragments, which were composed of acts taken from different ballets, which was the more easily done, since each of these acts formed a complete piece. The music of the Indes Galantes, is very pretty, and several pieces have in their time heen very popular, such as the air Papilion inconsiant, the pretiy melody Fuyez, fuyez, vents oragena, rand especially the famous duet Sombres foréts in the act of the savages. The accompaniment of this duet was the Murche des suuvages, which Ramean had already published under that title in one of his harpsichord books. Two years later in 1737, he wrote Castor et Pollux, which is considered his chef d’ wuvre. Amongst other pieces may be cited the chorus Que teut gemisse, the harmony of which is excellent, and the commencement of which is a scale in semi-tones with an imitation la guinte very cleverly introduced.', 'Hippolyte “et Arcie (such was the title of Rameau’s first work) was brought out on the Ist of October, 1783. Rameau was then fifty years old.', 'T transcribe these pretty words, because it is remarkable that they were written to the music, which was a minuet already published by Rameau amongst his harpsichord music. This air is charming, and perfectly in place: it has but one faultnamely, that of being much too high for the voice of the singer for whom it was written ; at the same time, it would be too low if it were transposed. We see that a hundred years since, as in our own times, (but, perhaps, rather less frequently) poets were cbliged to submit the rhythm of their words to the will of the musician, \x0c It would be troublesome to our readers to continue an examination of operas which are perfectly unknown to them. It will be sufficient to give a list of the dramatic works of Rameau; he bronght out successfully, Les Talens Lyriques, 1739; Dardanus,1739 ; Les Fétes de Polymnie,1745 ; LaPrincesse de Navarre, 1745; Le Temple de la Gloire, 1745; Les Fétes de VHymen, et del Amour, 1747 ; Zais, 1748 ; Pygmalion, 1748 ; [lais,1749 ; Plateé, 1749 ; Zeroastre, 1749 ; Acanthe et Céphise, 1751; La Guirlande\\751 ; Daphnis et Eglé,\\753; Lysis et Délié, 1753; La Natesanec d’ Osiris, 1754; Anacréon, 1754; Zephire, 1754; Néleé et Mirthis, 1754; lo, 1754; Le retour d’Astreé, 1757; Les surprises, de ? Amour, 1759; Les Sybarites, 1759 ; and Les Paladins,1760. Although most of these pieces are in one act, and of trifling importance, the number must seem prodigious, when we consider that Rameau did not commence his dramatic career until he was 50 years old. Hewas 77 when he composed his last opera, and at his death, which took place four years after, in 1764, three manuscript scores were found ready for representation. Rameau’s scores have only been engraved with a pianoforte arrangement, including some particular orchestral effects here and there.']",Rameau,Q1145,person,Q24529820,Q24529820,1,1,0,0,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Benzamin Rogenrs?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]",Rogers,Q18546476,person,Q16471355,Q16471355,1,1,0,0,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Bach?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p477', 'DwightSJournalOfMusic_1873-016.txt_p189', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p611']","['Selection from Jephtha. . Handel.', ""Tf is'at once an artist and a family Geaclschaft, Al of the Wieck and Schumann representatives are th: re, who chance fo beat hand. But the Amphytrien is our hero of the violin. who would insist upon the mountain's coming to Mahomet. We are a dozen all-told. Three generations of that musical family of Dresden represented. A"", '_ Quartet and Chorus.. Then rourfd. (Samson) Handel.']",Bach,Q1339,person,Q1409748,Q1409748,1,1,0,0,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Handel?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p477', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p611', 'TheHarmonicon_1824-016.txt_p739']","['Selection from Jephtha. . Handel.', '_ Quartet and Chorus.. Then rourfd. (Samson) Handel.', 'Selection from the Oratorio of Samson. Handel.']",Handel,Q7302,person,Q15730697;Q16276271,Q16276271,0,1,0,0,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
bge-large,What is the family name of Mendelssohn?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p477', 'TheMusicalTimes_1875-388.txt_p1098', 'DwightSJournalOfMusic_1873-016.txt_p189']","['Selection from Jephtha. . Handel.', 'Kiicken ww. Reissiger Mendelssohn | Fanny Hensel née Mendelssohn Spohr Zéliner Klicken Diirrner do.', ""Tf is'at once an artist and a family Geaclschaft, Al of the Wieck and Schumann representatives are th: re, who chance fo beat hand. But the Amphytrien is our hero of the violin. who would insist upon the mountain's coming to Mahomet. We are a dozen all-told. Three generations of that musical family of Dresden represented. A""]",Mendelssohn,Q46096,person,Q41783627;Q47513887,Q41783627,0,1,0,0,QID,0,0.9012875536480687,0.8490566037735849,0.8743927827897293
