retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
bm25,What is the family name of Gavinies?,,"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,"['TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p349', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p386', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p388']","['It was during this time that he composed, as if by inspiration, the celebrated Romance de. Gavinies, so long in vogue. This romance he performed at the age of 63, with such exquisite expression as to draw tears from a crowded audience at a public concert. Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs. A year before his death (in 1799) he published a work entitled ‘ Les vingt quatre Matinées,” which contains music of still more difficult execution than the Caprices of Locatelli and Fiorillo. Gavinies was particularly celebrated for his skill in accompaniment, and the taste he display ed in the variations he introduced. ‘-Before entering upon .the histories of the scholars of Gavinies, it t will be right to give some account of his eotemporar ies.', 'Cupis, the rival of Leclair, was considered as a very superior chamber violinist. ‘ Son jeu avait quelque chose de seduisant, qui plaisoit fort aux dames,” say his. biographers. He published two books of sonatas, and one of quartets, for the violin.', 'Antoine Barthelemi Bruni was born at Coni, in Piedmont, in 1752, and was a very distinguished violinist. His master for his instrument was Rignani, and for composition, Speziati. Before 1800 he led at the Theatre of Monsieur, (at the brilliant epoch of its establishment,) at the Opera Comique, and at the Opera Buffa. Bruni seemed to have inherited his master’s talent as a leader. He published for the violin four sets of sonatas, twentyeight of duets, ten of quartets, and several concertos. Chartrain: was, about 1780, one of the best.violinists at the ‘opera. He played several concertos of his own composition at the Concert Spirituel, and printed at Paris several duets, trios, quartets, symphonies, and concertos, for his instrument.']","Gavinies

The family name of the person mentioned in the sentence is ""Gavinies"". This name is explicitly mentioned in the given sentence: ""Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.""

The context provided includes several entries from The Quarterly Musical Magazine and Review from 1825, but none of them is necessary to answer the question. The sentence itself contains the information required to determine the family name.",Q490205,person,,,0,0,0,0,QID,1,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Lord Chamberlain?,,", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,"['TheHarmonicon_1832-012.txt_p308', 'TheHarmonicon_1832-012.txt_p761', 'TheHarmonicon_1832-012.txt_p1214']","['Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.', 'Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.', 'Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.']",Chamberlain,Q541755,person,Q16865452,Q14917207,0,0,1,1,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Mr. C. Hancock?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalTimes_1876-397.txt_p724', 'TheHarmonicon_1832-012.txt_p1211']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', ""Brandon, and Mr. J. M. Powell. There was a fuil band, led by Mr. Stephenson, of Wrexham. Mr. J. Jones presided at the harmonium, and Mr. F. C. Watkins conducted. Dersy.—On Wednesday, the oth ult., the second Subscription Concert of the Midland Musical Society was given in the Royal Drill: Hall, The artists engaged were Miss Agnes Larkcom (soprano), Miss Cummings (contralto), Mr. Kenningham {tenor), and Mr. T. Ley Greaves. (bass). Mr.'Wm. Morley was leader of the band, Mr. Bentley, pianist, Mr. Housley,organist, and Mr. Kempton, conductor."", 'Concerning the German operas, the following i is Mr. C.']",Hancock,Q16030597,person,Q13635636,Q13635636,1,1,0,0,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Sir George Elvey?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalTimes_1876-402.txt_p504', 'TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p767']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'shall rejoice.” The musical arrangements were admirably carried out under the direction of Sir George Elvey, who also officiated at the organ. H.R.H. Princess Christian was present at the Afternoon Service.', 'Soon after nine o’clock the procession n moved from Sir George Smart’s house, i in the following order : Conductors on horseback.']",Elvey,Q5541104,person,Q37439496,Q37439496,1,1,0,0,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Mr. Viotti?,,Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,"['TheHarmonicon_1824-016.txt_p245', 'TheHarmonicon_1824-016.txt_p12', 'TheHarmonicon_1824-016.txt_p1475']","['In 1790, one of the deputies of the Assemblée Constituante, who had a range of apartments on the fifth floor of a house, prevailed upon Viotti, who was his intimate friend, to give a concert at his chambers. Princes, and a long list of grandees and ladies of distinction were invited. “ It is now a long time,” said Viotti, “ since we descended to them ; they must ow ascend to us.” Mr. Viotti had a turn for repartee. One day when the minister Calonne, asked him which violin was the most true,—“ That,” replied he with a significant look, ‘* which is the least false.” : M. Puppo, whose talents upon the violin were great, and which Mr. Viotti was the first to praise, was fond of hoasting that he was a scholar of the great Tartini, which was known not to be the case. On a public occasion, when M. Lahoussaye, who was really a disciple of Tartini, was present, Viotti begged him as a favour to give him a specimen of Tartini’s manner of playing; *“and now,” said he in a voice loud enough to be heard by all the company, “now M. Puppo, listen to my friend M. Lahoussaye, and you will be able to form an idea how Tartini played.” Mr. Viotti remained in Paris till the unhappy revolution in 1790, which chased away the Muses from that devoted capital, when he joined the fugitives and escaped to England. In London he made his debit at Salomon’s Concerts, where in a concerto of his own composition he excited no less admiration than he had previously gained In the years 1794 and 1795 Mr. Viotti had some share in the management of the King’s Theatre. Shortly after this he succeeded Mr. Wm. Cramer as leader of the Opera band, an office that he did not long retain, for in 1798 the susceptible feelings of this admirable artist were destined to expede piano, a work in which she progressively conducts her pupils from the simplest to the greatest difficulties, is well known to the public.', 'In 1790, one of the deputies of the Assemblée Constituante, who had a range of apartments on the fifth floor of a house, prevailed upon Viotti, who was his intimate friend, to give a concert at his chambers. Princes, and a long list of grandees and ladies of distinction were invited. “ It is now a long time,” said Viotti, “ since we descended to them ; they must ow ascend to us.” Mr. Viotti had a turn for repartee. One day when the minister Calonne, asked him which violin was the most true,—“ That,” replied he with a significant look, ‘* which is the least false.” : M. Puppo, whose talents upon the violin were great, and which Mr. Viotti was the first to praise, was fond of hoasting that he was a scholar of the great Tartini, which was known not to be the case. On a public occasion, when M. Lahoussaye, who was really a disciple of Tartini, was present, Viotti begged him as a favour to give him a specimen of Tartini’s manner of playing; *“and now,” said he in a voice loud enough to be heard by all the company, “now M. Puppo, listen to my friend M. Lahoussaye, and you will be able to form an idea how Tartini played.” Mr. Viotti remained in Paris till the unhappy revolution in 1790, which chased away the Muses from that devoted capital, when he joined the fugitives and escaped to England. In London he made his debit at Salomon’s Concerts, where in a concerto of his own composition he excited no less admiration than he had previously gained In the years 1794 and 1795 Mr. Viotti had some share in the management of the King’s Theatre. Shortly after this he succeeded Mr. Wm. Cramer as leader of the Opera band, an office that he did not long retain, for in 1798 the susceptible feelings of this admirable artist were destined to expede piano, a work in which she progressively conducts her pupils from the simplest to the greatest difficulties, is well known to the public.', 'In 1790, one of the deputies of the Assemblée Constituante, who had a range of apartments on the fifth floor of a house, prevailed upon Viotti, who was his intimate friend, to give a concert at his chambers. Princes, and a long list of grandees and ladies of distinction were invited. “ It is now a long time,” said Viotti, “ since we descended to them ; they must ow ascend to us.” Mr. Viotti had a turn for repartee. One day when the minister Calonne, asked him which violin was the most true,—“ That,” replied he with a significant look, ‘* which is the least false.” : M. Puppo, whose talents upon the violin were great, and which Mr. Viotti was the first to praise, was fond of hoasting that he was a scholar of the great Tartini, which was known not to be the case. On a public occasion, when M. Lahoussaye, who was really a disciple of Tartini, was present, Viotti begged him as a favour to give him a specimen of Tartini’s manner of playing; *“and now,” said he in a voice loud enough to be heard by all the company, “now M. Puppo, listen to my friend M. Lahoussaye, and you will be able to form an idea how Tartini played.” Mr. Viotti remained in Paris till the unhappy revolution in 1790, which chased away the Muses from that devoted capital, when he joined the fugitives and escaped to England. In London he made his debit at Salomon’s Concerts, where in a concerto of his own composition he excited no less admiration than he had previously gained In the years 1794 and 1795 Mr. Viotti had some share in the management of the King’s Theatre. Shortly after this he succeeded Mr. Wm. Cramer as leader of the Opera band, an office that he did not long retain, for in 1798 the susceptible feelings of this admirable artist were destined to expede piano, a work in which she progressively conducts her pupils from the simplest to the greatest difficulties, is well known to the public.']",Viotti,Q313188,person,Q21508362,Q21508362,1,1,0,0,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Rameau?,,"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,"['TheMusicalWorld_1843-038.txt_p48', 'TheMusicalWorld_1843-038.txt_p59', 'TheMusicalWorld_1843-038.txt_p43']","['of Rameau was represented in 1735, it was a balletopera Les Indes galantes. What was then termed a ballet opera, is now out of use, and itis difficult to define this title of ballet added to that of opera —it did not mean that there was more dancing than in the operas which had only the single title, but it indicated the lightness of the subject, which was mostly graceful, and one of the particularities of this kind of piece was that, when in several parts, the one complete work was composed of various acts which had only connexion with the general title of the work: thus spectacles were often formed, called fragments, which were composed of acts taken from different ballets, which was the more easily done, since each of these acts formed a complete piece. The music of the Indes Galantes, is very pretty, and several pieces have in their time heen very popular, such as the air Papilion inconsiant, the pretiy melody Fuyez, fuyez, vents oragena, rand especially the famous duet Sombres foréts in the act of the savages. The accompaniment of this duet was the Murche des suuvages, which Ramean had already published under that title in one of his harpsichord books. Two years later in 1737, he wrote Castor et Pollux, which is considered his chef d’ wuvre. Amongst other pieces may be cited the chorus Que teut gemisse, the harmony of which is excellent, and the commencement of which is a scale in semi-tones with an imitation la guinte very cleverly introduced.', 'great degree to the stiff and scholastic epoch in which he lived, Rameau will always be placed in the first rank of French composers, because he was the most inventive.', 'Hippolyte “et Arcie (such was the title of Rameau’s first work) was brought out on the Ist of October, 1783. Rameau was then fifty years old.']",Rameau,Q1145,person,Q24529820,Q24529820,1,1,0,0,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Benzamin Rogenrs?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,"['TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]","Rogers

Confidence: 100%",Q18546476,person,Q16471355,,0,0,0,1,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Bach?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,"['TheMusicalTimes_1876-402.txt_p722', 'TheMusicalTimes_1875-388.txt_p675', 'TheMusicalTimes_1875-388.txt_p664']","['Norts Berwick, N.B.—On Saturday, the 8th ult., Mr. Frank Bates gave an Organ Recital at S. Baldred’s Episcopal Church. The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure-Wély.', 'Legps.—On Friday, the r4th ult., Dr. Spark gave two recitals on the large o: erected by Messrs. Gray and Davison in the Edinburgh Hall of the Yorkshire Exhibition. -The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, &c., all of which were excellently rendered.—aA', 'in alt. and pedal organ with thirty notes, with two independent stops on the pedals. It is built by J. M. Granwell, of Derby, and gives great satisfaction. The selections performed from the works of Mendelssohn, . S. Bach, and other eminent writers for the organ, displayed the instrument to great advantage.']",Bach,Q1339,person,Q1409748,Q1409748,1,1,0,0,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Handel?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,"['TheMusicalTimes_1876-402.txt_p722', 'TheMusicalTimes_1875-388.txt_p675', 'TheMusicalTimes_1875-388.txt_p664']","['Norts Berwick, N.B.—On Saturday, the 8th ult., Mr. Frank Bates gave an Organ Recital at S. Baldred’s Episcopal Church. The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure-Wély.', 'Legps.—On Friday, the r4th ult., Dr. Spark gave two recitals on the large o: erected by Messrs. Gray and Davison in the Edinburgh Hall of the Yorkshire Exhibition. -The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, &c., all of which were excellently rendered.—aA', 'in alt. and pedal organ with thirty notes, with two independent stops on the pedals. It is built by J. M. Granwell, of Derby, and gives great satisfaction. The selections performed from the works of Mendelssohn, . S. Bach, and other eminent writers for the organ, displayed the instrument to great advantage.']",Handel,Q7302,person,Q15730697;Q16276271,Q16276271,0,1,0,0,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
bm25,What is the family name of Mendelssohn?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,"['TheMusicalTimes_1876-402.txt_p722', 'TheMusicalTimes_1875-388.txt_p675', 'TheMusicalTimes_1875-388.txt_p664']","['Norts Berwick, N.B.—On Saturday, the 8th ult., Mr. Frank Bates gave an Organ Recital at S. Baldred’s Episcopal Church. The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure-Wély.', 'Legps.—On Friday, the r4th ult., Dr. Spark gave two recitals on the large o: erected by Messrs. Gray and Davison in the Edinburgh Hall of the Yorkshire Exhibition. -The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, &c., all of which were excellently rendered.—aA', 'in alt. and pedal organ with thirty notes, with two independent stops on the pedals. It is built by J. M. Granwell, of Derby, and gives great satisfaction. The selections performed from the works of Mendelssohn, . S. Bach, and other eminent writers for the organ, displayed the instrument to great advantage.']",Mendelssohn,Q46096,person,Q41783627;Q47513887,Q41783627,0,1,0,0,QID,0,0.9030303030303031,0.6024258760107817,0.7227162489894907
