retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
contriever,What is the family name of Gavinies?,,"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,"['TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p349', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p373', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p369']","['It was during this time that he composed, as if by inspiration, the celebrated Romance de. Gavinies, so long in vogue. This romance he performed at the age of 63, with such exquisite expression as to draw tears from a crowded audience at a public concert. Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs. A year before his death (in 1799) he published a work entitled ‘ Les vingt quatre Matinées,” which contains music of still more difficult execution than the Caprices of Locatelli and Fiorillo. Gavinies was particularly celebrated for his skill in accompaniment, and the taste he display ed in the variations he introduced. ‘-Before entering upon .the histories of the scholars of Gavinies, it t will be right to give some account of his eotemporar ies.', 'Such was the deplorable end of this artist, in 1781. Ie published two concertos for the violin, six quartets, at Paris, and six more in London. 7 Lemiere, another of Gavinies’ scholars, was the master of M.', 'The celebrated Viotti,, whose history we have already laid before our readers, although his. scholars are now at the head of the Conservatoire, can hardly be said to’ have formed a distinct yon school, like that of Gavinies, the latter possessing a style that must_ be said to have been exclusively his own, whilst that of Viotti w as derived from foreign sources. Nevertheléss he was decidedly the .']",Gavinies,Q490205,person,,,0,0,0,0,QID,1,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Lord Chamberlain?,,", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,"['TheHarmonicon_1832-012.txt_p1239', 'TheHarmonicon_1832-012.txt_p333', 'TheHarmonicon_1832-012.txt_p786']","['Where are your records ? They will be found in the Lord Chamberlain’ 8 office.', 'Where are your records ? They will be found in the Lord Chamberlain’ 8 office.', 'Where are your records ? They will be found in the Lord Chamberlain’ 8 office.']",Chamberlain,Q541755,person,Q16865452,Q14917207,0,0,1,1,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Mr. C. Hancock?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalTimes_1875-388.txt_p657', 'TheHarmonicon_1832-012.txt_p305']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Messrs. Hooper, Bruton, Bartlett, and Matthews presided at the pianoforte and harmonium, and Mr. J. A. Matthews conducted.', 'Concerning the German operas, the following i is Mr. C.']",Hancock,Q16030597,person,Q13635636,Q13635636,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Sir George Elvey?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalTimes_1876-402.txt_p1007', 'TheMusicalTimes_1876-402.txt_p504']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'COME, YE THANKFUL PEOPLE, COME, Hymn. Sir G. Ervey.', 'shall rejoice.” The musical arrangements were admirably carried out under the direction of Sir George Elvey, who also officiated at the organ. H.R.H. Princess Christian was present at the Afternoon Service.']",Elvey,Q5541104,person,Q37439496,Q37439496,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Mr. Viotti?,,Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,"['TheHarmonicon_1824-016.txt_p868', 'TheHarmonicon_1824-016.txt_p20', 'TheHarmonicon_1824-016.txt_p253']","['_ Though Mr. Viotti had long retired from his profession, he nevertheless retained ‘all his love for the art, and contributed every thing in his power towards its ATS', '_ Though Mr. Viotti had long retired from his profession, he nevertheless retained ‘all his love for the art, and contributed every thing in his power towards its ATS', '_ Though Mr. Viotti had long retired from his profession, he nevertheless retained ‘all his love for the art, and contributed every thing in his power towards its ATS']",Viotti,Q313188,person,Q21508362,Q21508362,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Rameau?,,"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,"['TheMusicalWorld_1843-038.txt_p43', 'TheMusicalWorld_1843-038.txt_p29', 'TheMusicalWorld_1843-038.txt_p59']","['Hippolyte “et Arcie (such was the title of Rameau’s first work) was brought out on the Ist of October, 1783. Rameau was then fifty years old.', 'RAMEAU.', 'great degree to the stiff and scholastic epoch in which he lived, Rameau will always be placed in the first rank of French composers, because he was the most inventive.']",Rameau,Q1145,person,Q24529820,Q24529820,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Benzamin Rogenrs?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,"['TheHarmonicon_1832-012.txt_p610', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p6']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]",Rogenrs,Q18546476,person,Q16471355,,0,0,0,1,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Bach?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,"['DwightSJournalOfMusic_1870-021.txt_p3', 'TheMusicalTimes_1876-397.txt_p1143', 'TheMusicalTimes_1876-402.txt_p414']","[""Bach's Passion Music."", 'Now ready, the Selection from A SACRED CANTATA', 'Now, what was the result ? On the first representation of Bach’s Mass an enthusiastic audience applauded every number of the work as if it were a revelation in music; on the second performance every seat in the hall was filled, and the excitement ‘could scarcely be repressed within reasonable bounds.']",Bach,Q1339,person,Q1409748,Q1409748,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Handel?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p594', 'TheMusicalTimes_1876-397.txt_p1150', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p600']","['“Handel.', 'HANDEL’S .', 'Handel.']",Handel,Q7302,person,Q15730697;Q16276271,Q16276271,0,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Mendelssohn?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,"['TheMusicalTimes_1873-366.txt_p1327', 'TheMusicalTimes_1875-388.txt_p289', 'TheMusicalTimes_1875-388.txt_p918']","['MENDELSSOHN.', 'MENDELSSOHN’S', 'MENDELSSOHN’S']",Mendelssohn,Q46096,person,Q41783627;Q47513887,Q41783627,0,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Cherubini?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Cherubini,"['TheMusicalWorld_1843-029.txt_p57', 'TheMusicalWorld_1843-029.txt_p50', 'TheMusicalWorld_1843-029.txt_p43']","['We will examine whether, for this preference, there was no other reason than the inequality of the libretti? And here a question presents itself, which has often been a matter of controversy between the friends and detractors of Cherubini.', 'It would not be less interesting to learn the motives which induced Cherubini to recompose one of the most beautiful airs of Mozart, than to compare the works of two great masters on the same subject and the same words.', 'M. Cherubini, already so celebrated while yet at an age when one dreams not of becoming su, has recomposed several pieces of music in most of the Italian operas that we have just cited.']",Cherubini,Q20721,person,Q37104786,,0,0,0,1,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Lefébure - Wély?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Lefébure - Wély,"['TheMusicalTimes_1876-402.txt_p722', 'TheMusicalTimes_1876-397.txt_p1143', 'TheMusicalTimes_1875-388.txt_p545']","['Norts Berwick, N.B.—On Saturday, the 8th ult., Mr. Frank Bates gave an Organ Recital at S. Baldred’s Episcopal Church. The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure-Wély.', 'Now ready, the Selection from A SACRED CANTATA', 'The programmes contain an excellent selection of classical music, both vocal and instrumental, and are so arranged as to afford opportunity at the termination of each concert for the inspection of the Gallery of pictures.']",Lefébure,Q546919,person,,,0,0,0,0,QID,1,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Mr. Mocre?,,"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Mocre,"['TheQuarterlyMusicalMagazineAndReview_1824-022.txt_p777', 'TheQuarterlyMusicalMagazineAndReview_1824-022.txt_p631', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p526']","['Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop. It is light and lively, but better calculated for a dramatic purpose than for amateurs.', 'We shall proceed to notice separately the principal features of the compositions enumerated above. The first is dedicated to Mr. Moore, and it is one of the most.', 'But it must he presumed that Mr. Bishop has learned the art ‘common to composers of high fantasy, of taking the general passion the song is intended to express, and of raising musical imagery upon it, without descending to either syllables or sentences, except In so far. as their quantities are concerned. Such verses indeed as usually appear in English (or modern Italian)']",Mocre,Q315346,person,Q10588869,,0,0,0,1,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Mr. Bishop?,,"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Bishop,"['TheQuarterlyMusicalMagazineAndReview_1824-022.txt_p777', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p526', 'TheQuarterlyMusicalMagazineAndReview_1824-022.txt_p54']","['Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop. It is light and lively, but better calculated for a dramatic purpose than for amateurs.', 'But it must he presumed that Mr. Bishop has learned the art ‘common to composers of high fantasy, of taking the general passion the song is intended to express, and of raising musical imagery upon it, without descending to either syllables or sentences, except In so far. as their quantities are concerned. Such verses indeed as usually appear in English (or modern Italian)', 'to the character given of him in the article on Bishop’s operas.']",Bishop,Q1200639,person,Q1158188,Q1158188,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Rameau?,,"Rameau was in despair, and thought to renounce the theatre.",Rameau,"['TheMusicalWorld_1843-038.txt_p29', 'TheMusicalWorld_1843-038.txt_p43', 'TheMusicalWorld_1843-038.txt_p59']","['RAMEAU.', 'Hippolyte “et Arcie (such was the title of Rameau’s first work) was brought out on the Ist of October, 1783. Rameau was then fifty years old.', 'great degree to the stiff and scholastic epoch in which he lived, Rameau will always be placed in the first rank of French composers, because he was the most inventive.']",Rameau,Q1145,person,Q24529820,Q24529820,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of H. Lazarus?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",H. Lazarus,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1875-388.txt_p478']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Ly or i a a a en St — , __._—-____._§ | —__ —__»—__e—__—_ — SF? H']",Lazarus,Q5724751,person,Q26775128,Q26775128,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of J. Thomas?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",J. Thomas,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p64']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', '3. Fare thee well, “forget: ‘me not, by J. Jolly 4. T will follow thee, by G. A. Hodson .']",Thomas,Q1701921,person,Q1413324,Q1413324,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Batiste?,,"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Batiste,"['TheMusicalTimes_1876-402.txt_p974', 'TheMusicalWorld_1843-029.txt_p163', 'TheQuarterlyMusicalMagazineAndReview_1824-022.txt_p2']","['Andantino, D major ... ase one .. Batiste.', 'Batre’s Puits d’ amour has been withdrawn, and has given place to an opera called Les Cabales.', 'La prééminence que VItalie a obtenue dans Vart de la Musique, n’est pas contestée; quelle autre contrée au monde afourni autant de célébres compositeurs? Le Compte Gre~ goire Orloff.']",Batiste,Q274231,person,Q16479456,Q16479456,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Lefébure - Wély?,,"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Lefébure - Wély,"['TheQuarterlyMusicalMagazineAndReview_1824-022.txt_p2', 'DwightSJournalOfMusic_1868-012.txt_p224', 'TheMusicalTimes_1876-402.txt_p1098']","['La prééminence que VItalie a obtenue dans Vart de la Musique, n’est pas contestée; quelle autre contrée au monde afourni autant de célébres compositeurs? Le Compte Gre~ goire Orloff.', 'Overture to “Das Heimkehr,?. Mendelssohn, : __ Overtyre to “Les Francs Juges, » Berlioz.', 'MENDELSSOHN’S']",Lefébure,Q546919,person,,,0,0,0,0,QID,1,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Mendelssohn?,,"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Mendelssohn,"['TheMusicalTimes_1875-388.txt_p289', 'TheMusicalTimes_1873-366.txt_p849', 'TheMusicalTimes_1875-388.txt_p918']","['MENDELSSOHN’S', 'MENDELSSOHN’S', 'MENDELSSOHN’S']",Mendelssohn,Q46096,person,Q41783627;Q47513887,Q41783627,0,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Gounod?,,"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Gounod,"['TheQuarterlyMusicalMagazineAndReview_1824-022.txt_p2', 'DwightSJournalOfMusic_1868-012.txt_p224', 'TheMusicalTimes_1875-388.txt_p918']","['La prééminence que VItalie a obtenue dans Vart de la Musique, n’est pas contestée; quelle autre contrée au monde afourni autant de célébres compositeurs? Le Compte Gre~ goire Orloff.', 'Overture to “Das Heimkehr,?. Mendelssohn, : __ Overtyre to “Les Francs Juges, » Berlioz.', 'MENDELSSOHN’S']",Gounod,Q180278,person,Q105681558,Q105681558,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Mendelssohn?,,"There were aymptoms of weariness, to be sute, in some of the high tenors in the last piece, that noble double chorus from Mendelssohn's “Oedipus,’ and",Mendelssohn,"['TheMusicalTimes_1875-388.txt_p482', 'TheMusicalTimes_1873-366.txt_p849', 'TheMusicalTimes_1875-388.txt_p918']","['MENDELSSOHN’S SONGS.', 'MENDELSSOHN’S', 'MENDELSSOHN’S']",Mendelssohn,Q46096,person,Q41783627;Q47513887,Q41783627,0,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Earl of Cawdor?,,"Under the Direction of the Earl of Cawdor, Wednesday, April 24, 1833.",Earl of Cawdor,"['TheHarmonicon_1833-005.txt_p1345', 'TheHarmonicon_1833-005.txt_p393', 'TheHarmonicon_1833-005.txt_p869']","['Chorus, ‘ Cum Sancto Spiritu.’ SIXTH CONCERT, Under the Direction of the Earl of Cawdor, Wednesday, April 24, 1833.', 'Chorus, ‘ Cum Sancto Spiritu.’ SIXTH CONCERT, Under the Direction of the Earl of Cawdor, Wednesday, April 24, 1833.', 'Chorus, ‘ Cum Sancto Spiritu.’ SIXTH CONCERT, Under the Direction of the Earl of Cawdor, Wednesday, April 24, 1833.']",Cawdor,Q6224952,person,Q2665383,,0,0,0,1,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
contriever,What is the family name of Dr. Burney?,,Of the publication of Volume II. of Dr. Burney’s great work we have the following account:,Dr. Burney,"['TheHarmonicon_1833-005.txt_p681', 'TheHarmonicon_1833-005.txt_p81', 'TheHarmonicon_1833-005.txt_p1157']","['Of the publication of Volume II. of Dr. Burney’s great work we have the following account :— “So many years had elapsed since the appearance of the first volume, and the murmurs of the subscribers were so general for the publication of the second, that the earnestness of the doctor to fulfil. his engagement became such as to sicken him of almost every occupation that turned him from its pursuit.', 'Of the publication of Volume II. of Dr. Burney’s great work we have the following account :— “So many years had elapsed since the appearance of the first volume, and the murmurs of the subscribers were so general for the publication of the second, that the earnestness of the doctor to fulfil. his engagement became such as to sicken him of almost every occupation that turned him from its pursuit.', 'Of the publication of Volume II. of Dr. Burney’s great work we have the following account :— “So many years had elapsed since the appearance of the first volume, and the murmurs of the subscribers were so general for the publication of the second, that the earnestness of the doctor to fulfil. his engagement became such as to sicken him of almost every occupation that turned him from its pursuit.']",Burney,Q547002,person,Q16865192,Q16865192,1,1,0,0,QID,0,0.8948126801152738,0.8369272237196765,0.8649025069637883
