retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
instructor-xl,What is the family name of Gavinies?,,"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,"['TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p349', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p373', 'TheQuarterlyMusicalMagazineAndReview_1825-025.txt_p346']","['It was during this time that he composed, as if by inspiration, the celebrated Romance de. Gavinies, so long in vogue. This romance he performed at the age of 63, with such exquisite expression as to draw tears from a crowded audience at a public concert. Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs. A year before his death (in 1799) he published a work entitled ‘ Les vingt quatre Matinées,” which contains music of still more difficult execution than the Caprices of Locatelli and Fiorillo. Gavinies was particularly celebrated for his skill in accompaniment, and the taste he display ed in the variations he introduced. ‘-Before entering upon .the histories of the scholars of Gavinies, it t will be right to give some account of his eotemporar ies.', 'Such was the deplorable end of this artist, in 1781. Ie published two concertos for the violin, six quartets, at Paris, and six more in London. 7 Lemiere, another of Gavinies’ scholars, was the master of M.', 'Gavinies possessed a brilliant and certain 1 execution, but what \x0c A8 ON THE RISE AND PROGRESS OF THE. VIOLIN.']",Gavinies,Q490205,person,,,0,0,0,0,QID,1,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Lord Chamberlain?,,", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,"['TheHarmonicon_1832-012.txt_p761', 'TheHarmonicon_1832-012.txt_p1214', 'TheHarmonicon_1832-012.txt_p308']","['Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.', 'Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.', 'Do you not conceive it to be rather an infringement of the compact and understanding originally entered into ? Ido; it is an infrmgement of the arrangement that took place, I forget in what year; 1792, I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject ? I do not think we have on that particular point.']",Chamberlain,Q541755,person,Q16865452,Q14917207,0,0,1,1,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Mr. C. Hancock?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalWorld_1844-006.txt_p135', 'TheMusicalTimes_1875-388.txt_p683']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.', 'members of the Society. Mr. Richmond, of Dundee, presided at the harmonium. The performance was a great success.']",Hancock,Q16030597,person,Q13635636,Q13635636,1,1,0,0,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Sir George Elvey?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalWorld_1844-006.txt_p135', 'TheMusicalTimes_1875-388.txt_p683']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.', 'members of the Society. Mr. Richmond, of Dundee, presided at the harmonium. The performance was a great success.']",Elvey,Q5541104,person,Q37439496,Q37439496,1,1,0,0,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Mr. Viotti?,,Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,"['TheHarmonicon_1824-016.txt_p12', 'TheHarmonicon_1824-016.txt_p245', 'TheHarmonicon_1824-016.txt_p860']","['In 1790, one of the deputies of the Assemblée Constituante, who had a range of apartments on the fifth floor of a house, prevailed upon Viotti, who was his intimate friend, to give a concert at his chambers. Princes, and a long list of grandees and ladies of distinction were invited. “ It is now a long time,” said Viotti, “ since we descended to them ; they must ow ascend to us.” Mr. Viotti had a turn for repartee. One day when the minister Calonne, asked him which violin was the most true,—“ That,” replied he with a significant look, ‘* which is the least false.” : M. Puppo, whose talents upon the violin were great, and which Mr. Viotti was the first to praise, was fond of hoasting that he was a scholar of the great Tartini, which was known not to be the case. On a public occasion, when M. Lahoussaye, who was really a disciple of Tartini, was present, Viotti begged him as a favour to give him a specimen of Tartini’s manner of playing; *“and now,” said he in a voice loud enough to be heard by all the company, “now M. Puppo, listen to my friend M. Lahoussaye, and you will be able to form an idea how Tartini played.” Mr. Viotti remained in Paris till the unhappy revolution in 1790, which chased away the Muses from that devoted capital, when he joined the fugitives and escaped to England. In London he made his debit at Salomon’s Concerts, where in a concerto of his own composition he excited no less admiration than he had previously gained In the years 1794 and 1795 Mr. Viotti had some share in the management of the King’s Theatre. Shortly after this he succeeded Mr. Wm. Cramer as leader of the Opera band, an office that he did not long retain, for in 1798 the susceptible feelings of this admirable artist were destined to expede piano, a work in which she progressively conducts her pupils from the simplest to the greatest difficulties, is well known to the public.', 'In 1790, one of the deputies of the Assemblée Constituante, who had a range of apartments on the fifth floor of a house, prevailed upon Viotti, who was his intimate friend, to give a concert at his chambers. Princes, and a long list of grandees and ladies of distinction were invited. “ It is now a long time,” said Viotti, “ since we descended to them ; they must ow ascend to us.” Mr. Viotti had a turn for repartee. One day when the minister Calonne, asked him which violin was the most true,—“ That,” replied he with a significant look, ‘* which is the least false.” : M. Puppo, whose talents upon the violin were great, and which Mr. Viotti was the first to praise, was fond of hoasting that he was a scholar of the great Tartini, which was known not to be the case. On a public occasion, when M. Lahoussaye, who was really a disciple of Tartini, was present, Viotti begged him as a favour to give him a specimen of Tartini’s manner of playing; *“and now,” said he in a voice loud enough to be heard by all the company, “now M. Puppo, listen to my friend M. Lahoussaye, and you will be able to form an idea how Tartini played.” Mr. Viotti remained in Paris till the unhappy revolution in 1790, which chased away the Muses from that devoted capital, when he joined the fugitives and escaped to England. In London he made his debit at Salomon’s Concerts, where in a concerto of his own composition he excited no less admiration than he had previously gained In the years 1794 and 1795 Mr. Viotti had some share in the management of the King’s Theatre. Shortly after this he succeeded Mr. Wm. Cramer as leader of the Opera band, an office that he did not long retain, for in 1798 the susceptible feelings of this admirable artist were destined to expede piano, a work in which she progressively conducts her pupils from the simplest to the greatest difficulties, is well known to the public.', 'In 1790, one of the deputies of the Assemblée Constituante, who had a range of apartments on the fifth floor of a house, prevailed upon Viotti, who was his intimate friend, to give a concert at his chambers. Princes, and a long list of grandees and ladies of distinction were invited. “ It is now a long time,” said Viotti, “ since we descended to them ; they must ow ascend to us.” Mr. Viotti had a turn for repartee. One day when the minister Calonne, asked him which violin was the most true,—“ That,” replied he with a significant look, ‘* which is the least false.” : M. Puppo, whose talents upon the violin were great, and which Mr. Viotti was the first to praise, was fond of hoasting that he was a scholar of the great Tartini, which was known not to be the case. On a public occasion, when M. Lahoussaye, who was really a disciple of Tartini, was present, Viotti begged him as a favour to give him a specimen of Tartini’s manner of playing; *“and now,” said he in a voice loud enough to be heard by all the company, “now M. Puppo, listen to my friend M. Lahoussaye, and you will be able to form an idea how Tartini played.” Mr. Viotti remained in Paris till the unhappy revolution in 1790, which chased away the Muses from that devoted capital, when he joined the fugitives and escaped to England. In London he made his debit at Salomon’s Concerts, where in a concerto of his own composition he excited no less admiration than he had previously gained In the years 1794 and 1795 Mr. Viotti had some share in the management of the King’s Theatre. Shortly after this he succeeded Mr. Wm. Cramer as leader of the Opera band, an office that he did not long retain, for in 1798 the susceptible feelings of this admirable artist were destined to expede piano, a work in which she progressively conducts her pupils from the simplest to the greatest difficulties, is well known to the public.']",Viotti,Q313188,person,Q21508362,Q21508362,1,1,0,0,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Rameau?,,"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,"['TheMusicalWorld_1843-038.txt_p48', 'TheMusicalWorld_1843-038.txt_p54', 'TheMusicalWorld_1843-038.txt_p47']","['of Rameau was represented in 1735, it was a balletopera Les Indes galantes. What was then termed a ballet opera, is now out of use, and itis difficult to define this title of ballet added to that of opera —it did not mean that there was more dancing than in the operas which had only the single title, but it indicated the lightness of the subject, which was mostly graceful, and one of the particularities of this kind of piece was that, when in several parts, the one complete work was composed of various acts which had only connexion with the general title of the work: thus spectacles were often formed, called fragments, which were composed of acts taken from different ballets, which was the more easily done, since each of these acts formed a complete piece. The music of the Indes Galantes, is very pretty, and several pieces have in their time heen very popular, such as the air Papilion inconsiant, the pretiy melody Fuyez, fuyez, vents oragena, rand especially the famous duet Sombres foréts in the act of the savages. The accompaniment of this duet was the Murche des suuvages, which Ramean had already published under that title in one of his harpsichord books. Two years later in 1737, he wrote Castor et Pollux, which is considered his chef d’ wuvre. Amongst other pieces may be cited the chorus Que teut gemisse, the harmony of which is excellent, and the commencement of which is a scale in semi-tones with an imitation la guinte very cleverly introduced.', 'T transcribe these pretty words, because it is remarkable that they were written to the music, which was a minuet already published by Rameau amongst his harpsichord music. This air is charming, and perfectly in place: it has but one faultnamely, that of being much too high for the voice of the singer for whom it was written ; at the same time, it would be too low if it were transposed. We see that a hundred years since, as in our own times, (but, perhaps, rather less frequently) poets were cbliged to submit the rhythm of their words to the will of the musician, \x0c It would be troublesome to our readers to continue an examination of operas which are perfectly unknown to them. It will be sufficient to give a list of the dramatic works of Rameau; he bronght out successfully, Les Talens Lyriques, 1739; Dardanus,1739 ; Les Fétes de Polymnie,1745 ; LaPrincesse de Navarre, 1745; Le Temple de la Gloire, 1745; Les Fétes de VHymen, et del Amour, 1747 ; Zais, 1748 ; Pygmalion, 1748 ; [lais,1749 ; Plateé, 1749 ; Zeroastre, 1749 ; Acanthe et Céphise, 1751; La Guirlande\\751 ; Daphnis et Eglé,\\753; Lysis et Délié, 1753; La Natesanec d’ Osiris, 1754; Anacréon, 1754; Zephire, 1754; Néleé et Mirthis, 1754; lo, 1754; Le retour d’Astreé, 1757; Les surprises, de ? Amour, 1759; Les Sybarites, 1759 ; and Les Paladins,1760. Although most of these pieces are in one act, and of trifling importance, the number must seem prodigious, when we consider that Rameau did not commence his dramatic career until he was 50 years old. Hewas 77 when he composed his last opera, and at his death, which took place four years after, in 1764, three manuscript scores were found ready for representation. Rameau’s scores have only been engraved with a pianoforte arrangement, including some particular orchestral effects here and there.', 'One of the principal pieces in Hippolyte et Arcie, is the trio of the Fates, one of the most beautiful compositions of Rameau. It is in a style of richness and full harmony, astonishing for the time in which it was written. This was the first time that enharmonic transitions had been made use of in theatrical music, and those in this magnificent trio produced a startling effect; the rifournedle at the beginning is admirable in grandeur and energy, and would not be a disgrace to any of the chefs d’ euvres of the more modern schools. When we are to judge an ancient composer, we should try to forget all those works which have been written since his time, and only to recal those which preceded him, we may then fairly judge of the degree of invention a musician possesses. We may see by this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera. It is quite in another style, another orchestra, a new disposition, unknown thythms—in fact with the exception of the overture and the grand fugued choruses after the old style, quite a revolution is apparent, and the distance between Rameau and Lully, is as great as between Gluck and Rameau. The second work It may be remarked as a singular thing, that the first opera played in France was composed and performed by churchmen; the words were by the Abbé Perrin, the music by Lambert, the organist of Saint Honoré, and all the singers were chosen from the various parishes. Until the establishment of the Conservatoire, during the revolution, there was no other singing school in France than those in the cathedrals, in which sacred buildings the theatrical rehearsals always took place.']",Rameau,Q1145,person,Q24529820,Q24529820,1,1,0,0,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Benzamin Rogenrs?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]",Rogers,Q18546476,person,Q16471355,Q16471355,1,1,0,0,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Bach?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,"['TheMusicalTimes_1873-366.txt_p373', 'TheMusicalWorld_1844-006.txt_p16', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p666']","['not forthcoming; we were all in a difficulty, endelssohn came to the rescue. He quietly himself to an adjoining room, and there he posed the recitative, scored it, and copied the 8 and these were admirably played at first by the band—the public knowing nothing of had happened. That’s. the way a Mendelssohn s.” At the close of the Festival, Moscheles up his English home, and joined Mendelssohn cipsic, much to the delight of the younger master, fhose heart the Conservatoire was so near that even when composing “ Elijah,” did he neglect pupils for a day. The two families appear to : lived in perfect union, for Mrs. Moscheles fe to a friend at the time, ‘“‘ We are truly happy intercourse with the Mendelssohns; * a happy household it is. The abundant means s command are never squandered upon outward o show, but judiciously spent on a well-regulated, comfortable household.” We are permitted a glimpse of this happy family in the sanctum of home—almost the last glimpse before the shadow of death falls over all. It was Mendelssohn’s birthday, and his friends combined to keep it with due festivity. Moscheles must describe the revels :—‘‘ The proceedings were opened wifh a capital comic scene between two ladies’ maids, acted, in the Frankfort dialect, by Cécile (Madame Mendelssohn) andher sister. Then came a Charade on the word ‘ Gewandhaus,’ Joachim, adorned with a fantastic wig, @ la Paganini, played a hare-brained Impromptu on the G string. The syllable ‘wand’. was represented by the Pyramus and Thisbe wall-scene from the ‘ Midsummer Night’s Dream ;’ for ‘haus’ Charlotte (Mrs. Moscheles) acted a scene she had written herself, in which she is discovered knitting a blue stocking, and soliloquizing on the foibles of female authoresses, advising them to attend to their domestic duties.', 'The concerto of Sebastian Bach is a work of tremendous power, leaving all that proceded and all that followed it a vast way in the rear. This Bach puzzles us beyond all conception. At a time, when, so to speak, the development of a musical composition was almost a thing unknown, here is a long symphony in three movements, in design and completion no way inferior to the master-pieces of Beethoven! We cannot speak too highly of the manner in which this magnificent burst of grandeur was rendered, by Mr. Sterndale Bennett and his able assistants, (Mr. Gattie and the rest) and we cannot think too highly of the audience who received it with such affectionate welcome, and with one voice confirmed it the chefTo hear such a thing thus exeeuted would repay subscription to twenty concerts, and leave nothing to complain of. The trio of old Corelli was anything but. archangel-ish after this superdeuvre of the evening.', 'Concerto. (Select Harmony. 2 .° Handel.']",Bach,Q1339,person,Q1409748,Q1409748,1,1,0,0,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Handel?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p666', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p572', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p577']","['Concerto. (Select Harmony. 2 .° Handel.', 'Handel.', 'Handel.']",Handel,Q7302,person,Q15730697;Q16276271,Q16276271,0,1,0,0,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
instructor-xl,What is the family name of Mendelssohn?,,"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,"['TheMusicalTimes_1873-366.txt_p373', 'TheMusicalTimes_1875-388.txt_p600', 'TheMusicalTimes_1876-402.txt_p1272']","['not forthcoming; we were all in a difficulty, endelssohn came to the rescue. He quietly himself to an adjoining room, and there he posed the recitative, scored it, and copied the 8 and these were admirably played at first by the band—the public knowing nothing of had happened. That’s. the way a Mendelssohn s.” At the close of the Festival, Moscheles up his English home, and joined Mendelssohn cipsic, much to the delight of the younger master, fhose heart the Conservatoire was so near that even when composing “ Elijah,” did he neglect pupils for a day. The two families appear to : lived in perfect union, for Mrs. Moscheles fe to a friend at the time, ‘“‘ We are truly happy intercourse with the Mendelssohns; * a happy household it is. The abundant means s command are never squandered upon outward o show, but judiciously spent on a well-regulated, comfortable household.” We are permitted a glimpse of this happy family in the sanctum of home—almost the last glimpse before the shadow of death falls over all. It was Mendelssohn’s birthday, and his friends combined to keep it with due festivity. Moscheles must describe the revels :—‘‘ The proceedings were opened wifh a capital comic scene between two ladies’ maids, acted, in the Frankfort dialect, by Cécile (Madame Mendelssohn) andher sister. Then came a Charade on the word ‘ Gewandhaus,’ Joachim, adorned with a fantastic wig, @ la Paganini, played a hare-brained Impromptu on the G string. The syllable ‘wand’. was represented by the Pyramus and Thisbe wall-scene from the ‘ Midsummer Night’s Dream ;’ for ‘haus’ Charlotte (Mrs. Moscheles) acted a scene she had written herself, in which she is discovered knitting a blue stocking, and soliloquizing on the foibles of female authoresses, advising them to attend to their domestic duties.', 'rn rn I ee those whose names they are constantly hearing. We are especially pleased with the manner in which the lives of Mozart and Mendelssohn are treated, and quite agree with our authoress that, apart from the right which Moscheles, by virtue of his talent, has to a high place in the history of music, his intimate connection with the first composers, makes the record of his career highly valuable. Strange however is it that ina book so well digested, where space does not allow more than a short catalogue of some of the minor composers who have contributed to preserve, trans| mit, and make popular in their own way, the gentle science in England, the only names mentioned should be‘‘ Chappell, Brinley Richards, D’Albert, and the brothers Godfrey.” accompaniment, with an effective ad libitum harp part.', 'Slow Movement, in G (Sinfonia in D) .. ae Adagio (from the Grand Concertos)... aes Awake the Harp (Creation) see ase ose Andante, in E (First Concerto) . ote wn Allelujah (The King shall rejoice). we wee pig: LONDON: NOVELLO, EWER AND CO, Mozart Cherubini Dr. Crotch Graun Mozart Cherubini Marcello Dr. Croft Naumann Dr. Boyce Spohr Handel Beethoven Dr. Croft Barthélémon Mozart Rink Cherubini Handel Handel Beethoven Caldara Marcello Mozart Hummel Haydn Rink Eybler Rink Mozart Mozart Handel Haydn Handel Haydn Haydn Marcello Handel Beethoven Hasse Mendelssohn Haydn Handel Mozart Dr. Croft Rink Mendelssoha Greene Hummel Spohr Beethoven Handel Naumann Beethoven Romberg Handel J. S. Bach Dr. Croft Haydn Spohr Spohr André Haydn Mendelssohn Handel \x0c 576 THE MUSICAL TEMES —Auauss 1, 1876.']",Mendelssohn,Q46096,person,Q41783627;Q47513887,Q41783627,0,1,0,0,QID,0,0.869753979739508,0.8099730458221024,0.8387997208653175
