retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,complete_prompt,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
instructor-xl,What is the given name of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalTimes_1875-388.txt_p657', 'TheMusicalWorld_1844-006.txt_p135']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Messrs. Hooper, Bruton, Bartlett, and Matthews presided at the pianoforte and harmonium, and Mr. J. A. Matthews conducted.', 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Mr. Liddle""
Sentence: ""Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.""
Context:
{'TheMusicalTimes_1875-388.txt_p704': 'Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'TheMusicalTimes_1875-388.txt_p657': 'Messrs. Hooper, Bruton, Bartlett, and Matthews presided at the pianoforte and harmonium, and Mr. J. A. Matthews conducted.', 'TheMusicalWorld_1844-006.txt_p135': 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.'}
Question: ""What is the given name of Mr. Liddle?""

Answer:",;,NIL,person,,,0,0,0,0,NIL,0,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Peter Rogers""
Sentence: ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.""
Context:
{'TheHarmonicon_1832-012.txt_p6': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", 'TheHarmonicon_1832-012.txt_p157': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", 'TheHarmonicon_1832-012.txt_p610': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""}
Question: ""What is the given name of Peter Rogers?""

Answer:",Peter,NIL,person,,,0,0,0,0,NIL,0,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"['TheHarmonicon_1828-001.txt_p253', 'TheHarmonicon_1828-001.txt_p665', 'TheHarmonicon_1828-001.txt_p1077']","['M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""M. Beckers""
Sentence: ""He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!""
Context:
{'TheHarmonicon_1828-001.txt_p253': 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'TheHarmonicon_1828-001.txt_p665': 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'TheHarmonicon_1828-001.txt_p1077': 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.'}
Question: ""What is the given name of M. Beckers?""

Answer:",M. Beckers; M. Beckers; M. Beckers,NIL,person,,,0,0,0,0,NIL,0,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"['TheMusicalTimes_1875-388.txt_p679', 'TheMusicalTimes_1876-397.txt_p769', 'TheMusicalWorld_1843-038.txt_p90']","['he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Miss Orton""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheMusicalTimes_1875-388.txt_p679': 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'TheMusicalTimes_1876-397.txt_p769': 'Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'TheMusicalWorld_1843-038.txt_p90': 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.'}
Question: ""What is the given name of Miss Orton?""

Answer:",;,NIL,person,NIL,,0,0,0,0,NIL,1,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"['TheMusicalTimes_1875-388.txt_p679', 'TheMusicalTimes_1876-397.txt_p769', 'TheMusicalWorld_1843-038.txt_p90']","['he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Miss Wale""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheMusicalTimes_1875-388.txt_p679': 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'TheMusicalTimes_1876-397.txt_p769': 'Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'TheMusicalWorld_1843-038.txt_p90': 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.'}
Question: ""What is the given name of Miss Wale?""

Answer:",;,NIL,person,NIL,,0,0,0,0,NIL,1,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"['TheMusicalTimes_1875-388.txt_p679', 'TheMusicalTimes_1876-397.txt_p769', 'TheMusicalWorld_1843-038.txt_p90']","['he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Mr. Horniblow""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheMusicalTimes_1875-388.txt_p679': 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'TheMusicalTimes_1876-397.txt_p769': 'Mr. Reed conducted, and Mr. H.R. Bird presided.at the piano. The solo vocalists were Miss Brand, Miss Winn, Mr. Howells, and Mr. Winn.', 'TheMusicalWorld_1843-038.txt_p90': 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.'}
Question: ""What is the given name of Mr. Horniblow?""

Answer:",Adolphus,NIL,person,NIL,Q365967,0,0,1,0,NIL,0,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"['TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p357']","['FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Bow""
Sentence: "", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.""
Context:
{'TheMusicalTimes_1875-388.txt_p91': 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'TheMusicalTimes_1876-397.txt_p815': 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'TheMusicalTimes_1875-388.txt_p357': '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .'}
Question: ""What is the given name of Bow?""

Answer:",E.,NIL,person,,,0,0,0,0,NIL,0,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"['TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p357']","['FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""E. Carper""
Sentence: "", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.""
Context:
{'TheMusicalTimes_1875-388.txt_p91': 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'TheMusicalTimes_1876-397.txt_p815': 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'TheMusicalTimes_1875-388.txt_p357': '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .'}
Question: ""What is the given name of E. Carper?""

Answer:",E.,NIL,person,NIL,,0,0,0,0,NIL,1,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"['TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p497']","['Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Waillworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J. Amor, H.']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""F. J. Amor""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Context:
{'TheMusicalTimes_1876-402.txt_p498': 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'TheMusicalTimes_1876-402.txt_p484': 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'TheMusicalTimes_1876-402.txt_p497': 'Waillworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J. Amor, H.'}
Question: ""What is the given name of F. J. Amor?""

Answer:",F. J.,NIL,person,,,0,0,0,0,NIL,0,0.5319148936170213,0.43859649122807015,0.4807692307692307
instructor-xl,What is the given name of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"['TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p497']","['Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Waillworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J. Amor, H.']","Your task is to determine the given name(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of given name(s) (e.g., ""givenName1; givenName2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""James Perry"" occurring in the sentence ""Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle."",
answer the following question: ""What is the given name of James Perry?""
Answer: James

Now, given the following inputs:
Person: ""Walter Pettit""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Context:
{'TheMusicalTimes_1876-402.txt_p498': 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'TheMusicalTimes_1876-402.txt_p484': 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'TheMusicalTimes_1876-402.txt_p497': 'Waillworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J. Amor, H.'}
Question: ""What is the given name of Walter Pettit?""

Answer:",Walter,NIL,person,,,0,0,0,0,NIL,0,0.5319148936170213,0.43859649122807015,0.4807692307692307
