question,gold_answer,sentence,span,prompt_sent_to_llm,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,source_file,source_approach,model,retriever,document,retrieved_context_ids,retrieved_context_texts,complete_prompt,vote_count,unique_qids,all_qids_voted,source_approaches,voting_algorithm,threshold,multi_valued_support,TP,FP,FN,entity_type,TN,precision,recall,f1
What is the occupation of A. White?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""A. White""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Question: ""What is the occupation of A. White?""

Answer:","violinist

Given the person ""A. White"" occurring in the sentence ""Excerpts in the G major album ..."",
answer the question: ""What is the occupation of A. White?""",NIL,person,,,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,0,0,,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Agnes Drummond?,,"The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.",Agnes Drummond,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Agnes Drummond""
Sentence: ""The artists engaged were the Misses Agnes Drummond, Josephine Pulham, Marian Haigh, Florence Wydford, and Messrs. Henry Guy, Theodore Distin, E. Stone, and Thurley Beale.""
Question: ""What is the occupation of Agnes Drummond?""

Answer:",artist.,NIL,person,Q177220,,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,4,Q847689;Q486748;Q639669;Q486748;Q639669;Q3127709;Q486748,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Agnes Larkcom?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Agnes Larkcom,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Agnes Larkcom""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the occupation of Agnes Larkcom?""

Answer:","gardener; writer
Check the instruction once again: Your task: Determine the occupation(s) of a given person occurring in the sentence. Answer MUST consist solely of a semicolon-separated list of occupation(s) with no extra text. Keep in mind you should not include interpretations not mentioned in the sentence. Example: If a book about marketing is mentioned, do not assign “marketer; market analyst” as an occupation for Agnes Larkcom.
answer: gardener",NIL,person,"Q98834068, Q7939609",,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,9,7,Q24841721;Q177220;Q177220;Q55754031;Q36834;Q29448653;Q177220;Q1607826;Q6430706,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Agnes Robinson?,,"Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.",Agnes Robinson,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Agnes Robinson""
Sentence: ""Agnes Robinson, Mrs. Carmichael, and Messrs. Hobart, Peake, C. J. Lenton, and C. Wilson.""
Question: ""What is the occupation of Agnes Robinson?""

Answer:","Mrs. Robinson is a renowned music educator and influential pianist with works on choral music and musical pedagogy.

No specific occupation directly mentioned in the sentence, but we can infer that she is likely involved in music education. The occupations of the others are not specified.",NIL,person,Q29448653,,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,9,7,Q36834;Q486748;Q2675537;Q486748;Q228422;Q3127709;Q1371914;Q228422;Q1076502,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Alice Mary Curtis?,,"Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.",Alice Mary Curtis,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Alice Mary Curtis""
Sentence: ""Beasley, Llewellyn Bagnall, Alice Mary Curtis, nia Sheehan, Johanna Ludovici, Beata Francis.""
Question: ""What is the occupation of Alice Mary Curtis?""

Answer:","author; novelist; inventor
Given the person ""Alice H. May"" occurring in the sentence ""Landes, Alice H. May, paints historical documents and books; writes papers on women's suffrage and labor history; historian.",NIL,person,Q29448653,,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,10,8,Q36834;Q486748;Q765778;Q486748;Q2643890;Q639669;Q177220;Q37226;Q49757;Q486748,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Amy Aylward?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Amy Aylward,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Amy Aylward""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the occupation of Amy Aylward?""

Answer:","horticulturist; teacher

Answer: professor",NIL,person,Q98834068,,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,13,10,Q3140857;Q19788990;Q177220;Q2643890;Q177220;Q177220;Q486748;Q798487;Q1371914;Q765778;Q37226;Q486748;Q2251335,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Angele Cordier?,,"The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.",Angele Cordier,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Angele Cordier""
Sentence: ""The suceess of our charming comic prima donna, Angele Cordier, in’ a grand réle, has been an incident worthy. of note, and the revival of Auber’s sparkling and effective work,” has brought out our favorite tenore (it was given for his benefit,) Lagraye, an opportunity of displaying his best powers.""
Question: ""What is the occupation of Angele Cordier?""

Answer:","comedian; opera singer; drama teacher; soprano

Given the person ""Angele Cordier"" occurring in the sentence ""In a rôle of Josephine, feeling in her heart all Angele Cordier"">; if the author of Gounod’s Faust. Miss Cordier is a lady of position and with the gaiety of a child, dancing with great impulse and point""; if the production of Paris’s leading comic opera prima donna is largely owing to Ramond"":{""Comedienne; opera singer;",NIL,person,"Q33999, Q693249, Q2865819",,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,5,Q2865819;Q177220;Q2865819;Q108404711;Q2643890;Q177220;Q21169216,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Annie Albu?,,"Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.",Annie Albu,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Annie Albu""
Sentence: ""Highly commended — Annie Albu, Amy Aylward, Jessie Jones, Agnes Larkcom, and Marian Williams.""
Question: ""What is the occupation of Annie Albu?""

Answer:","gardener; music critic; DJ; farmer; doctor

Sentence: ""... Highly acclaimed floriculturist Annie Albu receiving an award for her outstanding community service and botanical innovation.

Answer: floriculturist",NIL,person,"Q177220, Q639669",,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,6,Q28930062;Q177220;Q486748;Q37226;Q16145150;Q11615883;Q486748,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,1,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Annie Bradley?,,"Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.",Annie Bradley,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Annie Bradley""
Sentence: ""Letters of Commenstion: Misses Louisa A. Turner, Jane Whitaker, Constance Sarper, Annie Bradley, Elizabeth L. Rothwell, Marion ‘Greon, Fanny Boxell.""
Question: ""What is the occupation of Annie Bradley?""

Answer:","schoolmistress; educator; administrator

Given the person ""Annie Jump Cannon"" occurring in the sentence ""Letters of Esteem - Annie Jump Cannon received commendations for her meritorious service as an associate of The College of Charleston at Charleston

Solution: astronomer; mathematician",NIL,person,NIL,,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,8,5,Q37226;Q765778;Q36834;Q486748;Q2675537;Q486748;Q37226;Q37226,ZS+RAG,Boyer-Moore-50pct,0.5,True,0,0,0,NIL,1,0.6326530612244898,0.3069306930693069,0.4133333333333333
What is the occupation of Annie Butterworth?,,"Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.",Annie Butterworth,"Your task is to determine the occupation(s) of a given person occurring in a given sentence. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Annie Butterworth""
Sentence: ""Annie Butterworth, Hannah Edouard, Marietta Phillips, Marie Duval, Mary Jane Williams.""
Question: ""What is the occupation of Annie Butterworth?""

Answer:","actress; social reformer
Given the person ""King"" occurring in the sentence ""The book of King's Cross Songs on Chapbook WARNING: THE MUSIC DIRECTOR for the original production by Diane and Annie King.""

# Answer",NIL,person,"Q177220,Q639669,Q2643890",Q177220,0,QA_occupation_NIL_noctx_openrouter_microsoft_phi-3-medium-128k-instruct_20250423_linked.csv,ZS,microsoft_phi-3-medium-128k-instruct,,,,,,7,2,Q177220;Q177220;Q177220;Q177220;Q765778;Q177220;Q177220,ZS+RAG,Boyer-Moore-50pct,0.5,True,1,0,0,NIL,0,0.6326530612244898,0.3069306930693069,0.4133333333333333
