retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,complete_prompt,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
bge-large,What is the occupation of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalWorld_1844-006.txt_p117', 'TheMusicalTimes_1875-388.txt_p355']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Sr. Any’s, ALDERSGATE STREET.—The candidates for the situation of organist were returned in the following order. Mr. Goss umpire. 1. Wylde; 2. Waller; 3. Striland; 4. White. Wylde played Bach’s pedal fugue in C; Waller, one of the fortyeight fugues in D; White “ Achieved is the glorious work.” Mr. Wylde is an excellent inusician, and a capital performer.', ""O PIANISTS.—REQUIRED, in Spalding, a Gentleman to preside at the Piano, at a Lady’s Private Concert, for two hours every evening, from 8 to xo o'clock. The Band consists of Piano, Harp, Flute, and Violoncello. To an efficient performer, and one of gentlemanly manners and address, a liberal salary will be given. For particulars address T. M. S. J.. Mr. Appleby, Stationer, Spalding. ; ‘T HERE, are VACANCIES at the County Asylum, Prestwich, Manchester, for MEN of good character and fair education, as ATTENDANTS. Applicants must be good musicians.""]","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Mr. Liddle""
Sentence: ""Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.""
Context:
{'TheMusicalTimes_1875-388.txt_p704': 'Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'TheMusicalWorld_1844-006.txt_p117': 'Sr. Any’s, ALDERSGATE STREET.—The candidates for the situation of organist were returned in the following order. Mr. Goss umpire. 1. Wylde; 2. Waller; 3. Striland; 4. White. Wylde played Bach’s pedal fugue in C; Waller, one of the fortyeight fugues in D; White “ Achieved is the glorious work.” Mr. Wylde is an excellent inusician, and a capital performer.', 'TheMusicalTimes_1875-388.txt_p355': ""O PIANISTS.—REQUIRED, in Spalding, a Gentleman to preside at the Piano, at a Lady’s Private Concert, for two hours every evening, from 8 to xo o'clock. The Band consists of Piano, Harp, Flute, and Violoncello. To an efficient performer, and one of gentlemanly manners and address, a liberal salary will be given. For particulars address T. M. S. J.. Mr. Appleby, Stationer, Spalding. ; ‘T HERE, are VACANCIES at the County Asylum, Prestwich, Manchester, for MEN of good character and fair education, as ATTENDANTS. Applicants must be good musicians.""}
Question: ""What is the occupation of Mr. Liddle?""

Answer:",leader of the band,NIL,person,,,0,0,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Peter Rogers""
Sentence: ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.""
Context:
{'TheHarmonicon_1832-012.txt_p6': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", 'TheHarmonicon_1832-012.txt_p157': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", 'TheHarmonicon_1832-012.txt_p610': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""}
Question: ""What is the occupation of Peter Rogers?""

Answer:",choir member; chorister; lay-clerk; singing-man,NIL,person,,,0,0,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"['TheHarmonicon_1828-001.txt_p253', 'TheHarmonicon_1828-001.txt_p665', 'TheHarmonicon_1828-001.txt_p1077']","['M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""M. Beckers""
Sentence: ""He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!""
Context:
{'TheHarmonicon_1828-001.txt_p253': 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'TheHarmonicon_1828-001.txt_p665': 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'TheHarmonicon_1828-001.txt_p1077': 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.'}
Question: ""What is the occupation of M. Beckers?""

Answer:",piano maker; inventor,NIL,person,,,0,0,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p324', 'TheMusicalTimes_1876-402.txt_p26']","['Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', ': _SINGERS. .', 'A: CONTRALTO wishes for a Sunday ENGAGE-&° MENT in a Church or Chapel Choir. Address C., Messrs.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Miss Orton""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651': 'Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p324': ': _SINGERS. .', 'TheMusicalTimes_1876-402.txt_p26': 'A: CONTRALTO wishes for a Sunday ENGAGE-&° MENT in a Church or Chapel Choir. Address C., Messrs.'}
Question: ""What is the occupation of Miss Orton?""

Answer:",singer,NIL,person,"Q177220, Q1371914",Q177220,0,1,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p324', 'TheMusicalTimes_1876-402.txt_p26']","['Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', ': _SINGERS. .', 'A: CONTRALTO wishes for a Sunday ENGAGE-&° MENT in a Church or Chapel Choir. Address C., Messrs.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Miss Wale""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651': 'Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p324': ': _SINGERS. .', 'TheMusicalTimes_1876-402.txt_p26': 'A: CONTRALTO wishes for a Sunday ENGAGE-&° MENT in a Church or Chapel Choir. Address C., Messrs.'}
Question: ""What is the occupation of Miss Wale?""

Answer:",singer; contralto,NIL,person,Q177220,Q177220,1,1,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"['TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p324', 'TheMusicalTimes_1876-402.txt_p986']","['Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', ': _SINGERS. .', 'HE SOLO STOP. A Series of Songs for the _Organ, expressly arranged for Amateurs and Pupils. Part 1 contains four Songs (being Nos. 42, 43, 44, and 45 of Vol. L. of “The Village Organist”), arranged by Mrs. Mounsey BARTHOLOMEW, with easy work for left hand and foot. London: Novello, Ewer and Co.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Mr. Horniblow""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p651': 'Chorus. thou. —_ | To Solo and Quartet. In my distress. . Marcello.', 'TheQuarterlyMusicalMagazineAndReview_1828-037.txt_p324': ': _SINGERS. .', 'TheMusicalTimes_1876-402.txt_p986': 'HE SOLO STOP. A Series of Songs for the _Organ, expressly arranged for Amateurs and Pupils. Part 1 contains four Songs (being Nos. 42, 43, 44, and 45 of Vol. L. of “The Village Organist”), arranged by Mrs. Mounsey BARTHOLOMEW, with easy work for left hand and foot. London: Novello, Ewer and Co.'}
Question: ""What is the occupation of Mr. Horniblow?""

Answer:",singer,NIL,person,"Q158852, Q177220, Q765778",Q177220,0,1,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1873-366.txt_p338']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'Inside Hand. Also,;<a YOUNG -MAN as out-door Hand and Tuner. Permanent employment to steatly men.—Robert Allen and Co, Organ Builders, Bristol. . - FoR SALE, an old-established MUSIC and FAN']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Bow""
Sentence: "", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.""
Context:
{'TheMusicalTimes_1876-397.txt_p815': 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'TheMusicalTimes_1875-388.txt_p91': 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'TheMusicalTimes_1873-366.txt_p338': 'Inside Hand. Also,;<a YOUNG -MAN as out-door Hand and Tuner. Permanent employment to steatly men.—Robert Allen and Co, Organ Builders, Bristol. . - FoR SALE, an old-established MUSIC and FAN'}
Question: ""What is the occupation of Bow?""

Answer:",organ builder; tuner; repairer; ALTERATIONS specialist; rebuilder; seller; music educator; organ metal pipes maker; voicer,NIL,person,,,0,0,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1876-402.txt_p164']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'AST LONDON ORGAN WORKS, 9, Burdett-road, Mile-end, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. ° O CLERGYMEN,-. BANDMASTERS, MUSICIANS, and BANDS now forming.—The best house in the trade for serviceable INSTRUMENTS, manufactured on the premises, of the best brass and stayed in the best and strongest manner, Brass Cornet, with water slide, 65s.; ditto, with water key, &os.; ditto, with double water key, £6; perfected E flat Soprano, £3 158.; ditto, E flat Tenor, £3 ros.; ditto, B flat Baritone, £4; ditto, B flat Euphonium, £5; ditto, E flat Bombardon, £6. A special warranty given. Every instrument carriage paid. Large Hlustrated Lists free.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""E. Carper""
Sentence: "", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.""
Context:
{'TheMusicalTimes_1876-397.txt_p815': 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'TheMusicalTimes_1875-388.txt_p91': 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'TheMusicalTimes_1876-402.txt_p164': 'AST LONDON ORGAN WORKS, 9, Burdett-road, Mile-end, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. ° O CLERGYMEN,-. BANDMASTERS, MUSICIANS, and BANDS now forming.—The best house in the trade for serviceable INSTRUMENTS, manufactured on the premises, of the best brass and stayed in the best and strongest manner, Brass Cornet, with water slide, 65s.; ditto, with water key, &os.; ditto, with double water key, £6; perfected E flat Soprano, £3 158.; ditto, E flat Tenor, £3 ros.; ditto, B flat Baritone, £4; ditto, B flat Euphonium, £5; ditto, E flat Bombardon, £6. A special warranty given. Every instrument carriage paid. Large Hlustrated Lists free.'}
Question: ""What is the occupation of E. Carper?""

Answer:",organ builder; organ repairer; organ specifier; tuner; instrument dealer,NIL,person,"Q1937431, Q131524, Q43845, Q1955150, Q1294787",Q1937431,0,1,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p758']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Sir George Smart Mr. Furstenau ist Coach _Dr. Kind soe Mr. Gosclien Mr. Kramer Mr. Burke mn 4 vd C. Kemble, Esq.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""F. J. Amor""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Context:
{'TheMusicalTimes_1876-402.txt_p484': 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'TheMusicalTimes_1876-402.txt_p498': 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p758': 'Sir George Smart Mr. Furstenau ist Coach _Dr. Kind soe Mr. Gosclien Mr. Kramer Mr. Burke mn 4 vd C. Kemble, Esq.'}
Question: ""What is the occupation of F. J. Amor?""

Answer:",musician; teacher,NIL,person,,,0,0,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
bge-large,What is the occupation of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p758']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Sir George Smart Mr. Furstenau ist Coach _Dr. Kind soe Mr. Gosclien Mr. Kramer Mr. Burke mn 4 vd C. Kemble, Esq.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Walter Pettit""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Context:
{'TheMusicalTimes_1876-402.txt_p484': 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'TheMusicalTimes_1876-402.txt_p498': 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'TheQuarterlyMusicalMagazineAndReview_1826-029.txt_p758': 'Sir George Smart Mr. Furstenau ist Coach _Dr. Kind soe Mr. Gosclien Mr. Kramer Mr. Burke mn 4 vd C. Kemble, Esq.'}
Question: ""What is the occupation of Walter Pettit?""

Answer:",musician; organist; conductor; teacher; choir director; composer; virtuoso; harpsichordist; musicologist; music educator,NIL,person,,,0,0,0,0,NIL,0,0.5238095238095238,0.5238095238095238,0.5238095238095238
