retriever,question,gold_answer,document,span,retrieved_context_ids,retrieved_context_texts,complete_prompt,llm_answer,QID_gold,type_gold,qid_gold_true,linked_qid,match,TP,FP,FN,entity_type,TN,precision,recall,f1
instructor-xl,What is the occupation of Mr. Liddle?,,"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,"['TheMusicalTimes_1875-388.txt_p704', 'TheMusicalWorld_1844-006.txt_p135', 'TheMusicalTimes_1875-388.txt_p683']","['Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.', 'members of the Society. Mr. Richmond, of Dundee, presided at the harmonium. The performance was a great success.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Mr. Liddle""
Sentence: ""Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.""
Context:
{'TheMusicalTimes_1875-388.txt_p704': 'Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.', 'TheMusicalWorld_1844-006.txt_p135': 'Bennett, and Ferrari. Mr. Willy led the band, Mr Gutteridge presided at the organ, solos were performed on the violoncello and harp, by Mr. Hausmann and Mr. Balsir Chatterton; the hall was crowded.', 'TheMusicalTimes_1875-388.txt_p683': 'members of the Society. Mr. Richmond, of Dundee, presided at the harmonium. The performance was a great success.'}
Question: ""What is the occupation of Mr. Liddle?""

Answer:",band leader; conductor; organist,NIL,person,,,0,0,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of Peter Rogers?,,"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,"['TheHarmonicon_1832-012.txt_p6', 'TheHarmonicon_1832-012.txt_p157', 'TheHarmonicon_1832-012.txt_p610']","[""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""]","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Peter Rogers""
Sentence: ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.""
Context:
{'TheHarmonicon_1832-012.txt_p6': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", 'TheHarmonicon_1832-012.txt_p157': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power."", 'TheHarmonicon_1832-012.txt_p610': ""Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay-clerk, or singing-man, of the choir of which his father was a member. He was afterwards chosen organist of Christ Church, Dublin, but compelled to quit Ireland when the civil wars broke out in 1641, and was re-appointed to his former place at Windsor, which situation, however, he soon lost again, owing to the troublesome nature of the times, though he obtained an allowance in lieu of his salary from the persons in power.""}
Question: ""What is the occupation of Peter Rogers?""

Answer:",choir member; lay-clerk,NIL,person,,,0,0,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of M. Beckers?,,"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,"['TheMusicalTimes_1873-366.txt_p404', 'TheHarmonicon_1828-001.txt_p253', 'TheHarmonicon_1828-001.txt_p665']","['He looked upon the piano as a cut above the perambulator.” Had Mr. Normansell omitted to supply us with his own opinion on the subject, by his assertion that some had pianos and harmoniums, and even perambulators, it might have been imagined that he considered carriages of any kind ranked above musicalinstruments; but his declaration that he ‘looked upon the piano as a cut above the perambulator” is a delicate compliment to our art which we are certain will be universally appreciated.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""M. Beckers""
Sentence: ""He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!""
Context:
{'TheMusicalTimes_1873-366.txt_p404': 'He looked upon the piano as a cut above the perambulator.” Had Mr. Normansell omitted to supply us with his own opinion on the subject, by his assertion that some had pianos and harmoniums, and even perambulators, it might have been imagined that he considered carriages of any kind ranked above musicalinstruments; but his declaration that he ‘looked upon the piano as a cut above the perambulator” is a delicate compliment to our art which we are certain will be universally appreciated.', 'TheHarmonicon_1828-001.txt_p253': 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.', 'TheHarmonicon_1828-001.txt_p665': 'M. Pape produced a piano made of ivory, which is a chef-d ceuvre of cabinet-making, certainly. But something better was expected from him. He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity ! a J. J. D.'}
Question: ""What is the occupation of M. Beckers?""

Answer:",piano maker; inventor,NIL,person,,,0,0,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of Miss Orton?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,"['TheMusicalWorld_1843-038.txt_p138', 'TheMusicalTimes_1875-388.txt_p679', 'TheMusicalTimes_1875-388.txt_p688']","['Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'The soloista were Miss Blakeley, who sang eart,” wi Miss Blakeley and Mr. B.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Miss Orton""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheMusicalWorld_1843-038.txt_p138': 'Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'TheMusicalTimes_1875-388.txt_p679': 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .', 'TheMusicalTimes_1875-388.txt_p688': 'The soloista were Miss Blakeley, who sang eart,” wi Miss Blakeley and Mr. B.'}
Question: ""What is the occupation of Miss Orton?""

Answer:",singer; performer,NIL,person,"Q177220, Q1371914",Q177220;Q11615883,0,1,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of Miss Wale?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,"['TheMusicalWorld_1843-038.txt_p138', 'TheMusicalTimes_1875-388.txt_p688', 'TheMusicalWorld_1843-038.txt_p90']","['Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'The soloista were Miss Blakeley, who sang eart,” wi Miss Blakeley and Mr. B.', 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Miss Wale""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheMusicalWorld_1843-038.txt_p138': 'Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'TheMusicalTimes_1875-388.txt_p688': 'The soloista were Miss Blakeley, who sang eart,” wi Miss Blakeley and Mr. B.', 'TheMusicalWorld_1843-038.txt_p90': 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.'}
Question: ""What is the occupation of Miss Wale?""

Answer:",singer,NIL,person,Q177220,Q177220,1,1,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of Mr. Horniblow?,,"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,"['TheMusicalWorld_1843-038.txt_p138', 'TheMusicalWorld_1843-038.txt_p90', 'TheMusicalTimes_1875-388.txt_p679']","['Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.', 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Mr. Horniblow""
Sentence: ""the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.""
Context:
{'TheMusicalWorld_1843-038.txt_p138': 'Careful rehearsal, under the able leadership of Mr. H. Gill, had so perfected the singers and performers, that it is not easy to select any one for especial praise. Mr. Nicholson himself, on the oboe solo and the oboe obligato to Mrs. Inman’s song, left nothing to be desired. Mr. H. Farmer, of Nottingham, played a violin solo by David, better than the composition deserved. The glees were admirably given, Miss M. Bregazzi, of Derby, and Miss Deacon ably supporting Mrs. Inman, and Mr. Wykes and Mr. Branston making up the ‘‘ corps musicale ’’ in the vocal department.', 'TheMusicalWorld_1843-038.txt_p90': 'Chorus. . (Finale, Fidelio)..the solo parts by Miss C. Novello, Miss Rainforth, Mr. Bennett, Mr. Walton, Mr. J. Isherwood, and Mr. Phillips.', 'TheMusicalTimes_1875-388.txt_p679': 'he solo singers were Miss Smyth, Miss Crosland, and Mr. Adolphus Phillips. .'}
Question: ""What is the occupation of Mr. Horniblow?""

Answer:",soloist,NIL,person,"Q158852, Q177220, Q765778",Q1371914,0,0,1,1,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of Bow?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1875-388.txt_p357']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Bow""
Sentence: "", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.""
Context:
{'TheMusicalTimes_1876-397.txt_p815': 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'TheMusicalTimes_1875-388.txt_p91': 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'TheMusicalTimes_1875-388.txt_p357': '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .'}
Question: ""What is the occupation of Bow?""

Answer:",organ builder; craftsman; engineer,NIL,person,,,0,0,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of E. Carper?,,", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,"['TheMusicalTimes_1876-397.txt_p815', 'TheMusicalTimes_1875-388.txt_p91', 'TheMusicalTimes_1875-388.txt_p357']","['AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""E. Carper""
Sentence: "", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.""
Context:
{'TheMusicalTimes_1876-397.txt_p815': 'AST LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship. Alterations, rebuilding, and repairs. First-class workmen sent to all parts on very moderate terms. Tuning, &c. Secondhand ORGANS for SALE. .', 'TheMusicalTimes_1875-388.txt_p91': 'FRAst LONDON ORGAN WORKS, g, Burdett-road, Bow, E.—E. Carper is prepared to send Specifications for building Organs of very superior materials and work~ manship. Alterations, rebuilding, and repairs. First-class Workmen sent to all parts on very moderate terms. Tuning,&c. Second-hand ORGANS for SALE. : ORGAN METAL PIPES, best quality Zinc Front Pipes. Voicing and Tuning. S. Fowler, 127, Pentonville-hill.', 'TheMusicalTimes_1875-388.txt_p357': '""TO ORGAN BUILDERS.—WANTED Good Inside Hands. Also a first-class Wood Pipe Maker. Address t Mr. J. Porritt, Organ Builder, Friar-lane, Leicester. .'}
Question: ""What is the occupation of E. Carper?""

Answer:",organ builder; organ tuner,NIL,person,"Q1937431, Q131524, Q43845, Q1955150, Q1294787",Q1937431;Q2540578,0,1,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of F. J. Amor?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,"['TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p497']","['Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Waillworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J. Amor, H.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""F. J. Amor""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Context:
{'TheMusicalTimes_1876-402.txt_p484': 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'TheMusicalTimes_1876-402.txt_p498': 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'TheMusicalTimes_1876-402.txt_p497': 'Waillworth, and the Principal. Pianoforte: H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal. Orchestral Instruments: F. J. Amor, H.'}
Question: ""What is the occupation of F. J. Amor?""

Answer:",Pianist; conductor; orchestral musician,NIL,person,,,0,0,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
instructor-xl,What is the occupation of Walter Pettit?,,"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,"['TheMusicalTimes_1876-402.txt_p498', 'TheMusicalTimes_1876-402.txt_p484', 'TheMusicalTimes_1876-397.txt_p340']","['Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'Walter Porter, Esq., F.C.O., St. Mary’s Parish Church, Hull, He G. Rew, Esqa., College of St. Paul, Stoney-Stratford.']","Your task is to determine the occupation(s) of a given person occurring in a given sentence based on some provided relevant context. Your answer MUST consist solely of a semicolon-separated list of occupation(s) (e.g., ""occupation1; occupation2; ..."") with no extra text. NOTE: The example below is for demonstration purposes only and should not influence your answer.

Example (for demonstration only):
Given the person ""Bach"" occurring in the sentence ""... selections from the works of Bach, Handel, Mendelssohn..."",
answer the following question: ""What is the occupation of Bach?""
Answer: composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator

Now, given the following inputs:
Person: ""Walter Pettit""
Sentence: ""F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.""
Context:
{'TheMusicalTimes_1876-402.txt_p498': 'Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus.', 'TheMusicalTimes_1876-402.txt_p484': 'Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, John Thomas, A. White, and the Principal. Organ: Sir J. Goss, Mus. D., Cantab., C. Steggall, Mus. D., Cantab., and the Principal.', 'TheMusicalTimes_1876-397.txt_p340': 'Walter Porter, Esq., F.C.O., St. Mary’s Parish Church, Hull, He G. Rew, Esqa., College of St. Paul, Stoney-Stratford.'}
Question: ""What is the occupation of Walter Pettit?""

Answer:",organist; choir director; music educator,NIL,person,,,0,0,0,0,NIL,0,0.41904761904761906,0.41904761904761906,0.41904761904761906
