Model,Retriever,Exact_PRECISION,Exact_RECALL,Exact_F1,Year_PRECISION,Year_RECALL,Year_F1,Decade_PRECISION,Decade_RECALL,Decade_F1,Century_PRECISION,Century_RECALL,Century_F1
Boyer-M,Boyer-M,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111,1.0,0.0588235294117647,0.1111111111111111
GPT-4o,Boyer-M,0.2,0.0588235294117647,0.0909090909090909,0.2,0.0588235294117647,0.0909090909090909,0.2,0.0588235294117647,0.0909090909090909,0.2,0.0588235294117647,0.0909090909090909
GPT-4o,BM25,0.0103092783505154,0.0588235294117647,0.0175438596491228,0.0309278350515463,0.1764705882352941,0.0526315789473684,0.0515463917525773,0.2941176470588235,0.087719298245614,0.1134020618556701,0.6470588235294118,0.1929824561403508
GPT-4o,Contr,0.01,0.0588235294117647,0.017094017094017,0.03,0.1764705882352941,0.0512820512820512,0.05,0.2941176470588235,0.0854700854700854,0.15,0.8823529411764706,0.2564102564102564
GPT-4o,BGE,0.0101010101010101,0.0588235294117647,0.0172413793103448,0.0202020202020202,0.1176470588235294,0.0344827586206896,0.0202020202020202,0.1176470588235294,0.0344827586206896,0.1414141414141414,0.8235294117647058,0.2413793103448275
GPT-4o,-,0.0111111111111111,0.0588235294117647,0.0186915887850467,0.0222222222222222,0.1176470588235294,0.0373831775700934,0.0333333333333333,0.1764705882352941,0.0560747663551401,0.0666666666666666,0.3529411764705882,0.1121495327102803
GPT-4o,GTR-X,0.010204081632653,0.0588235294117647,0.017391304347826,0.0306122448979591,0.1764705882352941,0.0521739130434782,0.0510204081632653,0.2941176470588235,0.0869565217391304,0.1530612244897959,0.8823529411764706,0.2608695652173913
GPT-4o,Inst,0.01,0.0588235294117647,0.017094017094017,0.03,0.1764705882352941,0.0512820512820512,0.04,0.2352941176470588,0.0683760683760683,0.13,0.7647058823529411,0.2222222222222222
GPT-4o,GTR-L,0.010204081632653,0.0588235294117647,0.017391304347826,0.0306122448979591,0.1764705882352941,0.0521739130434782,0.0408163265306122,0.2352941176470588,0.0695652173913043,0.1326530612244898,0.7647058823529411,0.2260869565217391
Gemma,Boyer-M,0.0212765957446808,0.0588235294117647,0.03125,0.0212765957446808,0.0588235294117647,0.03125,0.0212765957446808,0.0588235294117647,0.03125,0.0851063829787234,0.2352941176470588,0.125
