Model,Retriever,Exact_PRECISION,Exact_RECALL,Exact_F1,Year_PRECISION,Year_RECALL,Year_F1,Decade_PRECISION,Decade_RECALL,Decade_F1,Century_PRECISION,Century_RECALL,Century_F1
Boyer-M,Boyer-M,0.7540983606557377,0.1628318584070796,0.2678311499272198,0.9098360655737704,0.1964601769911504,0.3231441048034935,0.9590163934426228,0.2070796460176991,0.3406113537117903,1.0,0.215929203539823,0.3551673944687045
GPT-4o,Boyer-M,0.6067415730337079,0.1911504424778761,0.2907133243606998,0.848314606741573,0.2672566371681416,0.4064602960969044,0.9157303370786516,0.2884955752212389,0.4387617765814267,0.9719101123595506,0.3061946902654867,0.4656796769851951
GPT-4o,BM25,0.3075060532687651,0.297423887587822,0.3023809523809523,0.5714285714285714,0.5526932084309133,0.5619047619047619,0.6513317191283293,0.629976580796253,0.6404761904761905,0.8983050847457628,0.8688524590163934,0.8833333333333333
GPT-4o,Contr,0.2998790810157195,0.2903981264637002,0.2950624628197502,0.5598548972188634,0.5421545667447307,0.5508625817965498,0.6723095525997581,0.6510538641686182,0.6615110053539559,0.8899637243047158,0.8618266978922716,0.8756692444973231
GPT-4o,BGE,0.2914147521160822,0.2822014051522248,0.2867340868530636,0.5501813784764208,0.5327868852459017,0.5413444378346223,0.6590084643288996,0.6381733021077284,0.6484235574063056,0.8887545344619106,0.860655737704918,0.8744794765020821
GPT-4o,-,0.3162612035851472,0.2961630695443645,0.3058823529411764,0.5659411011523687,0.5299760191846523,0.5473684210526316,0.6389244558258643,0.5983213429256595,0.6179566563467493,0.8348271446862996,0.7817745803357314,0.8074303405572755
GPT-4o,GTR-X,0.2967430639324487,0.2880562060889929,0.2923351158645276,0.5597104945717732,0.5433255269320844,0.5513963161021984,0.6574185765983113,0.6381733021077284,0.6476530005941771,0.8974668275030157,0.8711943793911007,0.8841354723707664
GPT-4o,Inst,0.290167865707434,0.2833723653395784,0.2867298578199052,0.5551558752997602,0.5421545667447307,0.5485781990521327,0.6546762589928058,0.639344262295082,0.6469194312796209,0.8788968824940048,0.8583138173302107,0.8684834123222748
GPT-4o,GTR-L,0.313180169286578,0.3032786885245901,0.3081499107674004,0.5671100362756953,0.5491803278688525,0.5580011897679953,0.6674727932285369,0.6463700234192038,0.6567519333729923,0.8839177750906893,0.8559718969555035,0.8697204045211183
Gemma,Boyer-M,0.2808219178082192,0.1451327433628318,0.1913652275379229,0.4520547945205479,0.2336283185840708,0.308051341890315,0.547945205479452,0.2831858407079646,0.3733955659276545,0.797945205479452,0.4123893805309734,0.543757292882147
Gemma,BM25,0.375,0.2494145199063231,0.29957805907173,0.7024647887323944,0.4672131147540984,0.5611814345991561,0.778169014084507,0.5175644028103045,0.6216596343178622,0.9348591549295776,0.6217798594847775,0.7468354430379747
Gemma,GTR-L,0.3541666666666667,0.2388758782201405,0.2853146853146853,0.6736111111111112,0.4543325526932084,0.5426573426573427,0.7829861111111112,0.5281030444964872,0.6307692307692309,0.9322916666666666,0.6288056206088993,0.7510489510489511
Gemma,Contr,0.3661485319516407,0.2482435597189695,0.2958827634333566,0.6666666666666666,0.4519906323185012,0.5387299371946965,0.7582037996545768,0.5140515222482436,0.6127006280530356,0.918825561312608,0.6229508196721312,0.7424982554082346
Gemma,BGE,0.3509369676320272,0.2412177985948477,0.285912560721721,0.6678023850085179,0.4590163934426229,0.5440666204024982,0.7734241908006815,0.531615925058548,0.630117973629424,0.9233390119250426,0.6346604215456675,0.7522553782095767
