Model,Retriever,Century
Boyer-M,Boyer-M,0.1111111111111111
GPT-4o,Boyer-M,0.0909090909090909
GPT-4o,-,0.11214953271028037
GPT-4o,BGE,0.24137931034482757
GPT-4o,BM25,0.19298245614035087
GPT-4o,Inst,0.22222222222222224
GPT-4o,Contr,0.25641025641025644
GPT-4o,GTR-X,0.2608695652173913
GPT-4o,GTR-L,0.22608695652173913
Gemma,Boyer-M,0.125
Gemma,-,0.13333333333333333
Gemma,BGE,0.18750000000000003
Gemma,BM25,0.18750000000000003
Gemma,Inst,0.30303030303030304
Gemma,Contr,0.2631578947368421
Gemma,GTR-X,0.18750000000000003
Gemma,GTR-L,0.23255813953488372
LLAMA,Boyer-M,0.28571428571428575
LLAMA,-,0.18803418803418803
LLAMA,BGE,0.23529411764705885
LLAMA,BM25,0.23728813559322037
LLAMA,Inst,0.2434782608695652
LLAMA,Contr,0.20869565217391303
LLAMA,GTR-X,0.24137931034482757
LLAMA,GTR-L,0.25210084033613445
Mixtral,Boyer-M,0.29629629629629634
Mixtral,-,0.30769230769230765
Mixtral,BGE,0.1111111111111111
Mixtral,BM25,0.1111111111111111
Mixtral,Inst,0.10526315789473684
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,0.1111111111111111
Phi-3,Boyer-M,0.2222222222222222
Phi-3,-,0.3448275862068966
Phi-3,BGE,0.19999999999999998
Phi-3,BM25,0.27999999999999997
Phi-3,Inst,0.1818181818181818
Phi-3,Contr,0.3018867924528302
Phi-3,GTR-X,0.16
Phi-3,GTR-L,0.1923076923076923
Qwen,Boyer-M,0.14285714285714282
Qwen,-,0.1794871794871795
Qwen,BGE,0.2716049382716049
Qwen,BM25,0.24096385542168675
Qwen,Inst,0.20930232558139533
Qwen,Contr,0.2150537634408602
Qwen,GTR-X,0.16842105263157894
Qwen,GTR-L,0.2528735632183908
