Model,Retriever,Century
Boyer-M,Boyer-M,1.0
GPT-4o,Boyer-M,0.2
GPT-4o,-,0.06666666666666667
GPT-4o,BGE,0.1414141414141414
GPT-4o,BM25,0.1134020618556701
GPT-4o,Inst,0.13
GPT-4o,Contr,0.15
GPT-4o,GTR-X,0.15306122448979592
GPT-4o,GTR-L,0.1326530612244898
Gemma,Boyer-M,0.0851063829787234
Gemma,-,0.15384615384615385
Gemma,BGE,0.2
Gemma,BM25,0.2
Gemma,Inst,0.3125
Gemma,Contr,0.23809523809523808
Gemma,GTR-X,0.2
Gemma,GTR-L,0.19230769230769232
LLAMA,Boyer-M,0.2777777777777778
LLAMA,-,0.11
LLAMA,BGE,0.13725490196078433
LLAMA,BM25,0.13861386138613863
LLAMA,Inst,0.14285714285714285
LLAMA,Contr,0.12244897959183673
LLAMA,GTR-X,0.1414141414141414
LLAMA,GTR-L,0.14705882352941177
Mixtral,Boyer-M,0.4
Mixtral,-,0.4444444444444444
Mixtral,BGE,1.0
Mixtral,BM25,1.0
Mixtral,Inst,0.5
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,1.0
Phi-3,Boyer-M,0.15217391304347827
Phi-3,-,0.4166666666666667
Phi-3,BGE,0.15151515151515152
Phi-3,BM25,0.21212121212121213
Phi-3,Inst,0.14814814814814814
Phi-3,Contr,0.2222222222222222
Phi-3,GTR-X,0.12121212121212122
Phi-3,GTR-L,0.14285714285714285
Qwen,Boyer-M,0.12
Qwen,-,0.11475409836065574
Qwen,BGE,0.171875
Qwen,BM25,0.15151515151515152
Qwen,Inst,0.13043478260869565
Qwen,Contr,0.13157894736842105
Qwen,GTR-X,0.10256410256410256
Qwen,GTR-L,0.15714285714285714
