Model,Retriever,Century
Boyer-M,Boyer-M,0.058823529411764705
GPT-4o,Boyer-M,0.058823529411764705
GPT-4o,-,0.35294117647058826
GPT-4o,BGE,0.8235294117647058
GPT-4o,BM25,0.6470588235294118
GPT-4o,Inst,0.7647058823529411
GPT-4o,Contr,0.8823529411764706
GPT-4o,GTR-X,0.8823529411764706
GPT-4o,GTR-L,0.7647058823529411
Gemma,Boyer-M,0.23529411764705882
Gemma,-,0.11764705882352941
Gemma,BGE,0.17647058823529413
Gemma,BM25,0.17647058823529413
Gemma,Inst,0.29411764705882354
Gemma,Contr,0.29411764705882354
Gemma,GTR-X,0.17647058823529413
Gemma,GTR-L,0.29411764705882354
LLAMA,Boyer-M,0.29411764705882354
LLAMA,-,0.6470588235294118
LLAMA,BGE,0.8235294117647058
LLAMA,BM25,0.8235294117647058
LLAMA,Inst,0.8235294117647058
LLAMA,Contr,0.7058823529411765
LLAMA,GTR-X,0.8235294117647058
LLAMA,GTR-L,0.8823529411764706
Mixtral,Boyer-M,0.23529411764705882
Mixtral,-,0.23529411764705882
Mixtral,BGE,0.058823529411764705
Mixtral,BM25,0.058823529411764705
Mixtral,Inst,0.058823529411764705
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,0.058823529411764705
Phi-3,Boyer-M,0.4117647058823529
Phi-3,-,0.29411764705882354
Phi-3,BGE,0.29411764705882354
Phi-3,BM25,0.4117647058823529
Phi-3,Inst,0.23529411764705882
Phi-3,Contr,0.47058823529411764
Phi-3,GTR-X,0.23529411764705882
Phi-3,GTR-L,0.29411764705882354
Qwen,Boyer-M,0.17647058823529413
Qwen,-,0.4117647058823529
Qwen,BGE,0.6470588235294118
Qwen,BM25,0.5882352941176471
Qwen,Inst,0.5294117647058824
Qwen,Contr,0.5882352941176471
Qwen,GTR-X,0.47058823529411764
Qwen,GTR-L,0.6470588235294118
