Model,Retriever,Decade
Boyer-M,Boyer-M,0.1111111111111111
GPT-4o,Boyer-M,0.0909090909090909
GPT-4o,-,0.056074766355140186
GPT-4o,BGE,0.03448275862068966
GPT-4o,BM25,0.08771929824561403
GPT-4o,Inst,0.06837606837606838
GPT-4o,Contr,0.08547008547008549
GPT-4o,GTR-X,0.08695652173913045
GPT-4o,GTR-L,0.06956521739130435
Gemma,Boyer-M,0.03125
Gemma,-,0.06666666666666667
Gemma,BGE,0.0625
Gemma,BM25,0.125
Gemma,Inst,0.1818181818181818
Gemma,Contr,0.10526315789473684
Gemma,GTR-X,0.18750000000000003
Gemma,GTR-L,0.0930232558139535
LLAMA,Boyer-M,0.28571428571428575
LLAMA,-,0.11965811965811966
LLAMA,BGE,0.1680672268907563
LLAMA,BM25,0.1864406779661017
LLAMA,Inst,0.1391304347826087
LLAMA,Contr,0.1565217391304348
LLAMA,GTR-X,0.08620689655172413
LLAMA,GTR-L,0.15126050420168066
Mixtral,Boyer-M,0.14814814814814817
Mixtral,-,0.15384615384615383
Mixtral,BGE,0.1111111111111111
Mixtral,BM25,0.1111111111111111
Mixtral,Inst,0.10526315789473684
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,0.1111111111111111
Phi-3,Boyer-M,0.06349206349206349
Phi-3,-,0.06896551724137931
Phi-3,BGE,0.08
Phi-3,BM25,0.16
Phi-3,Inst,0.0909090909090909
Phi-3,Contr,0.03773584905660377
Phi-3,GTR-X,0.04
Phi-3,GTR-L,0.11538461538461539
Qwen,Boyer-M,0.14285714285714282
Qwen,-,0.07692307692307691
Qwen,BGE,0.17283950617283952
Qwen,BM25,0.14457831325301207
Qwen,Inst,0.16279069767441862
Qwen,Contr,0.17204301075268816
Qwen,GTR-X,0.12631578947368421
Qwen,GTR-L,0.13793103448275865
