Model,Retriever,Decade
Boyer-M,Boyer-M,1.0
GPT-4o,Boyer-M,0.2
GPT-4o,-,0.03333333333333333
GPT-4o,BGE,0.020202020202020204
GPT-4o,BM25,0.05154639175257732
GPT-4o,Inst,0.04
GPT-4o,Contr,0.05
GPT-4o,GTR-X,0.05102040816326531
GPT-4o,GTR-L,0.04081632653061224
Gemma,Boyer-M,0.02127659574468085
Gemma,-,0.07692307692307693
Gemma,BGE,0.06666666666666667
Gemma,BM25,0.13333333333333333
Gemma,Inst,0.1875
Gemma,Contr,0.09523809523809523
Gemma,GTR-X,0.2
Gemma,GTR-L,0.07692307692307693
LLAMA,Boyer-M,0.2777777777777778
LLAMA,-,0.07
LLAMA,BGE,0.09803921568627451
LLAMA,BM25,0.10891089108910891
LLAMA,Inst,0.08163265306122448
LLAMA,Contr,0.09183673469387756
LLAMA,GTR-X,0.050505050505050504
LLAMA,GTR-L,0.08823529411764706
Mixtral,Boyer-M,0.2
Mixtral,-,0.2222222222222222
Mixtral,BGE,1.0
Mixtral,BM25,1.0
Mixtral,Inst,0.5
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,1.0
Phi-3,Boyer-M,0.043478260869565216
Phi-3,-,0.08333333333333333
Phi-3,BGE,0.06060606060606061
Phi-3,BM25,0.12121212121212122
Phi-3,Inst,0.07407407407407407
Phi-3,Contr,0.027777777777777776
Phi-3,GTR-X,0.030303030303030304
Phi-3,GTR-L,0.08571428571428572
Qwen,Boyer-M,0.12
Qwen,-,0.04918032786885246
Qwen,BGE,0.109375
Qwen,BM25,0.09090909090909091
Qwen,Inst,0.10144927536231885
Qwen,Contr,0.10526315789473684
Qwen,GTR-X,0.07692307692307693
Qwen,GTR-L,0.08571428571428572
