Model,Retriever,Exact
Boyer-M,Boyer-M,0.1111111111111111
GPT-4o,Boyer-M,0.0909090909090909
GPT-4o,-,0.01869158878504673
GPT-4o,BGE,0.01724137931034483
GPT-4o,BM25,0.017543859649122806
GPT-4o,Inst,0.017094017094017096
GPT-4o,Contr,0.017094017094017096
GPT-4o,GTR-X,0.017391304347826087
GPT-4o,GTR-L,0.017391304347826087
Gemma,Boyer-M,0.03125
Gemma,-,0.06666666666666667
Gemma,BGE,0.0625
Gemma,BM25,0.0625
Gemma,Inst,0.1818181818181818
Gemma,Contr,0.10526315789473684
Gemma,GTR-X,0.0625
Gemma,GTR-L,0.04651162790697675
LLAMA,Boyer-M,0.11428571428571428
LLAMA,-,0.03418803418803419
LLAMA,BGE,0.03361344537815126
LLAMA,BM25,0.016949152542372885
LLAMA,Inst,0.034782608695652174
LLAMA,Contr,0.034782608695652174
LLAMA,GTR-X,0.01724137931034483
LLAMA,GTR-L,0.03361344537815126
Mixtral,Boyer-M,0.07407407407407408
Mixtral,-,0.07692307692307691
Mixtral,BGE,0.1111111111111111
Mixtral,BM25,0.1111111111111111
Mixtral,Inst,0.10526315789473684
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,0.1111111111111111
Phi-3,Boyer-M,0.031746031746031744
Phi-3,-,0.06896551724137931
Phi-3,BGE,0.04
Phi-3,BM25,0.0
Phi-3,Inst,0.0
Phi-3,Contr,0.03773584905660377
Phi-3,GTR-X,0.04
Phi-3,GTR-L,0.038461538461538464
Qwen,Boyer-M,0.04761904761904763
Qwen,-,0.05128205128205128
Qwen,BGE,0.04938271604938271
Qwen,BM25,0.024096385542168676
Qwen,Inst,0.023255813953488375
Qwen,Contr,0.04301075268817204
Qwen,GTR-X,0.042105263157894736
Qwen,GTR-L,0.045977011494252866
