Model,Retriever,Exact
Boyer-M,Boyer-M,1.0
GPT-4o,Boyer-M,0.2
GPT-4o,-,0.011111111111111112
GPT-4o,BGE,0.010101010101010102
GPT-4o,BM25,0.010309278350515464
GPT-4o,Inst,0.01
GPT-4o,Contr,0.01
GPT-4o,GTR-X,0.01020408163265306
GPT-4o,GTR-L,0.01020408163265306
Gemma,Boyer-M,0.02127659574468085
Gemma,-,0.07692307692307693
Gemma,BGE,0.06666666666666667
Gemma,BM25,0.06666666666666667
Gemma,Inst,0.1875
Gemma,Contr,0.09523809523809523
Gemma,GTR-X,0.06666666666666667
Gemma,GTR-L,0.038461538461538464
LLAMA,Boyer-M,0.1111111111111111
LLAMA,-,0.02
LLAMA,BGE,0.0196078431372549
LLAMA,BM25,0.009900990099009901
LLAMA,Inst,0.02040816326530612
LLAMA,Contr,0.02040816326530612
LLAMA,GTR-X,0.010101010101010102
LLAMA,GTR-L,0.0196078431372549
Mixtral,Boyer-M,0.1
Mixtral,-,0.1111111111111111
Mixtral,BGE,1.0
Mixtral,BM25,1.0
Mixtral,Inst,0.5
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,1.0
Phi-3,Boyer-M,0.021739130434782608
Phi-3,-,0.08333333333333333
Phi-3,BGE,0.030303030303030304
Phi-3,BM25,0.0
Phi-3,Inst,0.0
Phi-3,Contr,0.027777777777777776
Phi-3,GTR-X,0.030303030303030304
Phi-3,GTR-L,0.02857142857142857
Qwen,Boyer-M,0.04
Qwen,-,0.03278688524590164
Qwen,BGE,0.03125
Qwen,BM25,0.015151515151515152
Qwen,Inst,0.014492753623188406
Qwen,Contr,0.02631578947368421
Qwen,GTR-X,0.02564102564102564
Qwen,GTR-L,0.02857142857142857
