Model,Retriever,Year
Boyer-M,Boyer-M,0.1111111111111111
GPT-4o,Boyer-M,0.0909090909090909
GPT-4o,-,0.03738317757009346
GPT-4o,BGE,0.03448275862068966
GPT-4o,BM25,0.052631578947368425
GPT-4o,Inst,0.05128205128205128
GPT-4o,Contr,0.05128205128205128
GPT-4o,GTR-X,0.05217391304347826
GPT-4o,GTR-L,0.05217391304347826
Gemma,Boyer-M,0.03125
Gemma,-,0.06666666666666667
Gemma,BGE,0.0625
Gemma,BM25,0.125
Gemma,Inst,0.1818181818181818
Gemma,Contr,0.10526315789473684
Gemma,GTR-X,0.125
Gemma,GTR-L,0.0930232558139535
LLAMA,Boyer-M,0.17142857142857143
LLAMA,-,0.05128205128205128
LLAMA,BGE,0.05042016806722689
LLAMA,BM25,0.03389830508474577
LLAMA,Inst,0.06956521739130435
LLAMA,Contr,0.05217391304347826
LLAMA,GTR-X,0.03448275862068966
LLAMA,GTR-L,0.06722689075630252
Mixtral,Boyer-M,0.14814814814814817
Mixtral,-,0.15384615384615383
Mixtral,BGE,0.1111111111111111
Mixtral,BM25,0.1111111111111111
Mixtral,Inst,0.10526315789473684
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,0.1111111111111111
Phi-3,Boyer-M,0.031746031746031744
Phi-3,-,0.06896551724137931
Phi-3,BGE,0.04
Phi-3,BM25,0.08
Phi-3,Inst,0.0909090909090909
Phi-3,Contr,0.03773584905660377
Phi-3,GTR-X,0.04
Phi-3,GTR-L,0.07692307692307693
Qwen,Boyer-M,0.04761904761904763
Qwen,-,0.05128205128205128
Qwen,BGE,0.04938271604938271
Qwen,BM25,0.04819277108433735
Qwen,Inst,0.06976744186046512
Qwen,Contr,0.06451612903225806
Qwen,GTR-X,0.10526315789473684
Qwen,GTR-L,0.06896551724137932
