Model,Retriever,Year
Boyer-M,Boyer-M,1.0
GPT-4o,Boyer-M,0.2
GPT-4o,-,0.022222222222222223
GPT-4o,BGE,0.020202020202020204
GPT-4o,BM25,0.030927835051546393
GPT-4o,Inst,0.03
GPT-4o,Contr,0.03
GPT-4o,GTR-X,0.030612244897959183
GPT-4o,GTR-L,0.030612244897959183
Gemma,Boyer-M,0.02127659574468085
Gemma,-,0.07692307692307693
Gemma,BGE,0.06666666666666667
Gemma,BM25,0.13333333333333333
Gemma,Inst,0.1875
Gemma,Contr,0.09523809523809523
Gemma,GTR-X,0.13333333333333333
Gemma,GTR-L,0.07692307692307693
LLAMA,Boyer-M,0.16666666666666666
LLAMA,-,0.03
LLAMA,BGE,0.029411764705882353
LLAMA,BM25,0.019801980198019802
LLAMA,Inst,0.04081632653061224
LLAMA,Contr,0.030612244897959183
LLAMA,GTR-X,0.020202020202020204
LLAMA,GTR-L,0.0392156862745098
Mixtral,Boyer-M,0.2
Mixtral,-,0.2222222222222222
Mixtral,BGE,1.0
Mixtral,BM25,1.0
Mixtral,Inst,0.5
Mixtral,Contr,0.0
Mixtral,GTR-X,0.0
Mixtral,GTR-L,1.0
Phi-3,Boyer-M,0.021739130434782608
Phi-3,-,0.08333333333333333
Phi-3,BGE,0.030303030303030304
Phi-3,BM25,0.06060606060606061
Phi-3,Inst,0.07407407407407407
Phi-3,Contr,0.027777777777777776
Phi-3,GTR-X,0.030303030303030304
Phi-3,GTR-L,0.05714285714285714
Qwen,Boyer-M,0.04
Qwen,-,0.03278688524590164
Qwen,BGE,0.03125
Qwen,BM25,0.030303030303030304
Qwen,Inst,0.043478260869565216
Qwen,Contr,0.039473684210526314
Qwen,GTR-X,0.0641025641025641
Qwen,GTR-L,0.04285714285714286
