Model,Retriever,Century
Boyer-M,Boyer-M,0.3551673944687045
GPT-4o,Boyer-M,0.46567967698519513
GPT-4o,-,0.8074303405572755
GPT-4o,BGE,0.8744794765020821
GPT-4o,BM25,0.8833333333333333
GPT-4o,Inst,0.8684834123222748
GPT-4o,Contr,0.8756692444973231
GPT-4o,GTR-X,0.8841354723707664
GPT-4o,GTR-L,0.8697204045211183
Gemma,Boyer-M,0.543757292882147
Gemma,-,0.6842105263157896
Gemma,BGE,0.7522553782095767
Gemma,BM25,0.7468354430379747
Gemma,Inst,0.7402234636871509
Gemma,Contr,0.7424982554082346
Gemma,GTR-X,0.7601374570446735
Gemma,GTR-L,0.7510489510489511
LLAMA,Boyer-M,0.6203592814371258
LLAMA,-,0.905775075987842
LLAMA,BGE,0.8836385115180154
LLAMA,BM25,0.910377358490566
LLAMA,Inst,0.8902007083825266
LLAMA,Contr,0.896797153024911
LLAMA,GTR-X,0.8825958702064897
LLAMA,GTR-L,0.8995271867612293
Mixtral,Boyer-M,0.6236811254396248
Mixtral,-,0.6829640947288006
Mixtral,BGE,0.4925503943908851
Mixtral,BM25,0.4357338195077484
Mixtral,Inst,0.4408014571948998
Mixtral,Contr,0.4647006255585344
Mixtral,GTR-X,0.46071428571428574
Mixtral,GTR-L,0.45585585585585586
Phi-3,Boyer-M,0.421875
Phi-3,-,0.3638059701492537
Phi-3,BGE,0.7063545150501671
Phi-3,BM25,0.6999316473000683
Phi-3,Inst,0.6740331491712708
Phi-3,Contr,0.7119784656796769
Phi-3,GTR-X,0.6859504132231404
Phi-3,GTR-L,0.6976109215017064
Qwen,Boyer-M,0.4486486486486487
Qwen,-,0.8501920614596671
Qwen,BGE,0.8793631353337416
Qwen,BM25,0.8853068815871048
Qwen,Inst,0.8690773067331671
Qwen,Contr,0.8835489833641406
Qwen,GTR-X,0.8951132300357568
Qwen,GTR-L,0.8736059479553904
