Model,Retriever,Century
Boyer-M,Boyer-M,1.0
GPT-4o,Boyer-M,0.9719101123595506
GPT-4o,-,0.8348271446862996
GPT-4o,BGE,0.8887545344619106
GPT-4o,BM25,0.8983050847457628
GPT-4o,Inst,0.8788968824940048
GPT-4o,Contr,0.8899637243047158
GPT-4o,GTR-X,0.8974668275030157
GPT-4o,GTR-L,0.8839177750906893
Gemma,Boyer-M,0.797945205479452
Gemma,-,0.9173387096774194
Gemma,BGE,0.9233390119250426
Gemma,BM25,0.9348591549295775
Gemma,Inst,0.916955017301038
Gemma,Contr,0.918825561312608
Gemma,GTR-X,0.9201331114808652
Gemma,GTR-L,0.9322916666666666
LLAMA,Boyer-M,0.9592592592592593
LLAMA,-,0.9186189889025894
LLAMA,BGE,0.8915375446960667
LLAMA,BM25,0.9168646080760094
LLAMA,Inst,0.8976190476190476
LLAMA,Contr,0.9086538461538461
LLAMA,GTR-X,0.8894173602853745
LLAMA,GTR-L,0.9081145584725537
Mixtral,Boyer-M,0.9236111111111112
Mixtral,-,0.9410526315789474
Mixtral,BGE,0.9790940766550522
Mixtral,BM25,0.9835390946502057
Mixtral,Inst,0.9918032786885246
Mixtral,Contr,0.9811320754716981
Mixtral,GTR-X,0.9699248120300752
Mixtral,GTR-L,0.98828125
Phi-3,Boyer-M,0.7980295566502463
Phi-3,-,0.819327731092437
Phi-3,BGE,0.8237129485179407
Phi-3,BM25,0.8407224958949097
Phi-3,Inst,0.8215488215488216
Phi-3,Contr,0.8370253164556962
Phi-3,GTR-X,0.8327759197324415
Phi-3,GTR-L,0.8363338788870703
Qwen,Boyer-M,0.9485714285714286
Qwen,-,0.9120879120879121
Qwen,BGE,0.9216944801026957
Qwen,BM25,0.9407114624505929
Qwen,Inst,0.9293333333333333
Qwen,Contr,0.9323797139141743
Qwen,GTR-X,0.9114077669902912
Qwen,GTR-L,0.9276315789473685
