Model,Retriever,Century
Boyer-M,Boyer-M,0.215929203539823
GPT-4o,Boyer-M,0.30619469026548674
GPT-4o,-,0.7817745803357314
GPT-4o,BGE,0.860655737704918
GPT-4o,BM25,0.8688524590163934
GPT-4o,Inst,0.8583138173302107
GPT-4o,Contr,0.8618266978922716
GPT-4o,GTR-X,0.8711943793911007
GPT-4o,GTR-L,0.8559718969555035
Gemma,Boyer-M,0.41238938053097346
Gemma,-,0.5455635491606715
Gemma,BGE,0.6346604215456675
Gemma,BM25,0.6217798594847775
Gemma,Inst,0.6206088992974239
Gemma,Contr,0.6229508196721312
Gemma,GTR-X,0.6475409836065574
Gemma,GTR-L,0.6288056206088993
LLAMA,Boyer-M,0.4584070796460177
LLAMA,-,0.8932853717026379
LLAMA,BGE,0.8758782201405152
LLAMA,BM25,0.9039812646370023
LLAMA,Inst,0.882903981264637
LLAMA,Contr,0.8852459016393442
LLAMA,GTR-X,0.8758782201405152
LLAMA,GTR-L,0.8911007025761124
Mixtral,Boyer-M,0.47079646017699117
Mixtral,-,0.5359712230215827
Mixtral,BGE,0.32903981264637
Mixtral,BM25,0.27985948477751754
Mixtral,Inst,0.28337236533957844
Mixtral,Contr,0.3044496487119438
Mixtral,GTR-X,0.30210772833723654
Mixtral,GTR-L,0.2962529274004684
Phi-3,Boyer-M,0.2867256637168142
Phi-3,-,0.23381294964028776
Phi-3,BGE,0.6182669789227166
Phi-3,BM25,0.5995316159250585
Phi-3,Inst,0.5714285714285714
Phi-3,Contr,0.6194379391100703
Phi-3,GTR-X,0.5831381733021077
Phi-3,GTR-L,0.5983606557377049
Qwen,Boyer-M,0.2938053097345133
Qwen,-,0.7961630695443646
Qwen,BGE,0.8407494145199064
Qwen,BM25,0.8360655737704918
Qwen,Inst,0.8161592505854801
Qwen,Contr,0.8395784543325527
Qwen,GTR-X,0.8793911007025761
Qwen,GTR-L,0.8255269320843092
