Model,Retriever,Decade
Boyer-M,Boyer-M,0.34061135371179035
GPT-4o,Boyer-M,0.4387617765814267
GPT-4o,-,0.6179566563467493
GPT-4o,BGE,0.6484235574063056
GPT-4o,BM25,0.6404761904761905
GPT-4o,Inst,0.6469194312796209
GPT-4o,Contr,0.6615110053539559
GPT-4o,GTR-X,0.6476530005941771
GPT-4o,GTR-L,0.6567519333729923
Gemma,Boyer-M,0.37339556592765455
Gemma,-,0.5984962406015037
Gemma,BGE,0.630117973629424
Gemma,BM25,0.6216596343178622
Gemma,Inst,0.6159217877094972
Gemma,Contr,0.6127006280530356
Gemma,GTR-X,0.6254295532646049
Gemma,GTR-L,0.6307692307692309
LLAMA,Boyer-M,0.5724550898203593
LLAMA,-,0.7088145896656535
LLAMA,BGE,0.6993502658003544
LLAMA,BM25,0.7016509433962265
LLAMA,Inst,0.6847697756788665
LLAMA,Contr,0.6915776986951364
LLAMA,GTR-X,0.7020648967551623
LLAMA,GTR-L,0.6867612293144209
Mixtral,Boyer-M,0.52989449003517
Mixtral,-,0.6157372039724981
Mixtral,BGE,0.4645048203330412
Mixtral,BM25,0.4175022789425707
Mixtral,Inst,0.4153005464480875
Mixtral,Contr,0.4486148346738159
Mixtral,GTR-X,0.4339285714285714
Mixtral,GTR-L,0.4324324324324324
Phi-3,Boyer-M,0.24218750000000003
Phi-3,-,0.28544776119402987
Phi-3,BGE,0.5083612040133779
Phi-3,BM25,0.508544087491456
Phi-3,Inst,0.5013812154696133
Phi-3,Contr,0.5181695827725437
Phi-3,GTR-X,0.522038567493113
Phi-3,GTR-L,0.51740614334471
Qwen,Boyer-M,0.3837837837837838
Qwen,-,0.6632522407170295
Qwen,BGE,0.6736068585425597
Qwen,BM25,0.6906385616862988
Qwen,Inst,0.6708229426433916
Qwen,Contr,0.6876155268022182
Qwen,GTR-X,0.6793802145411203
Qwen,GTR-L,0.6716232961586122
