Model,Retriever,Decade
Boyer-M,Boyer-M,0.9590163934426229
GPT-4o,Boyer-M,0.9157303370786517
GPT-4o,-,0.6389244558258643
GPT-4o,BGE,0.6590084643288996
GPT-4o,BM25,0.6513317191283293
GPT-4o,Inst,0.6546762589928058
GPT-4o,Contr,0.6723095525997581
GPT-4o,GTR-X,0.6574185765983113
GPT-4o,GTR-L,0.6674727932285369
Gemma,Boyer-M,0.547945205479452
Gemma,-,0.8024193548387096
Gemma,BGE,0.7734241908006815
Gemma,BM25,0.778169014084507
Gemma,Inst,0.7629757785467128
Gemma,Contr,0.7582037996545768
Gemma,GTR-X,0.757071547420965
Gemma,GTR-L,0.7829861111111112
LLAMA,Boyer-M,0.8851851851851852
LLAMA,-,0.718865598027127
LLAMA,BGE,0.7056019070321812
LLAMA,BM25,0.7066508313539193
LLAMA,Inst,0.6904761904761905
LLAMA,Contr,0.7007211538461539
LLAMA,GTR-X,0.7074910820451843
LLAMA,GTR-L,0.6933174224343676
Mixtral,Boyer-M,0.7847222222222222
Mixtral,-,0.848421052631579
Mixtral,BGE,0.9233449477351916
Mixtral,BM25,0.9423868312757202
Mixtral,Inst,0.9344262295081968
Mixtral,Contr,0.9471698113207547
Mixtral,GTR-X,0.9135338345864662
Mixtral,GTR-L,0.9375
Phi-3,Boyer-M,0.458128078817734
Phi-3,-,0.6428571428571429
Phi-3,BGE,0.592823712948518
Phi-3,BM25,0.6108374384236454
Phi-3,Inst,0.6111111111111112
Phi-3,Contr,0.6091772151898734
Phi-3,GTR-X,0.6337792642140468
Phi-3,GTR-L,0.6202945990180033
Qwen,Boyer-M,0.8114285714285714
Qwen,-,0.7115384615384616
Qwen,BGE,0.7060333761232349
Qwen,BM25,0.7338603425559947
Qwen,Inst,0.7173333333333334
Qwen,Contr,0.7256176853055917
Qwen,GTR-X,0.691747572815534
Qwen,GTR-L,0.7131578947368421
