Model,Retriever,Decade
Boyer-M,Boyer-M,0.20707964601769913
GPT-4o,Boyer-M,0.2884955752212389
GPT-4o,-,0.5983213429256595
GPT-4o,BGE,0.6381733021077284
GPT-4o,BM25,0.629976580796253
GPT-4o,Inst,0.639344262295082
GPT-4o,Contr,0.6510538641686182
GPT-4o,GTR-X,0.6381733021077284
GPT-4o,GTR-L,0.6463700234192038
Gemma,Boyer-M,0.2831858407079646
Gemma,-,0.47721822541966424
Gemma,BGE,0.531615925058548
Gemma,BM25,0.5175644028103045
Gemma,Inst,0.5163934426229508
Gemma,Contr,0.5140515222482436
Gemma,GTR-X,0.5327868852459017
Gemma,GTR-L,0.5281030444964872
LLAMA,Boyer-M,0.4230088495575221
LLAMA,-,0.6990407673860911
LLAMA,BGE,0.6932084309133489
LLAMA,BM25,0.6967213114754098
LLAMA,Inst,0.6791569086651054
LLAMA,Contr,0.6826697892271663
LLAMA,GTR-X,0.6967213114754098
LLAMA,GTR-L,0.680327868852459
Mixtral,Boyer-M,0.4
Mixtral,-,0.4832134292565947
Mixtral,BGE,0.31030444964871196
Mixtral,BM25,0.2681498829039813
Mixtral,Inst,0.26697892271662765
Mixtral,Contr,0.2939110070257611
Mixtral,GTR-X,0.28454332552693207
Mixtral,GTR-L,0.2810304449648712
Phi-3,Boyer-M,0.16460176991150444
Phi-3,-,0.18345323741007194
Phi-3,BGE,0.4449648711943794
Phi-3,BM25,0.43559718969555034
Phi-3,Inst,0.42505854800936765
Phi-3,Contr,0.45081967213114754
Phi-3,GTR-X,0.44379391100702575
Phi-3,GTR-L,0.44379391100702575
Qwen,Boyer-M,0.2513274336283186
Qwen,-,0.6211031175059952
Qwen,BGE,0.6440281030444965
Qwen,BM25,0.6522248243559718
Qwen,Inst,0.629976580796253
Qwen,Contr,0.6533957845433255
Qwen,GTR-X,0.667447306791569
Qwen,GTR-L,0.6346604215456675
