Model,Retriever,Exact
Boyer-M,Boyer-M,0.2678311499272198
GPT-4o,Boyer-M,0.29071332436069985
GPT-4o,-,0.30588235294117644
GPT-4o,BGE,0.2867340868530636
GPT-4o,BM25,0.30238095238095236
GPT-4o,Inst,0.2867298578199052
GPT-4o,Contr,0.2950624628197502
GPT-4o,GTR-X,0.29233511586452765
GPT-4o,GTR-L,0.3081499107674004
Gemma,Boyer-M,0.19136522753792298
Gemma,-,0.30526315789473685
Gemma,BGE,0.28591256072172105
Gemma,BM25,0.29957805907173
Gemma,Inst,0.28212290502793297
Gemma,Contr,0.2958827634333566
Gemma,GTR-X,0.28316151202749135
Gemma,GTR-L,0.2853146853146853
LLAMA,Boyer-M,0.3760479041916168
LLAMA,-,0.36717325227963526
LLAMA,BGE,0.3650324867099823
LLAMA,BM25,0.3738207547169811
LLAMA,Inst,0.36009445100354187
LLAMA,Contr,0.368920521945433
LLAMA,GTR-X,0.3728613569321534
LLAMA,GTR-L,0.3687943262411348
Mixtral,Boyer-M,0.2602579132473623
Mixtral,-,0.33919022154316275
Mixtral,BGE,0.26643295354951796
Mixtral,BM25,0.25706472196900637
Mixtral,Inst,0.25318761384335153
Mixtral,Contr,0.2931188561215371
Mixtral,GTR-X,0.2571428571428572
Mixtral,GTR-L,0.2702702702702703
Phi-3,Boyer-M,0.11458333333333334
Phi-3,-,0.04664179104477612
Phi-3,BGE,0.20468227424749164
Phi-3,BM25,0.20232399179767602
Phi-3,Inst,0.19337016574585636
Phi-3,Contr,0.19515477792732167
Phi-3,GTR-X,0.20110192837465563
Phi-3,GTR-L,0.19658703071672354
Qwen,Boyer-M,0.27297297297297296
Qwen,-,0.3008962868117798
Qwen,BGE,0.2841396203306798
Qwen,BM25,0.296342219466832
Qwen,Inst,0.28802992518703247
Qwen,Contr,0.30067775723967954
Qwen,GTR-X,0.2789034564958284
Qwen,GTR-L,0.2874845105328377
