Model,Retriever,Exact
Boyer-M,Boyer-M,0.7540983606557377
GPT-4o,Boyer-M,0.6067415730337079
GPT-4o,-,0.31626120358514725
GPT-4o,BGE,0.2914147521160822
GPT-4o,BM25,0.3075060532687651
GPT-4o,Inst,0.290167865707434
GPT-4o,Contr,0.2998790810157195
GPT-4o,GTR-X,0.29674306393244876
GPT-4o,GTR-L,0.313180169286578
Gemma,Boyer-M,0.2808219178082192
Gemma,-,0.4092741935483871
Gemma,BGE,0.35093696763202725
Gemma,BM25,0.375
Gemma,Inst,0.3494809688581315
Gemma,Contr,0.36614853195164077
Gemma,GTR-X,0.3427620632279534
Gemma,GTR-L,0.3541666666666667
LLAMA,Boyer-M,0.5814814814814815
LLAMA,-,0.3723797780517879
LLAMA,BGE,0.36829558998808104
LLAMA,BM25,0.37648456057007124
LLAMA,Inst,0.3630952380952381
LLAMA,Contr,0.3737980769230769
LLAMA,GTR-X,0.375743162901308
LLAMA,GTR-L,0.3723150357995227
Mixtral,Boyer-M,0.3854166666666667
Mixtral,-,0.4673684210526316
Mixtral,BGE,0.5296167247386759
Mixtral,BM25,0.5802469135802469
Mixtral,Inst,0.569672131147541
Mixtral,Contr,0.6188679245283019
Mixtral,GTR-X,0.5413533834586466
Mixtral,GTR-L,0.5859375
Phi-3,Boyer-M,0.21674876847290642
Phi-3,-,0.10504201680672269
Phi-3,BGE,0.23868954758190328
Phi-3,BM25,0.24302134646962234
Phi-3,Inst,0.2356902356902357
Phi-3,Contr,0.22943037974683544
Phi-3,GTR-X,0.24414715719063546
Phi-3,GTR-L,0.23567921440261866
Qwen,Boyer-M,0.5771428571428572
Qwen,-,0.3228021978021978
Qwen,BGE,0.29781771501925547
Qwen,BM25,0.31488801054018445
Qwen,Inst,0.308
Qwen,Contr,0.31729518855656696
Qwen,GTR-X,0.28398058252427183
Qwen,GTR-L,0.30526315789473685
