Model,Retriever,Exact
Boyer-M,Boyer-M,0.16283185840707964
GPT-4o,Boyer-M,0.1911504424778761
GPT-4o,-,0.2961630695443645
GPT-4o,BGE,0.2822014051522248
GPT-4o,BM25,0.297423887587822
GPT-4o,Inst,0.28337236533957844
GPT-4o,Contr,0.2903981264637002
GPT-4o,GTR-X,0.28805620608899296
GPT-4o,GTR-L,0.30327868852459017
Gemma,Boyer-M,0.14513274336283186
Gemma,-,0.2434052757793765
Gemma,BGE,0.24121779859484777
Gemma,BM25,0.24941451990632318
Gemma,Inst,0.23653395784543327
Gemma,Contr,0.24824355971896955
Gemma,GTR-X,0.24121779859484777
Gemma,GTR-L,0.2388758782201405
LLAMA,Boyer-M,0.2778761061946903
LLAMA,-,0.36211031175059955
LLAMA,BGE,0.3618266978922717
LLAMA,BM25,0.3711943793911007
LLAMA,Inst,0.35714285714285715
LLAMA,Contr,0.36416861826697894
LLAMA,GTR-X,0.3700234192037471
LLAMA,GTR-L,0.36533957845433257
Mixtral,Boyer-M,0.19646017699115045
Mixtral,-,0.26618705035971224
Mixtral,BGE,0.17798594847775176
Mixtral,BM25,0.16510538641686182
Mixtral,Inst,0.16276346604215455
Mixtral,Contr,0.1920374707259953
Mixtral,GTR-X,0.1686182669789227
Mixtral,GTR-L,0.1756440281030445
Phi-3,Boyer-M,0.07787610619469026
Phi-3,-,0.02997601918465228
Phi-3,BGE,0.1791569086651054
Phi-3,BM25,0.17330210772833723
Phi-3,Inst,0.16393442622950818
Phi-3,Contr,0.16978922716627634
Phi-3,GTR-X,0.17096018735362997
Phi-3,GTR-L,0.1686182669789227
Qwen,Boyer-M,0.17876106194690267
Qwen,-,0.28177458033573144
Qwen,BGE,0.2716627634660422
Qwen,BM25,0.27985948477751754
Qwen,Inst,0.27049180327868855
Qwen,Contr,0.2857142857142857
Qwen,GTR-X,0.27400468384074944
Qwen,GTR-L,0.2716627634660422
