Model,Retriever,Year
Boyer-M,Boyer-M,0.3231441048034935
GPT-4o,Boyer-M,0.4064602960969044
GPT-4o,-,0.5473684210526316
GPT-4o,BGE,0.5413444378346223
GPT-4o,BM25,0.5619047619047619
GPT-4o,Inst,0.5485781990521327
GPT-4o,Contr,0.5508625817965498
GPT-4o,GTR-X,0.5513963161021984
GPT-4o,GTR-L,0.5580011897679953
Gemma,Boyer-M,0.308051341890315
Gemma,-,0.5383458646616541
Gemma,BGE,0.5440666204024982
Gemma,BM25,0.5611814345991561
Gemma,Inst,0.5488826815642458
Gemma,Contr,0.5387299371946965
Gemma,GTR-X,0.5415807560137457
Gemma,GTR-L,0.5426573426573427
LLAMA,Boyer-M,0.5221556886227545
LLAMA,-,0.6164133738601822
LLAMA,BGE,0.598936798582398
LLAMA,BM25,0.6108490566037736
LLAMA,Inst,0.5985832349468713
LLAMA,Contr,0.6073546856465005
LLAMA,GTR-X,0.6017699115044248
LLAMA,GTR-L,0.6004728132387707
Mixtral,Boyer-M,0.4759671746776084
Mixtral,-,0.5897631779984721
Mixtral,BGE,0.43295354951796666
Mixtral,BM25,0.4010938924339107
Mixtral,Inst,0.3989071038251366
Mixtral,Contr,0.43610366398570144
Mixtral,GTR-X,0.42321428571428565
Mixtral,GTR-L,0.418018018018018
Phi-3,Boyer-M,0.19270833333333331
Phi-3,-,0.25
Phi-3,BGE,0.44013377926421404
Phi-3,BM25,0.4415584415584416
Phi-3,Inst,0.4364640883977901
Phi-3,Contr,0.4495289367429341
Phi-3,GTR-X,0.46143250688705234
Phi-3,GTR-L,0.44641638225255975
Qwen,Boyer-M,0.3540540540540541
Qwen,-,0.5825864276568502
Qwen,BGE,0.552357624004899
Qwen,BM25,0.5753254804711718
Qwen,Inst,0.5810473815461347
Qwen,Contr,0.5902649414664202
Qwen,GTR-X,0.5554231227651967
Qwen,GTR-L,0.5712515489467163
