Model,Retriever,Year
Boyer-M,Boyer-M,0.9098360655737705
GPT-4o,Boyer-M,0.848314606741573
GPT-4o,-,0.5659411011523687
GPT-4o,BGE,0.5501813784764208
GPT-4o,BM25,0.5714285714285714
GPT-4o,Inst,0.5551558752997602
GPT-4o,Contr,0.5598548972188634
GPT-4o,GTR-X,0.5597104945717732
GPT-4o,GTR-L,0.5671100362756953
Gemma,Boyer-M,0.4520547945205479
Gemma,-,0.7217741935483871
Gemma,BGE,0.6678023850085179
Gemma,BM25,0.7024647887323944
Gemma,Inst,0.6799307958477508
Gemma,Contr,0.6666666666666666
Gemma,GTR-X,0.6555740432612313
Gemma,GTR-L,0.6736111111111112
LLAMA,Boyer-M,0.8074074074074075
LLAMA,-,0.625154130702836
LLAMA,BGE,0.6042908224076281
LLAMA,BM25,0.6152019002375297
LLAMA,Inst,0.6035714285714285
LLAMA,Contr,0.6153846153846154
LLAMA,GTR-X,0.6064209274673008
LLAMA,GTR-L,0.6062052505966588
Mixtral,Boyer-M,0.7048611111111112
Mixtral,-,0.8126315789473684
Mixtral,BGE,0.8606271777003485
Mixtral,BM25,0.9053497942386831
Mixtral,Inst,0.8975409836065574
Mixtral,Contr,0.9207547169811321
Mixtral,GTR-X,0.8909774436090225
Mixtral,GTR-L,0.90625
Phi-3,Boyer-M,0.3645320197044335
Phi-3,-,0.5630252100840336
Phi-3,BGE,0.5132605304212169
Phi-3,BM25,0.5303776683087028
Phi-3,Inst,0.531986531986532
Phi-3,Contr,0.5284810126582279
Phi-3,GTR-X,0.560200668896321
Phi-3,GTR-L,0.5351882160392799
Qwen,Boyer-M,0.7485714285714286
Qwen,-,0.625
Qwen,BGE,0.5789473684210527
Qwen,BM25,0.61133069828722
Qwen,Inst,0.6213333333333333
Qwen,Contr,0.6228868660598179
Qwen,GTR-X,0.5655339805825242
Qwen,GTR-L,0.6065789473684211
