Model,Retriever,Year
Boyer-M,Boyer-M,0.19646017699115045
GPT-4o,Boyer-M,0.2672566371681416
GPT-4o,-,0.5299760191846523
GPT-4o,BGE,0.5327868852459017
GPT-4o,BM25,0.5526932084309133
GPT-4o,Inst,0.5421545667447307
GPT-4o,Contr,0.5421545667447307
GPT-4o,GTR-X,0.5433255269320844
GPT-4o,GTR-L,0.5491803278688525
Gemma,Boyer-M,0.2336283185840708
Gemma,-,0.4292565947242206
Gemma,BGE,0.45901639344262296
Gemma,BM25,0.4672131147540984
Gemma,Inst,0.4601873536299766
Gemma,Contr,0.4519906323185012
Gemma,GTR-X,0.4613583138173302
Gemma,GTR-L,0.45433255269320844
LLAMA,Boyer-M,0.3858407079646018
LLAMA,-,0.6079136690647482
LLAMA,BGE,0.5936768149882904
LLAMA,BM25,0.6065573770491803
LLAMA,Inst,0.5936768149882904
LLAMA,Contr,0.5995316159250585
LLAMA,GTR-X,0.5971896955503513
LLAMA,GTR-L,0.594847775175644
Mixtral,Boyer-M,0.35929203539823007
Mixtral,-,0.4628297362110312
Mixtral,BGE,0.2892271662763466
Mixtral,BM25,0.2576112412177986
Mixtral,Inst,0.25644028103044497
Mixtral,Contr,0.2857142857142857
Mixtral,GTR-X,0.2775175644028103
Mixtral,GTR-L,0.2716627634660422
Phi-3,Boyer-M,0.13097345132743363
Phi-3,-,0.1606714628297362
Phi-3,BGE,0.38524590163934425
Phi-3,BM25,0.37822014051522246
Phi-3,Inst,0.3700234192037471
Phi-3,Contr,0.3911007025761124
Phi-3,GTR-X,0.39227166276346603
Phi-3,GTR-L,0.382903981264637
Qwen,Boyer-M,0.23185840707964603
Qwen,-,0.5455635491606715
Qwen,BGE,0.5281030444964872
Qwen,BM25,0.5433255269320844
Qwen,Inst,0.5456674473067916
Qwen,Contr,0.5608899297423887
Qwen,GTR-X,0.5456674473067916
Qwen,GTR-L,0.5398126463700235
