retriever,llm,entity_type,llm_answer,qid_gold_true,linked_qid,sample_precision,sample_recall,sample_f1,TP,FP,FN,approach,approach_display
zero-shot,qwen_qwen-2,NIL,composer; violinist,Q36834,Q36834;Q1259917,0.5,1.0,0.6666666666666666,1,1,0,ZS,ZS
zero-shot,qwen_qwen-2,NIL,court official; government minister; nobleman; palace administrator,Q82955,Q11626664;Q83307;Q16744001,0.0,0.0,0.0,0,3,1,ZS,ZS
zero-shot,qwen_qwen-2,NIL,harmonium player; musician,Q36834,Q54844699;Q639669,0.0,0.0,0.0,0,2,1,ZS,ZS
zero-shot,qwen_qwen-2,NIL,conductor,Q36834;Q13424456,Q158852,0.0,0.0,0.0,0,1,2,ZS,ZS
zero-shot,qwen_qwen-2,NIL,manager; theatre administrator,Q36834;Q1259917;Q2675537;Q3153559,Q721834;Q28054726,0.0,0.0,0.0,0,2,4,ZS,ZS
zero-shot,qwen_qwen-2,NIL,composer; music theorist; organist; harpsichordist; ballet composer,Q36834;Q765778;Q2490358;Q5371902;Q14915627;Q16031530;Q18931911,Q36834;Q16031530;Q765778;Q5371902,1.0,0.5714285714285714,0.7272727272727273,4,0,3,ZS,ZS
zero-shot,qwen_qwen-2,NIL,chorister; lay-clerk; singing-man,Q36834;Q765778,Q1076502,0.0,0.0,0.0,0,1,2,ZS,ZS
zero-shot,qwen_qwen-2,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator,Q36834;Q158852;Q214970;Q691031;Q765778;Q1076502;Q1259917;Q2251335;Q5371902;Q14915627;Q16145150,,0.0,0.0,0.0,0,0,11,ZS,ZS
zero-shot,qwen_qwen-2,NIL,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; harpsichordist; music educator,Q36834;Q765778;Q943995;Q1259917;Q1622272;Q5371902;Q21680731,,0.0,0.0,0.0,0,0,7,ZS,ZS
zero-shot,qwen_qwen-2,NIL,composer; conductor; pianist; organist; music teacher; violinist; violist,Q36180;Q36834;Q158852;Q486748;Q765778;Q1028181;Q1622272;Q14915627;Q16145150,Q36834;Q158852;Q486748;Q765778;Q2675537;Q1259917;Q899758,0.5714285714285714,0.4444444444444444,0.5,4,3,5,ZS,ZS
