llm,retriever,precision_mean,precision_median,precision_mode,precision_std,recall_mean,recall_median,recall_mode,recall_std,f1_mean,f1_median,f1_mode,f1_std
Majority Voting,Boyer-Moore,0.19626168224299065,0.0,0.0,0.3971687731004819,0.12928348909657322,0.0,0.0,0.2938522131353881,0.14797507788161993,0.0,0.0,0.3151810559487038
Gemma,Boyer-Moore,0.3364485981308411,0.0,0.0,0.4724943798042817,0.22227414330218068,0.0,0.0,0.36293015388691857,0.2517578994214508,0.0,0.0,0.3818064991788976
Gemma,-,0.4092261904761904,0.29166666666666663,0.0,0.43906375457773805,0.35163690476190473,0.1833333333333333,0.0,0.40564567273994395,0.3459608843537415,0.2857142857142857,0.0,0.3775982817105457
Gemma,BGE,0.4546130952380953,0.5,0.0,0.4178388857343095,0.44538690476190473,0.3666666666666667,0.0,0.4196512737673347,0.4082482993197279,0.5,0.0,0.3651044177841603
Gemma,BM25,0.46130952380952384,0.5,0.0,0.41441782581561515,0.4489583333333333,0.3666666666666667,0.0,0.4191727092364802,0.411203231292517,0.5,0.0,0.35869428314177265
Gemma,Contr,0.47098214285714285,0.5,0.0,0.41273589656830567,0.44672619047619044,0.3666666666666667,0.0,0.4131568800928132,0.42410714285714285,0.5,0.0,0.36780239297671447
Gemma,GTR-L,0.41815476190476186,0.5,0.0,0.3982510971312109,0.42738095238095236,0.3333333333333333,0.0,0.4191346973919281,0.3873299319727891,0.4,0.0,0.36077829609386053
Gemma,Inst,0.4404761904761905,0.5,0.0,0.414642190639717,0.4316964285714286,0.3333333333333333,0.0,0.4171899084939012,0.3926232993197279,0.5,0.0,0.35455467510188604
Gemma,GTR-X,0.4260416666666667,0.5,0.0,0.4020642497938627,0.4217261904761905,0.3333333333333333,0.0,0.4139784669038847,0.38945578231292516,0.4,0.0,0.359447174205713
LLAMA,BGE,0.37422406462585034,0.25,0.0,0.3582311123119364,0.5501488095238095,0.5,1.0,0.43113277988048143,0.3861220624613481,0.4,0.0,0.3203287198924026
LLAMA,BM25,0.35963010204081636,0.225,0.0,0.37105883535677875,0.5278273809523809,0.5,1.0,0.44389257374736646,0.3715277777777778,0.3333333333333333,0.0,0.3373434868767441
LLAMA,Contr,0.35126488095238095,0.25,0.0,0.3386433709923905,0.5467261904761905,0.5,1.0,0.43266225100075817,0.3818067844853559,0.4,0.0,0.31772752005225235
LLAMA,GTR-L,0.37833758503401366,0.25,0.0,0.36117255523691755,0.5586309523809524,0.55,1.0,0.43064056974673365,0.4004444959802103,0.3333333333333333,0.0,0.3330180638863396
LLAMA,GTR-X,0.34423894557823126,0.25,0.0,0.35337247866924326,0.5363095238095238,0.5,1.0,0.4360902131856219,0.37968138012780867,0.3333333333333333,0.0,0.3411608201608307
LLAMA,Inst,0.4065688775510204,0.25,0.0,0.3924437690083337,0.5364583333333333,0.5,1.0,0.4266165058986334,0.40700435477221186,0.3333333333333333,0.0,0.3485631728650148
LLAMA,-,0.3411139455782313,0.2,0.0,0.3928521157871078,0.4272321428571428,0.3333333333333333,0.0,0.4398265550085013,0.33864409400123685,0.2857142857142857,0.0,0.3650274111354528
LLAMA,Boyer-Moore,0.18691588785046728,0.0,0.0,0.38984399279652726,0.12850467289719625,0.0,0.0,0.30127807837238846,0.14392523364485982,0.0,0.0,0.3173618580219213
Phi-3,Boyer-Moore,0.35514018691588783,0.0,0.0,0.47855577998101334,0.21479750778816198,0.0,0.0,0.3453468097690676,0.2505117935024477,0.0,0.0,0.36843978944334616
Phi-3,-,0.18601190476190474,0.0,0.0,0.3582540995693931,0.16949404761904763,0.0,0.0,0.33970756851654965,0.16301020408163264,0.0,0.0,0.3187885930337722
Phi-3,BGE,0.3927083333333333,0.1,0.0,0.4385095000079499,0.31205357142857143,0.0833333333333333,0.0,0.38127819842002436,0.31786422902494327,0.1111111111111111,0.0,0.36067731718514817
Phi-3,BM25,0.38318452380952384,0.0,0.0,0.44661144567877026,0.29136904761904764,0.0,0.0,0.38365011589064135,0.29542942176870746,0.0,0.0,0.3567310747398606
Phi-3,Contr,0.3889880952380952,0.16666666666666666,0.0,0.43033275222327017,0.3104166666666667,0.0833333333333333,0.0,0.3800266607710904,0.3043579931972789,0.125,0.0,0.3352578808240095
Phi-3,GTR-L,0.40625,0.3333333333333333,0.0,0.439708851409585,0.3224702380952381,0.1833333333333333,0.0,0.3889578938160891,0.3252125850340136,0.2857142857142857,0.0,0.3610016246231958
Phi-3,Inst,0.35372023809523806,0.0,0.0,0.4284680503211121,0.28020833333333334,0.0,0.0,0.3685996885602944,0.2858205782312925,0.0,0.0,0.3488834329408864
Phi-3,GTR-X,0.36071428571428577,0.0,0.0,0.42815621420711897,0.2882440476190476,0.0,0.0,0.37072723464058005,0.2925170068027211,0.0,0.0,0.34846106685549944
Mixtral,Boyer-Moore,0.24766355140186916,0.0,0.0,0.42345834613866135,0.15529595015576322,0.0,0.0,0.3004807339908738,0.17881619937694704,0.0,0.0,0.32077244916059694
Mixtral,-,0.3105654761904762,0.0,0.0,0.3922298100444071,0.3123511904761905,0.0,0.0,0.3976602298587089,0.28229166666666666,0.0,0.0,0.34363894549263324
Mixtral,BGE,0.36979166666666663,0.29166666666666663,0.0,0.40988245538464174,0.3616071428571428,0.225,0.0,0.40312420349197975,0.32832341269841275,0.3333333333333333,0.0,0.34707980609062355
Mixtral,BM25,0.3614583333333333,0.3333333333333333,0.0,0.4058783785624997,0.36562500000000003,0.1833333333333333,0.0,0.41387326276164327,0.32359693877551016,0.29166666666666663,0.0,0.34742512669062925
Mixtral,Contr,0.37463860544217686,0.3333333333333333,0.0,0.4112254915071595,0.3519345238095238,0.2,0.0,0.3991667010619473,0.32203089569161,0.29166666666666663,0.0,0.3410919031569552
Mixtral,GTR-L,0.3157738095238095,0.0,0.0,0.4002407465352258,0.2994047619047619,0.0,0.0,0.39148886903780405,0.2737953514739229,0.0,0.0,0.33850013784127664
Mixtral,Inst,0.3602678571428571,0.3333333333333333,0.0,0.39304623763524016,0.3834821428571429,0.225,0.0,0.4174724086484156,0.3344246031746031,0.2857142857142857,0.0,0.34722045877427155
Mixtral,GTR-X,0.3050595238095238,0.0,0.0,0.3829438969391572,0.29598214285714286,0.0,0.0,0.3798838425204559,0.26801303854875286,0.0,0.0,0.32314189933029264
