llm,retriever,precision_mean,precision_median,precision_mode,precision_std,recall_mean,recall_median,recall_mode,recall_std,f1_mean,f1_median,f1_mode,f1_std
Gemma,Boyer-Moore,0.3269565217391304,0.0,0.0,0.4663124049167104,0.14709599096555617,0.0,0.0,0.2637751328395738,0.18647321760365237,0.0,0.0,0.2977223092795431
Gemma,-,0.557623151101412,0.5,1.0,0.3935124171964233,0.36409546192154885,0.3333333333333333,0.0,0.326789561845679,0.38786713293376374,0.4,0.0,0.28239620717643615
Gemma,BGE,0.5763695372391024,0.5,1.0,0.3742333434061706,0.40151154825067864,0.3333333333333333,0.0,0.3190407089352432,0.415134663152566,0.4444444444444444,0.0,0.2632462068781867
Gemma,BM25,0.5630835804748848,0.5,1.0,0.36252233894051883,0.4129584836106575,0.3333333333333333,0.0,0.3302473826363909,0.4182756289802999,0.4444444444444445,0.0,0.2677810042422155
Gemma,Contr,0.5551787812657377,0.5,1.0,0.36195428111774824,0.40379597553510593,0.3333333333333333,0.0,0.32333747646709887,0.41342420560686816,0.4444444444444444,0.0,0.26526081962094245
Gemma,GTR-L,0.5595322030104638,0.5,1.0,0.37211229367440996,0.4016167211819386,0.3333333333333333,0.0,0.3267846289823358,0.4099896339497901,0.4285714285714285,0.0,0.26870569133255096
Gemma,Inst,0.5627301214257736,0.5,1.0,0.3679660880160445,0.4043049260440565,0.3333333333333333,0.0,0.32727454031758824,0.4105103991865332,0.4285714285714285,0.0,0.26530274690417466
Gemma,GTR-X,0.5631064294107773,0.5,1.0,0.3669759731855729,0.4129229172707433,0.3333333333333333,0.0,0.33287013036206153,0.41335203047748476,0.4285714285714285,0.0,0.2655062832224498
LLAMA,BGE,0.38345830302352035,0.3333333333333333,0.0,0.3436651937680222,0.42427239492456886,0.4,0.0,0.3635594111322307,0.33982056597819155,0.3333333333333333,0.0,0.2646557678233713
LLAMA,BM25,0.40416503459981723,0.3333333333333333,0.0,0.35352934709119616,0.44200270287226806,0.4285714285714285,0.0,0.36437279844268133,0.35183364974284226,0.3333333333333333,0.0,0.26370612504533475
LLAMA,Contr,0.4235810344505997,0.375,0.0,0.345021956363922,0.4587959077089512,0.5,0.0,0.35306812391506237,0.3747733758603323,0.4,0.0,0.25880752860231654
LLAMA,GTR-L,0.39504364613060267,0.3333333333333333,0.0,0.3476288980795446,0.4248623976884846,0.4,0.0,0.35946974160497047,0.3433750112778246,0.3333333333333333,0.0,0.2619152655117571
LLAMA,GTR-X,0.3941530039356126,0.3333333333333333,0.0,0.34600266385461337,0.4236857834683922,0.4,0.0,0.35519352009787813,0.34050954904367203,0.3636363636363636,0.0,0.2539909193462364
LLAMA,Inst,0.4001417566634958,0.3333333333333333,0.0,0.3619228618003344,0.41045120501642235,0.3333333333333333,0.0,0.3597761046760978,0.33983464392335033,0.3333333333333333,0.0,0.2702980957133666
LLAMA,-,0.4764511405815754,0.4,1.0,0.368017710537669,0.47930488365270973,0.5,1.0,0.3517365798329874,0.40528190023074934,0.4,0.0,0.2679744785042651
LLAMA,Boyer-Moore,0.13391304347826086,0.0,0.0,0.3392797887397052,0.06123395445134575,0.0,0.0,0.1843247573181742,0.07793123784428133,0.0,0.0,0.21362613630411842
Phi-3,Boyer-Moore,0.3452173913043478,0.0,0.0,0.47314736710869515,0.15600445448271533,0.0,0.0,0.2747912587091453,0.19672191576539402,0.0,0.0,0.30644130938361386
Phi-3,-,0.3475407084102736,0.0,0.0,0.4426980221897592,0.17038192907758123,0.0,0.0,0.2749598547606722,0.19660125056544492,0.0,0.0,0.2739086160340276
Phi-3,BGE,0.5614291309943484,0.5,1.0,0.41381715096167243,0.32581760190455844,0.25,0.0,0.3184334452256147,0.36188492237085584,0.4,0.0,0.29276785483084583
Phi-3,BM25,0.5691539365452409,0.5,1.0,0.42041675018003033,0.3249342510212075,0.25,0.0,0.32373049055989456,0.3601976443408668,0.3636363636363636,0.0,0.29414640997028185
Phi-3,Contr,0.5805466957640871,0.5,1.0,0.4121787714236074,0.34006673245803687,0.25,0.0,0.3244291963488825,0.375299466092305,0.4,0.0,0.2964091615669405
Phi-3,GTR-L,0.5551116333725029,0.5,1.0,0.41433580396585407,0.32743381439033614,0.25,0.0,0.3246502108246601,0.3594561991620815,0.3333333333333333,0.0,0.29324156353982234
Phi-3,Inst,0.5550528789659225,0.5,1.0,0.4233004162595856,0.309229232055319,0.25,0.0,0.3164664607086656,0.3458166011134109,0.3333333333333333,0.0,0.29053864739521756
Phi-3,GTR-X,0.5677662134183873,0.5,1.0,0.41360585894730023,0.33257062822280214,0.25,0.0,0.32431188693205953,0.36737057459563854,0.3636363636363636,0.0,0.2937354154529975
Mixtral,Boyer-Moore,0.12260869565217392,0.0,0.0,0.32465657294927547,0.055497584541062794,0.0,0.0,0.1737375191810677,0.07015596963423051,0.0,0.0,0.19966722672340112
Mixtral,-,0.3846963423050379,0.3333333333333333,0.0,0.3530209697731078,0.33543857239509417,0.2857142857142857,0.0,0.33480492696502995,0.3129297845578637,0.3333333333333333,0.0,0.26775934761228243
Mixtral,BGE,0.4210536623580102,0.5,0.0,0.34959702774242624,0.3550845453019366,0.3333333333333333,0.0,0.3278569455934526,0.33270971819901685,0.3636363636363636,0.0,0.25459522554848446
Mixtral,BM25,0.42410282953761214,0.5,0.0,0.3511059133779262,0.36209009687270555,0.3333333333333333,0.0,0.3315258790950746,0.3398330709711784,0.3749999999999999,0.0,0.26304366355000874
Mixtral,Contr,0.44764143025012587,0.5,0.0,0.3527406624449101,0.3700167700167701,0.3333333333333333,0.0,0.3256472730545585,0.3516895636494506,0.4,0.0,0.2565296498225541
Mixtral,GTR-L,0.41862328166675994,0.5,0.0,0.34432500535900956,0.3645241232197754,0.3333333333333333,0.0,0.3337871217481411,0.3393213173331628,0.3636363636363636,0.0,0.26153442631845564
Mixtral,Inst,0.40922723966202224,0.4,0.0,0.34856557904100915,0.3492918949440688,0.3333333333333333,0.0,0.332743297422298,0.3301759308792557,0.3636363636363636,0.0,0.26612981009733555
Mixtral,GTR-X,0.4303816238598847,0.5,0.0,0.3439480721016929,0.3746410724671594,0.3333333333333333,0.0,0.33510472393440094,0.34898462365483496,0.4,0.0,0.25961704886031556
GPT-4o,Boyer-Moore,0.11304347826086956,0.0,0.0,0.3152698607005791,0.05211801242236025,0.0,0.0,0.17127118486647266,0.06575707384403037,0.0,0.0,0.19659402719624564
GPT-4o,-,0.4487004084830172,0.5,0.0,0.3627469749552202,0.4032289488811227,0.375,0.0,0.338743304100864,0.37769529967335863,0.4,0.0,0.281576726115301
GPT-4o,BGE,0.44252420121985336,0.4,0.0,0.3256744389578729,0.43179172961781653,0.4285714285714285,0.0,0.332347874224837,0.3860489847096389,0.4,0.0,0.2514410402976247
GPT-4o,BM25,0.4769221084438475,0.5,0.5,0.33588148771970283,0.4469150969150969,0.5,0.5,0.33207014691865716,0.4099050174497745,0.4,0.0,0.2605444632744774
GPT-4o,Contr,0.4666386883778188,0.5,0.0,0.3424808409490593,0.43764105720627455,0.5,0.0,0.33121153346275484,0.4017353187127047,0.4,0.0,0.26635993631107024
GPT-4o,GTR-L,0.4558124895081416,0.5,0.0,0.3304883715136769,0.43657347352999526,0.4285714285714285,0.0,0.3329166496794324,0.39449311969503115,0.4,0.0,0.25597754154367386
GPT-4o,Inst,0.4605687986122769,0.5,0.0,0.33630805442680983,0.4346799368538498,0.4285714285714285,0.0,0.3348873375965852,0.3937052744260982,0.4,0.0,0.2571490240030258
