Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
Boyer-M,Boyer-M,0.2185792349726776,0.1111111111111111,0.854054054054054,0.49315068493150693,0.3333333333333333,0.916256157635468
GPT-4o,Boyer-M,0.7526881720430108,0.0909090909090909,0.8603351955307263,0.5892857142857143,0.44000000000000006,0.916256157635468
GPT-4o,-,0.7263157894736842,0.03738317757009346,0.8842105263157894,0.6055045871559633,0.536082474226804,0.875
GPT-4o,BGE,0.6091370558375635,0.03448275862068966,0.888888888888889,0.5892857142857143,0.5741626794258372,0.9150943396226415
GPT-4o,BM25,0.5757575757575758,0.052631578947368425,0.8783068783068784,0.607142857142857,0.7142857142857143,0.9107981220657276
GPT-4o,Inst,0.6767676767676768,0.05128205128205128,0.8783068783068784,0.6126126126126126,0.6320754716981132,0.9150943396226415
GPT-4o,Contr,0.7373737373737375,0.05172413793103448,0.8783068783068784,0.607142857142857,0.660377358490566,0.92018779342723
GPT-4o,GTR-X,0.5989847715736041,0.05217391304347826,0.8736842105263158,0.5892857142857143,0.5714285714285714,0.92018779342723
GPT-4o,GTR-L,0.6161616161616162,0.05217391304347826,0.8783068783068784,0.5945945945945946,0.660377358490566,0.9295774647887323
Gemma,Boyer-M,0.2099447513812155,0.03125,0.8571428571428571,0.5740740740740741,0.4832214765100672,0.9064039408866995
Gemma,-,0.32967032967032966,0.06666666666666667,0.8994708994708994,0.6213592233009708,0.5714285714285715,0.8333333333333333
Gemma,BGE,0.2755102040816327,0.0625,0.888888888888889,0.6037735849056605,0.6730769230769231,0.8899521531100479
Gemma,BM25,0.23469387755102045,0.125,0.875,0.6153846153846153,0.6666666666666667,0.9014084507042253
Gemma,Inst,0.27692307692307694,0.1818181818181818,0.8842105263157894,0.6095238095238096,0.6325581395348837,0.9047619047619048
Gemma,Contr,0.23350253807106597,0.10526315789473684,0.8736842105263158,0.5981308411214953,0.676056338028169,0.8857142857142858
Gemma,GTR-X,0.2639593908629442,0.125,0.875,0.6037735849056605,0.6384976525821596,0.9295774647887323
Gemma,GTR-L,0.2857142857142857,0.0930232558139535,0.875,0.5981308411214953,0.6384976525821596,0.9178743961352657
LLAMA,Boyer-M,0.20212765957446807,0.17142857142857143,0.8729281767955801,0.576,0.3225806451612903,0.9261083743842364
LLAMA,-,0.30939226519337015,0.05128205128205128,0.8783068783068784,0.6238532110091742,0.626865671641791,0.92018779342723
