Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
Boyer-M,Boyer-M,0.2,1.0,0.8494623655913979,0.3956043956043956,0.84,0.8691588785046729
GPT-4o,Boyer-M,0.6796116504854369,0.2,0.8850574712643678,0.5789473684210527,0.673469387755102,0.8691588785046729
GPT-4o,-,0.6699029126213593,0.022222222222222223,0.9130434782608695,0.6346153846153846,0.5842696629213483,0.8504672897196262
GPT-4o,BGE,0.5454545454545454,0.020202020202020204,0.9230769230769231,0.6,0.5769230769230769,0.8738738738738738
GPT-4o,BM25,0.5135135135135135,0.030927835051546393,0.9120879120879121,0.6181818181818182,0.7142857142857143,0.8660714285714286
GPT-4o,Inst,0.6036036036036037,0.03,0.9120879120879121,0.6296296296296297,0.6261682242990654,0.8738738738738738
GPT-4o,Contr,0.6576576576576577,0.030303030303030304,0.9120879120879121,0.6181818181818182,0.6542056074766355,0.875
GPT-4o,GTR-X,0.5363636363636364,0.030612244897959183,0.9021739130434783,0.6,0.5714285714285714,0.875
GPT-4o,GTR-L,0.5495495495495496,0.030612244897959183,0.9120879120879121,0.6111111111111112,0.6542056074766355,0.8839285714285714
Gemma,Boyer-M,0.19387755102040816,0.02127659574468085,0.8666666666666667,0.5849056603773585,0.75,0.8598130841121495
Gemma,-,0.3157894736842105,0.07692307692307693,0.9340659340659341,0.6956521739130435,0.5918367346938775,0.8252427184466019
Gemma,BGE,0.24770642201834864,0.06666666666666667,0.9230769230769231,0.6530612244897959,0.6796116504854369,0.8611111111111112
Gemma,BM25,0.21100917431192662,0.13333333333333333,0.8936170212765957,0.6808510638297872,0.6574074074074074,0.8571428571428571
Gemma,Inst,0.25,0.1875,0.9130434782608695,0.6666666666666666,0.6181818181818182,0.8715596330275229
Gemma,Contr,0.20909090909090908,0.09523809523809523,0.9021739130434783,0.64,0.6666666666666666,0.8532110091743119
Gemma,GTR-X,0.23636363636363636,0.13333333333333333,0.8936170212765957,0.6530612244897959,0.6296296296296297,0.8839285714285714
Gemma,GTR-L,0.25688073394495414,0.07692307692307693,0.8936170212765957,0.64,0.6296296296296297,0.8962264150943396
LLAMA,Boyer-M,0.18095238095238095,0.16666666666666666,0.8876404494382022,0.5142857142857142,0.8695652173913043,0.8785046728971962
LLAMA,-,0.2978723404255319,0.03,0.9120879120879121,0.6538461538461539,0.65625,0.875
LLAMA,BGE,0.1834862385321101,0.029411764705882353,0.9130434782608695,0.5692307692307692,0.7596153846153846,0.8828828828828829
LLAMA,BM25,0.17272727272727273,0.019801980198019802,0.9032258064516129,0.5555555555555556,0.7254901960784313,0.8839285714285714
LLAMA,Inst,0.1926605504587156,0.04081632653061224,0.9111111111111111,0.546875,0.7407407407407407,0.8839285714285714
LLAMA,Contr,0.17272727272727273,0.030927835051546393,0.9120879120879121,0.5454545454545454,0.7428571428571429,0.8839285714285714
LLAMA,GTR-X,0.1834862385321101,0.020202020202020204,0.9021739130434783,0.5555555555555556,0.7075471698113207,0.8839285714285714
LLAMA,GTR-L,0.18181818181818182,0.0392156862745098,0.9010989010989011,0.546875,0.7383177570093458,0.8839285714285714
Mixtral,Boyer-M,0.3488372093023256,0.2,0.9058823529411765,0.6153846153846154,0.717948717948718,0.9135802469135802
Mixtral,-,0.42857142857142855,0.2222222222222222,0.9342105263157895,0.7058823529411765,0.6986301369863014,0.9090909090909091
Mixtral,BGE,0.45,1.0,0.935064935064935,0.675,0.6629213483146067,0.8888888888888888
Mixtral,BM25,0.625,1.0,0.9240506329113924,0.65,0.6444444444444445,0.9166666666666666
Mixtral,Inst,0.4666666666666667,0.5,0.9444444444444444,0.717948717948718,0.6666666666666666,0.9019607843137255
Mixtral,Contr,0.4444444444444444,0.0,0.9240506329113924,0.7,0.6704545454545454,0.9454545454545454
Mixtral,GTR-X,0.5294117647058824,0.0,0.918918918918919,0.6829268292682927,0.6419753086419753,0.9166666666666666
Mixtral,GTR-L,0.6,1.0,0.9230769230769231,0.717948717948718,0.6144578313253012,0.9411764705882353
Phi-3,Boyer-M,0.23469387755102042,0.021739130434782608,0.8571428571428571,0.44871794871794873,0.7755102040816326,0.8691588785046729
Phi-3,-,0.32857142857142857,0.08333333333333333,0.9130434782608695,0.6470588235294118,0.54,0.8526315789473684
Phi-3,BGE,0.2692307692307692,0.030303030303030304,0.8617021276595744,0.55,0.5544554455445545,0.8378378378378378
Phi-3,BM25,0.2692307692307692,0.06060606060606061,0.8913043478260869,0.5666666666666667,0.49056603773584906,0.8648648648648649
Phi-3,Inst,0.32989690721649484,0.07407407407407407,0.8947368421052632,0.5789473684210527,0.4857142857142857,0.8333333333333334
Phi-3,Contr,0.2616822429906542,0.027777777777777776,0.9120879120879121,0.543859649122807,0.5283018867924528,0.8558558558558559
Phi-3,GTR-X,0.27522935779816515,0.03125,0.9222222222222223,0.5614035087719298,0.5048543689320388,0.8611111111111112
Phi-3,GTR-L,0.27522935779816515,0.05714285714285714,0.8617021276595744,0.576271186440678,0.5480769230769231,0.8584905660377359
Qwen,Boyer-M,0.18095238095238095,0.04,0.8764044943820225,0.5737704918032787,0.7142857142857143,0.8773584905660378
Qwen,-,0.22340425531914893,0.03278688524590164,0.9130434782608695,0.7727272727272727,0.5730337078651685,0.8679245283018868
Qwen,BGE,0.16666666666666666,0.03125,0.9021739130434783,0.7,0.6,0.8888888888888888
Qwen,BM25,0.2,0.030303030303030304,0.8913043478260869,0.7346938775510204,0.6132075471698113,0.8899082568807339
Qwen,Inst,0.19444444444444445,0.043478260869565216,0.8913043478260869,0.723404255319149,0.638095238095238,0.8818181818181818
Qwen,Contr,0.2,0.039473684210526314,0.9032258064516129,0.723404255319149,0.6132075471698113,0.8818181818181818
Qwen,GTR-X,0.18018018018018017,0.0641025641025641,0.8913043478260869,0.7083333333333334,0.6261682242990654,0.8828828828828829
Qwen,GTR-L,0.19090909090909092,0.04285714285714286,0.8936170212765957,0.6181818181818182,0.6372549019607843,0.8727272727272727
