Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
Boyer-M,Boyer-M,0.24096385542168675,0.058823529411764705,0.8586956521739131,0.6545454545454545,0.2079207920792079,0.96875
GPT-4o,Boyer-M,0.8433734939759037,0.058823529411764705,0.8369565217391305,0.6,0.32673267326732675,0.96875
GPT-4o,-,0.7931034482758621,0.11764705882352941,0.8571428571428571,0.5789473684210527,0.49523809523809526,0.900990099009901
GPT-4o,BGE,0.6896551724137931,0.11764705882352941,0.8571428571428571,0.5789473684210527,0.5714285714285714,0.9603960396039604
GPT-4o,BM25,0.6551724137931034,0.17647058823529413,0.8469387755102041,0.5964912280701754,0.7142857142857143,0.9603960396039604
GPT-4o,Inst,0.7701149425287356,0.17647058823529413,0.8469387755102041,0.5964912280701754,0.638095238095238,0.9603960396039604
GPT-4o,Contr,0.8390804597701149,0.17647058823529413,0.8469387755102041,0.5964912280701754,0.6666666666666666,0.9702970297029703
GPT-4o,GTR-X,0.6781609195402298,0.17647058823529413,0.8469387755102041,0.5789473684210527,0.5714285714285714,0.9702970297029703
GPT-4o,GTR-L,0.7011494252873564,0.17647058823529413,0.8469387755102041,0.5789473684210527,0.6666666666666666,0.9801980198019802
Gemma,Boyer-M,0.2289156626506024,0.058823529411764705,0.8478260869565217,0.5636363636363636,0.3564356435643564,0.9583333333333334
Gemma,-,0.3448275862068966,0.058823529411764705,0.8673469387755102,0.5614035087719298,0.5523809523809524,0.8415841584158416
Gemma,BGE,0.3103448275862069,0.058823529411764705,0.8571428571428571,0.5614035087719298,0.6666666666666666,0.9207920792079208
Gemma,BM25,0.26436781609195403,0.11764705882352941,0.8571428571428571,0.5614035087719298,0.6761904761904762,0.9504950495049505
Gemma,Inst,0.3103448275862069,0.17647058823529413,0.8571428571428571,0.5614035087719298,0.6476190476190476,0.9405940594059405
Gemma,Contr,0.26436781609195403,0.11764705882352941,0.8469387755102041,0.5614035087719298,0.6857142857142857,0.9207920792079208
