Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
Boyer-M,Boyer-M,0.43378119001919385,0.3279648609077599,0.8043694141012911,0.508341511285574,0.20030816640986132,0.9905417024935511
GPT-4o,Boyer-M,0.25988700564971745,0.4108108108108108,0.7967806841046278,0.4004237288135593,0.1896551724137931,0.9905417024935511
GPT-4o,-,0.1735330836454432,0.5438919582565991,0.8218812541694464,0.36009732360097324,0.7457831325301205,0.9859154929577466
GPT-4o,BGE,0.20843672456575682,0.5441527446300716,0.8271276595744682,0.4294117647058823,0.7990515708358031,0.9918319719953326
GPT-4o,BM25,0.2160148975791434,0.5657894736842105,0.8192128085390261,0.41317365269461076,0.8106508875739644,0.9894982497082847
GPT-4o,Inst,0.22222222222222224,0.5513963161021984,0.8229027962716379,0.4447739065974797,0.7886658795749705,0.9947521865889212
GPT-4o,Contr,0.20484171322160147,0.5533691115086464,0.8254810882548108,0.4589442815249266,0.7947650208209399,0.9935860058309038
GPT-4o,GTR-X,0.22842954686530106,0.5542312276519666,0.8294625082946251,0.4434654919236417,0.7841043890865955,0.9924198250728863
GPT-4o,GTR-L,0.22967101179391683,0.5611940298507464,0.8311170212765957,0.44509948415622697,0.7971614429331757,0.9900874635568513
Gemma,Boyer-M,0.3648393194706994,0.3141852286049238,0.8105369807497468,0.40756302521008403,0.4641555285540705,0.9905417024935511
Gemma,-,0.2626262626262626,0.5405405405405406,0.8214765100671142,0.26791808873720135,0.7565320665083135,0.9684711481261153
Gemma,BGE,0.2853582554517134,0.5467224546722455,0.829008649367931,0.4150375939849624,0.8070796460176991,0.9823736780258521
Gemma,BM25,0.285892634207241,0.5649717514124294,0.8292029470864033,0.3938697318007663,0.8101415094339622,0.9829912023460411
Gemma,Inst,0.297314178638351,0.5555555555555555,0.8265780730897009,0.4134328358208956,0.807556080283353,0.9841456253669995
Gemma,Contr,0.2773266708307308,0.5437981779957953,0.8277703604806409,0.41679160419790107,0.8049645390070922,0.9770723104056438
Gemma,GTR-X,0.2750466708151836,0.5483425414364641,0.8325550366911274,0.41410352588147037,0.8096926713947991,0.9841456253669995
Gemma,GTR-L,0.2901618929016189,0.5481377371749825,0.8294625082946251,0.41498127340823965,0.8018923713778829,0.9847417840375586
LLAMA,Boyer-M,0.43575418994413406,0.5258103241296519,0.8133198789101916,0.6302916274694261,0.23529411764705882,0.9871023215821153
LLAMA,-,0.34378920953575914,0.617611580217129,0.8337801608579088,0.581294964028777,0.8229607250755286,0.9924198250728863
LLAMA,BGE,0.3549190535491905,0.604982206405694,0.8385382059800663,0.666235446313066,0.7813894200127469,0.9924198250728863
LLAMA,BM25,0.3613707165109034,0.6169330965068088,0.8384512683578105,0.662387676508344,0.7952261306532663,0.9900874635568513
LLAMA,Inst,0.3551401869158879,0.6054502369668247,0.8407728181212525,0.6503541532517707,0.7735368956743003,0.9924198250728863
LLAMA,Contr,0.3563862928348909,0.6134603930911257,0.8379814077025233,0.6576576576576576,0.8131188118811882,0.9900874635568513
LLAMA,GTR-X,0.346417445482866,0.6078199052132701,0.837891927951968,0.665374677002584,0.7982345523329129,0.9889212827988337
LLAMA,GTR-L,0.35967641568139397,0.604982206405694,0.8377659574468086,0.6588693957115009,0.7863894139886578,0.9912536443148688
Mixtral,Boyer-M,0.260593220338983,0.48300117233294254,0.789637305699482,0.35575826681870015,0.20827389443651928,0.9089219330855018
Mixtral,-,0.15371024734982333,0.5901140684410646,0.714723926380368,0.16895874263261296,0.7132686084142394,0.3300970873786408
Mixtral,BGE,0.15614617940199335,0.43661971830985913,0.6935608999224204,0.24103035878564857,0.76017532874139,0.6789838337182448
Mixtral,BM25,0.12138188608776845,0.40513290559120074,0.6961926961926962,0.2347504621072089,0.749379652605459,0.6733590733590735
Mixtral,Inst,0.13969938107869143,0.4007319304666057,0.704791344667697,0.2694394213381555,0.7283950617283951,0.6723338485316847
Mixtral,Contr,0.12398921832884098,0.43985637342908435,0.7016191210485735,0.21691176470588236,0.766217870257038,0.6677018633540373
Mixtral,GTR-X,0.13799126637554585,0.4254937163375224,0.7225609756097561,0.25508317929759705,0.7584097859327217,0.6935361216730038
Mixtral,GTR-L,0.15965665236051502,0.42171945701357466,0.7016191210485735,0.26397800183318054,0.7501542257865516,0.712143928035982
Phi-3,Boyer-M,0.38197845249755147,0.19607843137254904,0.802407221664995,0.36157024793388426,0.48727272727272725,0.9733447979363714
Phi-3,-,0.2128637059724349,0.25023342670401494,0.8178740690589031,0.13386613386613389,0.5432287681713849,0.8825396825396826
Phi-3,BGE,0.2567652611705475,0.4453386988598256,0.8171466845277964,0.35240963855421686,0.7368421052631579,0.9386068476977567
Phi-3,BM25,0.26474278544542035,0.44718792866941015,0.8008021390374331,0.3447228549734244,0.7290053603335318,0.9448071216617211
