Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
Boyer-M,Boyer-M,0.4162062615101289,0.9105691056910569,0.7641509433962265,0.5820224719101124,0.8783783783783784,0.9896907216494846
GPT-4o,Boyer-M,0.24511545293072823,0.8444444444444444,0.7659574468085106,0.5108108108108108,0.5454545454545454,0.9896907216494846
GPT-4o,-,0.16391509433962265,0.55375,0.8137384412153237,0.5796344647519582,0.765142150803461,0.9917355371900827
GPT-4o,BGE,0.1958041958041958,0.5513905683192262,0.8162729658792651,0.5725490196078431,0.80622009569378,0.9918319719953326
GPT-4o,BM25,0.20303383897316218,0.574726609963548,0.8110964332892999,0.5679012345679012,0.8164481525625745,0.9894982497082847
GPT-4o,Inst,0.2088681446907818,0.5563549160671463,0.8131578947368421,0.6012024048096193,0.7924080664294187,0.9941724941724942
GPT-4o,Contr,0.19253208868144692,0.5603864734299517,0.8130718954248366,0.6089494163424124,0.8048192771084337,0.993006993006993
GPT-4o,GTR-X,0.2147024504084014,0.5609167671893848,0.8169934640522876,0.58984375,0.7916167664670659,0.9918414918414918
GPT-4o,GTR-L,0.21586931155192532,0.5690072639225182,0.8202099737532809,0.5956607495069034,0.8023809523809524,0.9895104895104895
Gemma,Boyer-M,0.34525939177101966,0.45733788395904434,0.7843137254901961,0.5132275132275133,0.7701612903225806,0.9896907216494846
Gemma,-,0.25060240963855424,0.7157057654075547,0.8181818181818182,0.48757763975155277,0.7647058823529411,0.9878640776699029
Gemma,BGE,0.2690951821386604,0.67008547008547,0.8186596583442839,0.575,0.8104265402843602,0.9893491124260355
Gemma,BM25,0.27004716981132076,0.7054673721340388,0.8242343541944075,0.5648351648351648,0.8130177514792899,0.9882075471698113
Gemma,Inst,0.2809917355371901,0.6893542757417103,0.8152031454783748,0.5653061224489796,0.8113879003558719,0.9905437352245863
Gemma,Contr,0.26210153482880755,0.671280276816609,0.8201058201058201,0.5743801652892562,0.8097502972651606,0.9845971563981043
Gemma,GTR-X,0.25908558030480655,0.662771285475793,0.8243064729194187,0.5714285714285714,0.8145065398335315,0.9905437352245863
Gemma,GTR-L,0.2734741784037559,0.6794425087108014,0.8169934640522876,0.5711340206185567,0.8071428571428572,0.9905548996458088
LLAMA,Boyer-M,0.40695652173913044,0.8021978021978022,0.7840466926070039,0.6850715746421268,0.8863636363636364,0.9862542955326461
LLAMA,-,0.3261904761904762,0.617611580217129,0.8293333333333334,0.7481481481481481,0.8470149253731343,0.9918414918414918
LLAMA,BGE,0.3345070422535211,0.6093189964157706,0.8269986893840104,0.7399425287356322,0.8537604456824512,0.9918414918414918
LLAMA,BM25,0.3407755581668625,0.6202380952380953,0.8306878306878307,0.7288135593220338,0.854251012145749,0.9895104895104895
LLAMA,Inst,0.33490011750881316,0.6090584028605482,0.8313570487483531,0.7183499288762447,0.8432732316227461,0.9918414918414918
LLAMA,Contr,0.33607520564042304,0.6204819277108434,0.8259162303664922,0.7258522727272727,0.8588235294117647,0.9895104895104895
