Model,Retriever,CoC,DoB,FName,GName,Occ,Gender
Boyer-M,Boyer-M,0.4529058116232465,0.2,0.8490566037735849,0.45121951219512196,0.11304347826086956,0.9913941480206541
GPT-4o,Boyer-M,0.27655310621242485,0.2714285714285714,0.8301886792452831,0.32926829268292684,0.11478260869565217,0.9913941480206541
GPT-4o,-,0.1843501326259947,0.53437876960193,0.8301886792452831,0.2611764705882353,0.72737955346651,0.9801633605600933
GPT-4o,BGE,0.22281167108753316,0.5371024734982333,0.8382749326145552,0.34352941176470586,0.7920094007050529,0.9918319719953326
GPT-4o,BM25,0.23076923076923078,0.5571260306242638,0.8274932614555256,0.3247058823529412,0.8049353701527615,0.9894982497082847
GPT-4o,Inst,0.23740053050397877,0.5465253239104829,0.8328840970350404,0.35294117647058826,0.7849588719153937,0.9953325554259043
GPT-4o,Contr,0.21883289124668434,0.5465253239104829,0.8382749326145552,0.36823529411764705,0.7849588719153937,0.9941656942823804
GPT-4o,GTR-X,0.2440318302387268,0.5477031802120141,0.8423180592991913,0.3552941176470588,0.7767332549941246,0.9929988331388565
GPT-4o,GTR-L,0.2453580901856764,0.5535924617196702,0.8423180592991913,0.3552941176470588,0.7920094007050529,0.9906651108518086
Gemma,Boyer-M,0.3867735470941884,0.2392857142857143,0.8385744234800838,0.33797909407665505,0.33217391304347826,0.9913941480206541
Gemma,-,0.27586206896551724,0.43425814234016885,0.8247978436657682,0.18470588235294116,0.7485311398354877,0.9498249708284714
Gemma,BGE,0.3037135278514589,0.4617196702002356,0.839622641509434,0.3247058823529412,0.8037602820211516,0.9754959159859977
Gemma,BM25,0.3037135278514589,0.4711425206124853,0.8342318059299192,0.3023529411764706,0.8072855464159812,0.9778296382730455
Gemma,Inst,0.3156498673740053,0.4652532391048292,0.8382749326145552,0.32588235294117646,0.8037602820211516,0.9778296382730455
Gemma,Contr,0.29442970822281167,0.45700824499411075,0.8355795148247979,0.3270588235294118,0.800235017626322,0.969661610268378
Gemma,GTR-X,0.29310344827586204,0.46760895170789163,0.8409703504043127,0.3247058823529412,0.8049353701527615,0.9778296382730455
Gemma,GTR-L,0.3090185676392573,0.45936395759717313,0.8423180592991913,0.32588235294117646,0.7967097532314924,0.9789964994165694
LLAMA,Boyer-M,0.46893787575150303,0.39107142857142857,0.8448637316561844,0.5836236933797909,0.1356521739130435,0.9879518072289156
LLAMA,-,0.363395225464191,0.617611580217129,0.8382749326145552,0.4752941176470588,0.800235017626322,0.9929988331388565
LLAMA,BGE,0.3779840848806366,0.6007067137809188,0.8504043126684636,0.6058823529411764,0.7203290246768508,0.9929988331388565
LLAMA,BM25,0.38461538461538464,0.6136631330977621,0.8463611859838275,0.6070588235294118,0.7438307873090482,0.9906651108518086
LLAMA,Inst,0.3779840848806366,0.6018845700824499,0.8504043126684636,0.5941176470588235,0.7144535840188014,0.9929988331388565
LLAMA,Contr,0.3793103448275862,0.6065959952885748,0.8504043126684636,0.6011764705882353,0.7720329024676851,0.9906651108518086
LLAMA,GTR-X,0.3687002652519894,0.6042402826855123,0.8463611859838275,0.6058823529411764,0.7438307873090482,0.9894982497082847
LLAMA,GTR-L,0.383289124668435,0.6007067137809188,0.8490566037735849,0.5964705882352941,0.7332549941245593,0.9918319719953326
Mixtral,Boyer-M,0.24649298597194388,0.3678571428571429,0.7987421383647799,0.27177700348432055,0.12695652173913044,0.8416523235800344
Mixtral,-,0.11538461538461539,0.4680337756332931,0.628032345013477,0.1011764705882353,0.6474735605170387,0.1983663943990665
Mixtral,BGE,0.1246684350132626,0.2921083627797409,0.6024258760107817,0.15411764705882353,0.7132784958871915,0.514585764294049
Mixtral,BM25,0.08620689655172414,0.26030624263839813,0.6037735849056604,0.14941176470588236,0.7097532314923619,0.5087514585764294
Mixtral,Inst,0.10477453580901856,0.2579505300353357,0.6145552560646901,0.17529411764705882,0.6933019976498237,0.5075845974329055
