QID,Label,Aliases
Q18549,Bowers,
Q25229,Kern,
Q28657,Fotopoulos,
Q29599,Lund,
Q38405,Engström,Engstrom
Q39000,Konstantopoulos,Konstantopoulos|Konstantopoulos|Konstantopoulos|Konstantopoulou|Κωνσταντόπουλος
Q40386,Cullen,
Q41362,Piccardo,
Q45749,Ān,安|Ahn|On|An
Q46767,Meyer,Meyer|Meyer
Q52420,McEnery,
Q59853,Jones,Jones|Jones
Q110617,Samardžić,
Q116425,Bjarnason,
Q116697,Fitelberg,
Q116974,Marashi,
Q118680,Boissonade,
Q119444,Blacher,
Q120050,Neuberger,
Q120268,Aaker,
Q120401,Kennedy,Kennedy
Q120715,Nordmann,
Q122787,Bellucci,Bellucci|Bellucci
Q123659,Netanyahu,
Q126642,Erdinç,
Q127040,Mutlu,
Q127578,Kretschmer,
Q127706,Țițeica,
Q131935,Mather,
Q131983,Sturm,Sturm
Q138887,Radulović,
Q139281,Zacchia,
Q143129,Fagan,
Q144532,Zając,
Q144724,Téllez,
Q145210,Weiss,
Q146624,Zander,
Q147414,Zapp,
Q148189,Zaschka,Zaschke|von Zaschka
Q153914,Schardinel,
Q157414,Kim,
Q162444,Schickedanz,
Q164011,Matthiessen,
Q164308,Hájek,
Q164503,Hartog,de/den Hartog
Q164892,Fernández,
Q165984,Kluge,
Q166930,Zavoda,
Q167812,Zayas,
Q168078,Aramburu,
Q168910,Zdebel,
Q169147,Zdovc,
Q170455,Jenkins,
Q174418,Lazarov,Lazarof|Lazaroff|לזרוף
Q174840,Morávek,
Q175753,Cordier,
Q176249,Panabaker,
Q177276,Reichmann,
Q177892,Bebel,
Q179205,Mitchell,
Q180158,Jóhannsson,
Q181502,Daniel,
Q184406,Zeerleder,Zeerleder|Zeerleder|Zeerleder family|von Zeerleder
Q184857,Zeiher,
Q184882,Zeilberger,
Q187724,Özçelik,Özçelik|Özçelik
Q187733,Zeller,Zeller
Q189182,Zelman,Zelman
Q189537,Zengin,
Q191309,Zenz,
Q196916,Zetzsche,
Q197057,Zevi,
Q198281,Ziadi,
Q198576,Ziegelbauer,
Q198785,Ziegenfuss,
Q198857,Ziegler,
Q199213,Ziesche,
Q200835,Seghatoleslam,religious title of honour
Q200983,Cevdet,
Q202664,Feng,馮|冯|Féng|Fong|Fung|Ferng|Fùhng|Phùng|Pung|Hùng|Pâng|Bang
Q202884,Zikaras,
Q203052,Patrick,
Q203541,Zimmer,
Q205067,Zinner,Цинер|Zinner
Q205199,Zinserling,
Q205226,Zinsou,
Q205287,Zinzendorf,
Q212187,Huba,
Q213348,Jammeh,
Q218355,Zogg,
Q218363,Zoghbi,
Q219849,Zondek,
Q220401,Zopf,
Q221800,Werthner,
Q222105,Jääskeläinen,
Q224301,Hoffman,
Q226723,Zoricic,
Q226761,Zorn,
Q227896,Zuckermandel,
Q229146,Mori,
Q229729,Zumpe,
Q230225,Zupančič,
Q230229,Hecht,Hekht|העכט|הכט|Гехт|Хехт|Hechtová|Hecht
Q230399,Zurfluh,
Q231555,Yamamoto,
Q233193,Wesley,
Q236231,Trintignant,
Q237732,Tyshchenko,Тищенко
Q237998,Scheller,
Q240085,Wechsler,
Q240482,Kellman,
Q240683,Klemm,
Q241872,Bartkus,
Q242198,Kolb,
Q242426,Leconte,
Q243304,Langevin,Langevin|Langevin
Q245145,Zwyssig,
Q245823,Tsyplakov,Zyplakow
Q247200,Mammadov,Mamadov|Məmmədov|Mämmädov|Mamedov|Mammadov|Mammadow
Q247781,Zöllner,
Q249832,Ban,班|Pan|Bān
Q252221,Арнасон,Arnason
Q254906,Hunt,
Q257383,Normandeau,
Q259503,Cuneo,
Q263071,Crisanti,
Q263542,Griffith,Griffith|Griffith
Q264344,Davidsson,
Q266891,Borlée,
Q267326,Dekker,
Q271313,Åström,Aastroem
Q272332,Çakmak,Cakmak
Q272853,Çiçek,
Q279372,Hayashi,Hayasi
Q279478,O'Hagan,
Q279543,Compston,
Q285912,Nicolai,
Q290348,Fehér,
Q292880,Ó Cuív,
Q293580,Õunapuu,
Q297063,Schott,
Q297574,Önal,
Q298283,Östberg,Ostberg
Q298325,Österberg,
Q300676,Aabech,
Q300775,Aadland,
Q300824,Aakula,
Q300912,Aall,
Q300987,Aamer,
Q300990,Aamodt,
Q301104,Aardsma,
Q301610,Aaron,Aaron
Q301840,Bruch,
Q302736,Gandhi,
Q302992,Aaronovich,Aaronovitch|Ааронович
Q303183,Aarts,
Q303635,Aasland,
Q304622,Izzet,
Q305227,Abalakov,
Q306464,Abbiati,
Q306749,Abbott,
Q307288,Abdul Malik,'Abd al-Malik|Abd al Malik|Abd al Melik|Abdelmelik|Abd al-Malek|Abdalmelik|Abd Al-Malik|Abdel Malik|Abd al-Malik|Abdul Maalik|Abdelmalek|Abdolmalek|Abdalmalik|Abdul Malek|Abdul-Malik
Q307330,Östlund,
Q307433,Öttl,Öttl|Öttl
Q307771,Özdilek,
Q307776,Özdoğan,
Q307783,Özer,Ozer
Q307878,Özhan,
Q307914,Özkök,
Q307944,Özmert,Ozmert
Q307945,Özoğuz,Özoğuz
Q307948,Öztorun,
Q318278,Abega,
Q318363,Abel,Abel
Q320881,Abidi,Ābidī
Q321251,Abildgaard,
Q322306,Ableiter,
Q322310,Ableitner,
Q330808,Übelacker,
Q330948,Abrahamson,Abragamson
Q331091,Abramczik,
Q331138,Abramsky,
Q331445,Abril,
Q332290,Abshire,
Q334893,Ünal,
Q335668,Þorsteinsson,
Q336452,Custic,Ćustić
Q336834,Abächerli,Abächerli|Abächerli
Q337919,Acar,
Q339383,Accoramboni,
Q340322,Achillini,
Q340544,Achleitner,Achleitner
Q341350,Česnauskis,
Q341608,Čolak,Cholak
Q341721,Čutura,
Q341736,Čáp,
Q341764,Ackerknecht,
Q342908,Madariaga,
Q343749,Milligan,
Q343988,İpek,İpek|İpek
Q344054,Levinas,
Q344924,Pandey,Pande|Pandeya|Panday
Q345052,Acél,Acél|Acél
Q345596,Yurovsky,Юровский|Jurovský|Yurovski|Yurovskiy
Q345603,Baresi,Baresi|Baresi
Q345918,Balandin,
Q346569,Sasaki,
Q346860,Schaller,
Q347378,Guay,
Q347592,Ostapenko,Остапенко
Q347929,Wilkinson,
Q348915,Parviainen,
Q348969,Maccarone,
Q349866,Redknapp,
Q351567,Adamczyk,
Q351595,Adames,
Q351601,Adamič,
Q351608,Adamik,
Q351735,آدامز,Adams|Adams
Q352078,Adamski,
Q352089,Adamsson,
Q352821,Addams,
Q353404,Adduono,
Q353576,Murdock,
Q354330,Braun,
Q355056,Maior,Maior|Maior
Q355383,McKinnon,
Q355482,Ilyushin,Ильюшин
Q356377,Aderholt,
Q356559,Sandoval,Sandoval
Q356969,Adickes,
Q357139,Owens,
Q357280,Adilović,
Q358090,Adler,Adler|Adler
Q358152,Mamontov,Мамонтов
Q358485,Adlersparre,
Q359432,Kahl,
Q359502,Maurer,
Q360453,Adoboli,
Q360542,Adolf,
Q360604,Groulx,
Q362091,Polonsky,Polonski
Q363990,Savchuk,Савчук
Q364289,Werkman,
Q366032,Adomaitis,
Q368894,Haas,
Q369735,Mainzer,
Q369816,Thapa,थापा
Q370531,Schuurman,
Q371003,Hornung,
Q371270,Olausson,
Q371852,Josipović,
Q378514,Dragutinović,
Q379059,Adulyadej,
Q379477,Hartwig,
Q380827,Aellen,
Q381802,Aerts,
Q382071,Afanasyev,Афанасьев
Q382779,Eren,
Q382833,Affleck,
Q383010,Pérez,
Q383113,Dean,
Q384162,Łukaszewicz,
Q385063,Lebedev,Лебедев
Q385674,Lottner,
Q387114,Śliwiński,Śliwińska|Śliwińscy|Sliwinsky|Сливинський|Сливиньский|Sliwinski
Q387640,Borodin,Бородин
Q388010,Şahan,
Q388114,Şakir,
Q388231,Şamdereli,
Q388777,Şen,
Q390541,Şimşek,Şimşek|Şimşek
Q391460,Šerifović,
Q391733,Šivic,
Q392031,Ağayev,Agayev|Aghayev
Q392194,Šmēdiņš,
Q392492,Štrukelj,
Q392506,Štuhec,
Q392641,Šukys,
Q392710,Šutej,
Q392745,Švedas,
Q393240,Żygulski,
Q393830,Žemva,
Q394187,Živný,
Q394314,Župančič,
Q394343,Žvižej,
Q394612,Əliyev,Aliyev
Q395215,Agolli,Agolli|Agolli
Q395503,Agosti,
Q396452,Agrell,
Q397820,Stravinsky,
Q398121,Pavelić,
Q399592,Agyemang,
Q400282,Nyers,
Q400458,Wiseman,
Q400508,Ahlgren,
Q400509,Ahlgrimm,Ahlgrimm|Ahlgrimm
Q400534,Ahlquist,
Q400538,Ahlqvist,
Q400559,Ahlstrand,
Q403153,Ai,艾|Ài|Ngai
Q403433,de Jong,de Jong|de Jong
Q403712,Aichinger,
Q404721,Macpherson,
Q404899,Aikenhead,
Q405906,Hicks,Hix
Q406181,Pacheco,
Q406384,Sachs,
Q408512,Aird,
Q409677,Ambrosini,
Q410605,Aitkenhead,
Q411679,Stepanova,
Q411924,Frazier,
Q412179,Wilk,Wilk
Q413535,Kosinski,
Q413753,Evrard,
Q414325,Cantoni,
Q414592,Rapp,
Q414927,Greenspan,
Q414977,Hlushko,
Q415399,Lahti,
Q415564,Akalın,
Q416943,Akdağ,
Q416960,Akdemir,
Q417600,Akgül,
Q419161,Rey,
Q419460,Weinert,
Q420128,Mauri,
Q420404,Frenkel,Frenkel|Frenkel
Q420455,Odom,
Q420588,Akoto,
Q420601,Bowles,
Q420703,Trudeau,
Q421434,Galkina,
Q421604,Aksoy,
Q421649,Kenyon,
Q421840,Nordenskiöld,
Q421954,Malmström,
Q422287,Schiffman,Schiffmann
Q422371,Fesenko,
Q423413,Johnsen,
Q423635,Kulakov,
Q423891,Melnychenko,
Q424325,Stevenson,
Q424429,Akyol,
Q424447,Kouz,
Q424982,Yakovenko,
Q426452,Dyatlov,Дятлов
Q426463,Lewis,
Q428024,Klein,Klein|Klein
Q428664,Saionji,西園寺
Q428826,Vischer,
Q431274,Glover,
Q431758,Nagy,
Q431890,Barrett,
Q432807,Alströmer,
Q436035,Yoshida,Yosida
Q436257,Velasco,
Q436862,Altenburg,
Q439627,Moskvin,Москвин
Q440471,Althaus,
Q442524,Altmann,Altmann|Altmann|Altmann|Altmannová
Q448361,Propp,Propp|Propp
Q449365,Stoker,
Q449411,Bennett,Bennett
Q450129,Su,苏|蘇|Sū|So͘|Sou|Soo
Q450440,Karpinski,Karpinski|Karpinski
