QID,Label,Aliases
Q20187,Olga,Ольга
Q24223,Iurie,Iurie|Iurie
Q113098,Tahir,Taher|طاهر
Q127069,Ivar,Ivar|Ivar
Q127733,Giulia,Giulia|Giulia
Q146624,Zander,
Q167755,Astrid,Astrid|Astrid|Ástríðr
Q169154,Zdravko,Zdravko|Zdravko|Здравко
Q178041,Pontius,
Q178083,Zvezdan,Zvezdan|Zvezdan
Q181346,Walburga,Walburga|Walburga
Q187250,Zeki,
Q191379,Zephyrine,
Q197531,Zhe,
Q206111,Scota,Scota
Q238771,Gervasio,
Q240790,Napoleone,Napoleone|Napoleone
Q241356,Nadezhda,Nadezhda|Nadezhda
Q252247,Árni,Árni|Árni
Q253589,Oktawia,Oktawia|Oktawia
Q256685,Vinayaki,Vinayaki|Vinayaki
Q261113,Noel,Noel|Noel
Q265409,Libor,Libor|Libor
Q266749,Placid,
Q271370,Ælfwald,
Q272796,Çetin,
Q273754,Éder,Éder|Éder
Q278742,Danuta,Danuta|Danuta
Q280570,Sünne,
Q291930,Prakseda,
Q300872,Aale,
Q301657,Viola,Viola|Viola
Q307578,Abdullah,Abdullah|Abdullah|Abdallah|Abdallah|Abdallah|'Abdullah|Abdullah|Abdollah
Q317438,Abdur Razzaq,
Q318574,Abelina,Abelina|Abelina
Q325872,Maria,Maria|Maria
Q334769,Ülkü,
Q335937,Adelinde,
Q340348,Achim,Achim|Achim
Q352883,Addi,
Q355279,Scholastika,
Q355713,Malte,Malte|Malte
Q359360,Adnan,Adnan|Adnan
Q360413,Yevdokiya,Евдокия
Q363820,Delia,Delia|Delia
Q365625,Adolphe,Adolphe|Adolphe
Q375094,Rostam,
Q386015,Hamish,Hamish|Hamish
Q394431,Agnes,Agnes|Agnes
Q405609,Aimie,
Q410778,Aitor,Aitor|Aitor
Q411091,Aivaras,Aivaras|Aivaras
Q415295,Akai,
Q417602,Akgün,
Q418008,Akif,
Q419885,Bonifatius,Bonifacius|Bonifacius|Bonifacius
Q429025,Masahiro,Masahiro|Masahiro
Q452690,Amalberga,Amalberga|Amalberga
Q453020,Amalia,Amalia|Amalia
Q454274,Amando,Amando|Amando
Q456808,Amber,
Q458843,Freddy,Freddy|Freddy
Q461796,Amelius,
Q462601,Amenhotep,
Q475210,Juan,Juan|Juan
Q479670,'Abd al-Majid,Abd al-Majid|Abdul Medjid|Abdul Mejid|Abdul-Medjid|Abdul-Mejid|'Abd al-Mayid|'Abdülmecid|Abd al-Mayid|'Abdulmecid|Abdülmecid|Abdulmecid|Abdulmayid|Abdul Meyid|Abd al-Madshid|Abdulmadshid|Abdul Majeed|Abd al-Majeed|Abdul Medzhid|Abd-ul-Medzhit|Abdul-Medzsid|Abd ül-Mecid|Abd ul-Mecid|Abdul Majid|Abdul Madzhid|Abdel Meguid|Abdelmajid|Abd el-Majid|Abdelmadjid|Abdol Majid|Abdelmageed|Abdulmajid|Abdoul Madjid
Q495538,Sietske,
Q495635,Colin,Colin|Colin
Q499249,Walter,Walter|Walter
Q513325,Fehérke,
Q517366,Nobuko,のぶこ
Q537566,Furio,
Q538048,Pirkko,Pirkko|Pirkko
Q541194,Emma,Emma|Emma
Q542211,Ornella,Ornella|Ornella
Q545971,Eugene,Eugene|Eugene
Q554684,Ajsa,
Q566243,Anna Maria,Anna Maria
Q567412,Annunziata,
Q572868,Meritites,
Q575207,Alois,Alois|Alois
Q600823,Armel,Armel|Armel
Q602977,Simone,Simone|Simone
Q608366,Ishana,Īśāna
Q610111,Salvatore,Salvatore|Salvatore
Q610478,Arlo,Arlo|Arlo
Q615694,Aoife,Aoife|Aoife
Q639085,Deniz,Deniz|Deniz
Q641974,Arendt,
Q645734,Alfredo,Alfredo|Alfredo
Q645757,Arne,Arne|Arne
Q646082,Kalevi,
Q650375,Stefano,Stefano|Stefano
Q650383,Alirán,
Q656698,Regina,Regina|Regina
Q659757,Dragana,
Q660206,Trygve,Trygve|Trygve
Q661107,Kunibert,
Q661884,Alpár,
Q662251,Borivoje,
Q662373,Fiona,Fiona|Fiona
Q675106,Terenzio,Terenzio|Terenzio
Q677750,Liberiusz,
Q687322,Amaranta,
Q695472,Aminta,Aminta|Aminta
Q714912,Celestyn,Celestyn|Celestyn
Q715089,Gelasio,Gelasio|Gelasio
Q726554,Regimantas,Regimantas|Regimantas
Q730346,Asim,Asim|Asim
Q732171,Eoin,
Q734578,Mary,Mary|Mary
Q741780,Alighiero,
Q743317,Staffan,Staffan|Staffan
Q750897,Onesimo,
Q750949,Ányos,
Q759036,Audronius,
Q759038,Audronė,
Q768241,Augustina,Augustina|Augustina
Q768600,Androméda,
Q768847,Augustinus,Augustinus|Augustinus
Q772156,Szellő,
Q772526,Necmettin,Necmettin|Necmettin
Q773050,Anizjusz,
Q773909,Apor,
Q774002,Appia,
Q774212,Apród,
Q781477,Deiniol,
Q782728,Avarka,
Q791459,Bató,
Q791660,Beatus,Beatus|Beatus
Q791838,Bedő,
Q792161,Bekény,
Q792945,Benjamina,Benjamina|Benjamina
Q793790,Bertilla,
Q793802,Bertram,Bertram|Bertram
Q794793,Aşkın,
Q803661,Bahriye,
Q810649,Bastienne,
Q826686,Bernold,
Q835358,Bors,
Q840496,Blas,Blas|Blas
Q847179,Paula,Paula|Paula
Q847566,Wolfram,Wolfram|Wolfram
Q848475,Botond,Botond|Botond
Q848549,Frida,Frida|Frida
Q852889,Bán,
Q853689,Peregrin,
Q857583,Lorena,Lorena|Lorena
Q861860,Biljana,Биляна
Q863870,Binjamin,Binjamin|Binjamin
Q867471,Cipriano,Cipriano|Cipriano
Q870986,Csegő,
Q881391,Blanche,Blanche|Blanche
Q887611,Boaz,
Q890686,Bogomil,
Q901153,Dagomér,
Q903741,Ingrid,Ingrid|Ingrid
Q906035,Fabrice,Fabrice|Fabrice
Q908318,Dominika,Dominika|Dominika
Q909097,Dorkás,
Q919943,Désirée,
Q920373,Jukka,Jukka|Jukka
Q920566,Britt,Britt|Britt|Britt
Q925678,Anita,
Q936646,Tamara,Tamara|Tamara
Q937579,Siobhán,
Q942255,Theobalda,
Q942757,Lukrécia,
Q944767,Cynthia,Cynthia|Cynthia
Q948418,Leonard,Leonard|Leonard
Q949355,Mabel,Mabel|Mabel
Q957188,Irmtraud,
Q962602,Eugenia,Eugenia|Eugenia
Q965276,Kwame,Kwame Atoapem|Ato
Q968649,Hisham,Hisham|Hisham
Q978756,Laimontas,
Q986996,Dévald,
Q987019,Dézi,
Q987212,Döme,
Q989178,Előd,
Q990834,Ermelinda,
Q991275,Tessa,Tessa|Tessa
Q994140,Dimitra,Dimitra|Dimitra
Q994749,Wórša,
Q997611,Recai,Recai|Recai
Q1003165,Fortunato,Fortunato|Fortunato
Q1003466,Franziska,Franziska|Franziska
Q1009025,Gemella,
Q1010781,Gitta,Gitta|Gitta
Q1011034,Gliceria,
Q1019008,Bärbel,Bärbel|Bärbel
Q1025452,Caesarius,
