QID,Label,Aliases
Q901,scientist,natural philosopher
Q1487,hacker,hackers
Q11281,troll,internet troll|online troll
Q17221,spokesperson,spokesman|spokeswoman|spokespeople|spokespersons|spokeswomen|spokesmen|Press Officer
Q20599,Chief Administrator,
Q26102,whistleblower,
Q27914,tenor,tenor voice|tenor (singer)
Q29558,President of Finland,President of the Republic of Finland|Finnish President
Q30461,president,
Q33231,photographer,photog|photographers
Q40348,lawyer,attorney|solicitor|barrister|lawyers
Q43292,sultan,
Q58451,Pope of the Coptic Orthodox Church,Bishop of Alexandria|Patriarch of Alexandria|Coptic Patriarch of Alexandria|Coptic Orthodox Pope of Alexandria|Coptic Orthodox Patriarch of Alexandria|Coptic Orthodox Pope|Coptic Pope
Q107198,barber,barbers
Q111784,Secretary of State for Scotland,Scotland Secretary
Q125168,Marshal of the Soviet Union,
Q126236,conquistador,Spanish conquistador|Portuguese conquistador
Q133744,tour operator,
Q140686,chairperson,chairman|chair|presiding officer|chairman of the board|foreman|chairpersons|chairwomen|chairmen|chairwoman of the board|chairperson of the board|president (chairman)|chair (officer)|chairwoman
Q152956,brigadier general,brigadier-general|BG|B.Gen.|Brig.Gen.|brigade general|Brig. Gen.|Brigade general
Q157148,major general,major-general|MG|Maj.Gen.|M.Gen.|two-star general|Major general
Q157802,margrave,
Q160117,broker,
Q162244,hero,heroine|good guy|heroes
Q165029,electrician,
Q166382,Amir,Amier|Ameer|Emira|Amīrah|king of the Taifa|king Taifa|Taifa King
Q167105,Nipsistiarios,
Q170011,Praepositus sacri cubiculi,
Q172748,antipope,
Q173950,art dealer,picture dealer
Q176968,foreign government advisor in Meiji Japan,
Q180095,tyrant,tyrants
Q182687,palmistry,chiromancy|palm reading|cheiromancy|chirology|hand analysis|chironomy|chirognomy|line reading
Q183287,yakuza,gokudō|ヤクザ
Q183318,dictator,autocrat
Q185182,Proveditor,
Q188393,Minister of Defence of Finland,puolustusministeri|försvarsminister|Minister of Defence (Finland)|Minister for Defence (Finland)
Q188761,Vestal Virgin,vestals|Vestal Virgins
Q189010,notary,
Q190401,tribune,tribunus
Q201948,sniper,
Q203658,waste picker,
Q207293,crown prince,crown princess
Q208762,chaplain,Chaplain
Q215536,merchant,
Q219184,croupier,dealer
Q219477,missionary,proselytizer
Q223266,vassal,vassalage
Q235157,rasul,messenger in Islam
Q245068,comedian,comedienne|comic|comic actor
Q251724,Chief Secretary for Ireland,
Q254508,outlaw,waive|weyve
Q258874,dievdirbys,
Q261891,script editor,story editor
Q278721,Hellenotamias,Hellenotamiae
Q300639,rationibus,
Q301451,Governor of Aruba,
Q313383,President of Delhi,India President|POI
Q315625,intern,Intern
Q316498,cadet,
