sentence,span,type,uri,relation,question,gold CoC
"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,person,(Q490205),country of citizenship,What is the country of citizenship of Gavinies?,France
", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,person,(Q541755),country of citizenship,What is the country of citizenship of Lord Chamberlain?,United Kingdom of Great Britain and Ireland
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,person,(Q16030597),country of citizenship,What is the country of citizenship of Mr. C. Hancock?,United Kingdom of Great Britain and Ireland
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,person,(Q5541104),country of citizenship,What is the country of citizenship of Sir George Elvey?,United Kingdom of Great Britain and Ireland
Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,person,(Q313188),country of citizenship,What is the country of citizenship of Mr. Viotti?,Kingdom of Sardinia
"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,person,(Q1145),country of citizenship,What is the country of citizenship of Rameau?,Kingdom of France
"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,person,(Q18546476),country of citizenship,What is the country of citizenship of Benzamin Rogenrs?,Kingdom of England
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,person,(Q1339),country of citizenship,What is the country of citizenship of Bach?,Holy Roman Empire; Saxe-Eisenach
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Cherubini,person,(Q20721),country of citizenship,What is the country of citizenship of Cherubini?,France; United Kingdom; Grand Duchy of Tuscany
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Lefébure - Wély,person,(Q546919),country of citizenship,What is the country of citizenship of Lefébure - Wély?,France
"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Mocre,person,(Q315346),country of citizenship,What is the country of citizenship of Mr. Mocre?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Bishop,person,(Q1200639),country of citizenship,What is the country of citizenship of Mr. Bishop?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Rameau was in despair, and thought to renounce the theatre.",Rameau,person,(Q1145),country of citizenship,What is the country of citizenship of Rameau?,Kingdom of France
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",H. Lazarus,person,(Q5724751),country of citizenship,What is the country of citizenship of H. Lazarus?,United Kingdom of Great Britain and Ireland
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",J. Thomas,person,(Q1701921),country of citizenship,What is the country of citizenship of J. Thomas?,United Kingdom of Great Britain and Ireland
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Batiste,person,(Q274231),country of citizenship,What is the country of citizenship of Batiste?,France
