sentence,span,type,uri,relation,question,gold DoB
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,person,(NIL),date of birth,What is the date of birth of Mr. Liddle?,
"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,person,(NIL),date of birth,What is the date of birth of Peter Rogers?,
"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,person,(NIL),date of birth,What is the date of birth of M. Beckers?,
"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,person,(NIL),date of birth,What is the date of birth of Miss Orton?,
"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,person,(NIL),date of birth,What is the date of birth of Miss Wale?,
"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,person,(NIL),date of birth,What is the date of birth of Mr. Horniblow?,
", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,person,(NIL),date of birth,What is the date of birth of Bow?,
", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,person,(NIL),date of birth,What is the date of birth of E. Carper?,
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,person,(NIL),date of birth,What is the date of birth of F. J. Amor?,
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,person,(NIL),date of birth,What is the date of birth of Walter Pettit?,
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. Ralph,person,(NIL),date of birth,What is the date of birth of F. Ralph?,
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",P. Sainton,person,(NIL),date of birth,What is the date of birth of P. Sainton?,
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,person,(NIL),date of birth,What is the date of birth of A. White?,
The Music adapted from SPINDLER’s HUSARENRITT by Louis Dien1.,SPINDLER,person,(NIL),date of birth,What is the date of birth of SPINDLER?,
"Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle.",Oakley,person,(NIL),date of birth,What is the date of birth of Oakley?,
"Original Instructions for the Violin, illustrated by Precepts and Examples, composed expressly for this Work, by T. Howell.. 507 XVI.",T. Howell,person,(NIL),date of birth,What is the date of birth of T. Howell?,
"Mr. G.’s ideas of tuition are however very correct, and his book will prove useful to masters.",Mr. G.,person,(NIL),date of birth,What is the date of birth of Mr. G.?,
"a concert was given at Brooke House by the choir of that establishment, assisted by members of the choir of St. Matthew’s Church, under the direction of Mr. Batchelor, the singing master at Brooke House.",Mr. Batchelor,person,(NIL),date of birth,What is the date of birth of Mr. Batchelor?,
"Mr. Duncan Finvay gave an evening concert at the Shaftesbury Park Lecture Hall, on Tuesday, the 15th ult.",Mr. Duncan Finvay,person,(NIL),date of birth,What is the date of birth of Mr. Duncan Finvay?,
"Mr. and Mrs. Wood, it seems, are preparing to depart for America.",Mrs. Wood,person,(NIL),date of birth,What is the date of birth of Mrs. Wood?,
"on application to H. Hagemeyer, Bandmaster, 12th Regiment, Cork Barracks, Ireland.",H. Hagemeyer,person,(NIL),date of birth,What is the date of birth of H. Hagemeyer?,
"himself, abridged and continued to his death, by Dr. Kitchiner; from which we learn, that _",Dr. Kitchiner,person,(NIL),date of birth,What is the date of birth of Dr. Kitchiner?,
"The chair was occupied en the occasion by Sir Thomas Gladstone, Bart.",Bart,person,(NIL),date of birth,What is the date of birth of Bart?,
"| tains a new two - manual Organ by Walker, of London.",Walker,person,(NIL),date of birth,What is the date of birth of Walker?,
"The number of witnesses examined was forty - five, among whom were Mr. Mash of the Chamberlain’s Office, all the proprietors and managers of the various theatres, major and minor, many authors, and most of the principal actors.",Mr. Mash,person,(NIL),date of birth,What is the date of birth of Mr. Mash?,
"A new symphony by M. Joachim Hoffman, a composition of great merit, was performed at that gentleman’s concert.",M. Joachim Hoffman,person,(NIL),date of birth,What is the date of birth of M. Joachim Hoffman?,
"Musical Society at Cambridge, in the y Term of 1871, under the direction of Dr. G. M: Garrett.",Dr. G. M : Garrett .,person,(NIL),date of birth,What is the date of birth of Dr. G. M : Garrett .?,
"The Philharmonic Society, founded here by M. Schénche, is going on flourishingly.",M. Schénche,person,(NIL),date of birth,What is the date of birth of M. Schénche?,
"We, therefore, heartily welcome Mr. Hall’s book, as a useful addition to the scanty literature on the subject.",Mr. Hall,person,(NIL),date of birth,What is the date of birth of Mr. Hall?,
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",G.,person,(NIl),date of birth,What is the date of birth of G.?,
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",Benson,person,(NIL),date of birth,What is the date of birth of Benson?,
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",P. Goldberg,person,(NIL),date of birth,What is the date of birth of P. Goldberg?,
"G. Benson, Ettore Fiori, Manuel Garcia, P. Goldberg, A. Randegger, T. A. Wallworth, and the Principal.",T. A. Wallworth,person,(NIL),date of birth,What is the date of birth of T. A. Wallworth?,
"Thornhill drew ail their portraits in pencil, and Prior wrote humorous verses under each.",Prior,person,(NIL),date of birth,What is the date of birth of Prior?,
