sentence,span,type,uri,relation,question,gold familyName
"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,person,(Q490205),family name,What is the family name of Gavinies?,
", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,person,(Q541755),family name,What is the family name of Lord Chamberlain?,Cavendish
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,person,(Q16030597),family name,What is the family name of Mr. C. Hancock?,Q13635636
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,person,(Q5541104),family name,What is the family name of Sir George Elvey?,Elvey
Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,person,(Q313188),family name,What is the family name of Mr. Viotti?,Viotti
"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,person,(Q1145),family name,What is the family name of Rameau?,Rameau
"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,person,(Q18546476),family name,What is the family name of Benzamin Rogenrs?,Rogers
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,person,(Q1339),family name,What is the family name of Bach?,Bach
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,person,(Q7302),family name,What is the family name of Handel?,Händel; Handel
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Cherubini,person,(Q20721),family name,What is the family name of Cherubini?,Q37104786
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Lefébure - Wély,person,(Q546919),family name,What is the family name of Lefébure - Wély?,
"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Mocre,person,(Q315346),family name,What is the family name of Mr. Mocre?,Moore
"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Bishop,person,(Q1200639),family name,What is the family name of Mr. Bishop?,Bishop
"Rameau was in despair, and thought to renounce the theatre.",Rameau,person,(Q1145),family name,What is the family name of Rameau?,Rameau
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",H. Lazarus,person,(Q5724751),family name,What is the family name of H. Lazarus?,Lazarus
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",J. Thomas,person,(Q1701921),family name,What is the family name of J. Thomas?,Thomas
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Batiste,person,(Q274231),family name,What is the family name of Batiste?,Batiste
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Lefébure - Wély,person,(Q546919),family name,What is the family name of Lefébure - Wély?,
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Gounod,person,(Q180278),family name,What is the family name of Gounod?,Gounod
"There were aymptoms of weariness, to be sute, in some of the high tenors in the last piece, that noble double chorus from Mendelssohn's “Oedipus,’ and",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"Under the Direction of the Earl of Cawdor, Wednesday, April 24, 1833.",Earl of Cawdor,person,(Q6224952),family name,What is the family name of Earl of Cawdor?,Campbell
Of the publication of Volume II. of Dr. Burney’s great work we have the following account:,Dr. Burney,person,(Q547002),family name,What is the family name of Dr. Burney?,Burney
"On the same occasion, a quintett and chorus from Jerusalem delivered, an oratorio by M. Eberwein, which is still in MS. was received with much applause.",M. Eberwein,person,(Q215521),family name,What is the family name of M. Eberwein?,Eberwein
The programme consisted of selections from the Messiah and Mendelssohn’s Hymn of Praise.,Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
The Music adapted from SPINDLER’s HUSARENRITT by Louis Dien1.,Louis Dien1,person,(Q19900926),family name,What is the family name of Louis Dien1?,Dien
Some think they detect already in Weber's “Preciosa” and,Weber,person,(Q154812),family name,What is the family name of Weber?,Weber
The first fart of the programme consisted of selections from the works of Mendelssohn.,Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle.",James Perry,person,(Q15047460),family name,What is the family name of James Perry?,Perry
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Sirletti,person,(Q102283903),family name,What is the family name of Sirletti?,
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Asioli,person,(Q892563),family name,What is the family name of Asioli?,Asioli
"that many composers who lose themselves in the clouds of mannerism and affectation, would imitate thewisdom of Sirletti, Asioli, and Pollini —",Pollini,person,(Q1351579),family name,What is the family name of Pollini?,Pollini
"Second Concerto and Di Tanti, 294 Kiallmark, his Le pas de Polichinelle, 1145, Are ye'angry, 238;",Kiallmark,person,(Q18671297),family name,What is the family name of Kiallmark?,
"This enthusiastic composer, rich in talent, of the school of Bartolomeo Felici, wrote in the purest style.",Bartolomeo Felici,person,(Q20757883),family name,What is the family name of Bartolomeo Felici?,Felici
"Piano Forte ed Arpa da L. Cherubini, » Almen se non possio, Canzonetta; Poetry by Metastasio; Music by",L. Cherubini,person,(Q20721),family name,What is the family name of L. Cherubini?,Q37104786
"Piano Forte ed Arpa da L. Cherubini, » Almen se non possio, Canzonetta; Poetry by Metastasio; Music by",Metastasio,person,(Q29473),family name,What is the family name of Metastasio?,Metastasio
"Here examples are given of the psalms of Marot and some of the earliest psalmists, whose compositions were even then considered as impudent innovations.",Marot,person,(Q108926),family name,What is the family name of Marot?,Marot
"Between the years 1740 and 1745, we find but two complete dramas written by Metastasio, Antigono and Ipermestra, the former of these written expressly for the court of Dresden.",Metastasio,person,(Q29473),family name,What is the family name of Metastasio?,Metastasio
"This will serve to give some idea of the extensive field entered upon by Martini, and the diffuseness of that part which is completed.",Martini,person,(Q283651),family name,What is the family name of Martini?,Martini
"the Bacchanalian Song from Spontini’s Danaides, and several other pieces too numerous to particularize.",Spontini,person,(Q168485),family name,What is the family name of Spontini?,
"Vienna, Jan. 10. _ Donizetti has arrived in this city in perfect health.",Donizetti,person,(Q101698),family name,What is the family name of Donizetti?,Donizetti
"Nevertheless, to be the rival of Carissimi he must have possessed considerable talent, both as a musician and a composer.",Carissimi,person,(Q312686),family name,What is the family name of Carissimi?,Carissimi
"Since this note was written, a strong confirmation has been given to my opinion by a perusal of the History of the East Indies, from the French of L’Abbe Guyon.",L’Abbe Guyon,person,(Q2976789),family name,What is the family name of L’Abbe Guyon?,Guyon
Her Majesty and Prince Albert took a part in ‘Die Elfen Walzer.,Prince Albert,person,(Q152245),family name,What is the family name of Prince Albert?,Coburg; Gotha; Sachsen
"Nor let us omit the performance of Grisias the Lady Norina in Pasquale, which was one of the most admirable specimens of comic talent ever seen on any stage.",Grisias,person,(Q287344),family name,What is the family name of Grisias?,Grisi
": NgwcastLe - on - TyNE. — A most successful performance of the Antigone of Sophocles, with Mendelssohn's music, took place at the Theatre Royal, on the 21st ult.",Mendelssohn,person,(Q46096),family name,What is the family name of Mendelssohn?,Mendelssohn; Bartholdy
"Sabadini also composed oratorios, the best of which was “La Divina Sapienza.",Sabadini,person,(Q3638803),family name,What is the family name of Sabadini?,Sabadini
"The chair was occupied en the occasion by Sir Thomas Gladstone, Bart.",Sir Thomas Gladstone,person,(Q7529140),family name,What is the family name of Sir Thomas Gladstone?,Gladstone
"The three last operas written by Metastasio were, Il Trionfo di Clelia, in 1762;",Metastasio,person,(Q29473),family name,What is the family name of Metastasio?,Metastasio
"’s 24th Psalm, adapted to the English version, by W. T. Freemantle (and revised by the late Dr. S. S. Wesley).",W. T. Freemantle,person,(Q8019310),family name,What is the family name of W. T. Freemantle?,
"’s 24th Psalm, adapted to the English version, by W. T. Freemantle (and revised by the late Dr. S. S. Wesley).",Dr. S. S. Wesley,person,(Q746420),family name,What is the family name of Dr. S. S. Wesley?,Wesley
"Though Mr. Viotti had long retired from his profession, he nevertheless retained ‘all his love for the art, and contributed every thing in his power towards its ATS",Mr. Viotti,person,(Q313188),family name,What is the family name of Mr. Viotti?,Viotti
"The number of witnesses examined was forty - five, among whom were Mr. Mash of the Chamberlain’s Office, all the proprietors and managers of the various theatres, major and minor, many authors, and most of the principal actors.",Chamberlain,person,(Q541755),family name,What is the family name of Chamberlain?,Cavendish
"On Monday, June 5, 1826, died Carl Maria Freyherr Von Weber.",Carl Maria Freyherr Von Weber,person,(Q154812),family name,What is the family name of Carl Maria Freyherr Von Weber?,Weber
", Arthur Sullivan, Mus. D., Cantab., the Conductor, and the Principal — Eaton Faning.",Arthur Sullivan,person,(Q212692),family name,What is the family name of Arthur Sullivan?,Sullivan
