sentence,span,type,uri,relation,question,gold givenName
"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,person,(Q490205),given name,What is the given name of Gavinies?,Pierre
", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,person,(Q541755),given name,What is the given name of Lord Chamberlain?,William; Q15921732; Spencer
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,person,(Q16030597),given name,What is the given name of Mr. C. Hancock?,Charles
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,person,(Q5541104),given name,What is the given name of Sir George Elvey?,Q15921732
Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,person,(Q313188),given name,What is the given name of Mr. Viotti?,Giovanni Battista
"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,person,(Q1145),given name,What is the given name of Rameau?,Jean-Philippe
"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,person,(Q18546476),given name,What is the given name of Benzamin Rogenrs?,Benjamin
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,person,(Q1339),given name,What is the given name of Bach?,Sebastian; Johann
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,person,(Q7302),given name,What is the given name of Handel?,Georg; Frederick; Friedrich; Q15921732; Q16275883
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,person,(Q46096),given name,What is the given name of Mendelssohn?,Felix
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Cherubini,person,(Q20721),given name,What is the given name of Cherubini?,Louis-Marie
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Lefébure - Wély,person,(Q546919),given name,What is the given name of Lefébure - Wély?,James; Louis; Alfred
"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Mocre,person,(Q315346),given name,What is the given name of Mr. Mocre?,Thomas
"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Bishop,person,(Q1200639),given name,What is the given name of Mr. Bishop?,Henry; Rowley
"Rameau was in despair, and thought to renounce the theatre.",Rameau,person,(Q1145),given name,What is the given name of Rameau?,Jean-Philippe
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",H. Lazarus,person,(Q5724751),given name,What is the given name of H. Lazarus?,Henry
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",J. Thomas,person,(Q1701921),given name,What is the given name of J. Thomas?,John
