sentence,span,type,uri,relation,question
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. Liddle,person,(NIL),occupation,What is the occupation of Mr. Liddle?
"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Peter Rogers,person,(NIL),occupation,What is the occupation of Peter Rogers?
"He now places himself on a level with a M. Beckers, who announces that he has pianos which will serve as objects of curiosity!",M. Beckers,person,(NIL),occupation,What is the occupation of M. Beckers?
"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Orton,person,(NIL),occupation,What is the occupation of Miss Orton?
"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Miss Wale,person,(NIL),occupation,What is the occupation of Miss Wale?
"the solo parts being sung by Miss Orton, Miss Wale, and Mr. Horniblow.",Mr. Horniblow,person,(NIL),occupation,What is the occupation of Mr. Horniblow?
", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",Bow,person,(NIL),occupation,What is the occupation of Bow?
", Bow, E. — E. Carper is prepared to send Specifications for building Organs of very superior materials and workmanship.",E. Carper,person,(NIL),occupation,What is the occupation of E. Carper?
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. J. Amor,person,(NIL),occupation,What is the occupation of F. J. Amor?
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",Walter Pettit,person,(NIL),occupation,What is the occupation of Walter Pettit?
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",F. Ralph,person,(NIL),occupation,What is the occupation of F. Ralph?
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",P. Sainton,person,(NIL),occupation,What is the occupation of P. Sainton?
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",A. White,person,(NIL),occupation,What is the occupation of A. White?
The Music adapted from SPINDLER’s HUSARENRITT by Louis Dien1.,SPINDLER,person,(NIL),occupation,What is the occupation of SPINDLER?
"Oakley, Esq., of Tavistock Place, and the late James Perry Esq.,. of the Morning Chronicle.",Oakley,person,(NIL),occupation,What is the occupation of Oakley?
"Original Instructions for the Violin, illustrated by Precepts and Examples, composed expressly for this Work, by T. Howell.. 507 XVI.",T. Howell,person,(NIL),occupation,What is the occupation of T. Howell?
"Mr. G.’s ideas of tuition are however very correct, and his book will prove useful to masters.",Mr. G.,person,(NIL),occupation,What is the occupation of Mr. G.?
"a concert was given at Brooke House by the choir of that establishment, assisted by members of the choir of St. Matthew’s Church, under the direction of Mr. Batchelor, the singing master at Brooke House.",Mr. Batchelor,person,(NIL),occupation,What is the occupation of Mr. Batchelor?
"Mr. Duncan Finvay gave an evening concert at the Shaftesbury Park Lecture Hall, on Tuesday, the 15th ult.",Mr. Duncan Finvay,person,(NIL),occupation,What is the occupation of Mr. Duncan Finvay?
"Mr. and Mrs. Wood, it seems, are preparing to depart for America.",Mrs. Wood,person,(NIL),occupation,What is the occupation of Mrs. Wood?
