sentence,span,type,uri,relation,question,gold occupation
"Gavinies published three books of sonatas, and several concertos, which are very highly esteemed by connoisseurs.",Gavinies,person,(Q490205),occupation,What is the occupation of Gavinies?,composer
", I believe Have you ever remonstrated or. petitioned the Lord Chamberlain upon the subject?",Lord Chamberlain,person,(Q541755),occupation,What is the occupation of Lord Chamberlain?,politician
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Mr. C. Hancock,person,(Q16030597),occupation,What is the occupation of Mr. C. Hancock?,composer
"Mr. Liddle officiated as leader of the band, Mr. C. Hancock presided at the harmonium, and Sir George Elvey conducted.",Sir George Elvey,person,(Q5541104),occupation,What is the occupation of Sir George Elvey?,composer; hymnwriter
Mr. Viotti had some share in the management of the King’s Theatre.,Mr. Viotti,person,(Q313188),occupation,What is the occupation of Mr. Viotti?,composer; violinist; music teacher; music interpreter
"of Rameau was represented in 1735, it was a balletopera Les Indes galantes.",Rameau,person,(Q1145),occupation,What is the occupation of Rameau?,composer; organist; choreographer; harpsichordist; musicologist; music theorist; theorist
"Benzamin Rogenrs, son of Peter Rogers of St. George's Chapel, Windsor, was born in that town, and after being a chorister, became a lay - clerk, or singing - man, of the choir of which his father was a member.",Benzamin Rogenrs,person,(Q18546476),occupation,What is the occupation of Benzamin Rogenrs?,composer; organist
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Bach,person,(Q1339),occupation,What is the occupation of Bach?,composer; conductor; virtuoso; concertmaster; organist; choir director; violinist; school teacher; harpsichordist; musicologist; music educator
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Handel,person,(Q7302),occupation,What is the occupation of Handel?,composer; organist; impresario; violinist; university teacher; harpsichordist; opera composer
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Mendelssohn,person,(Q46096),occupation,What is the occupation of Mendelssohn?,writer; composer; conductor; pianist; organist; painter; university teacher; musicologist; music educator
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Cherubini,person,(Q20721),occupation,What is the occupation of Cherubini?,composer; conductor; musicologist; music theorist; music educator
"The programme contained selections from the works of Bach, Handel, Mendelssohn, Cherubini, and Lefébure - Wély.",Lefébure - Wély,person,(Q546919),occupation,What is the occupation of Lefébure - Wély?,composer; pianist; organist
"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Mocre,person,(Q315346),occupation,What is the occupation of Mr. Mocre?,poet; songwriter
"Mr. Mocre is the adaptor of words to this composition, which is a tirana, arranged by Mr. Bishop.",Mr. Bishop,person,(Q1200639),occupation,What is the occupation of Mr. Bishop?,composer; conductor
"Rameau was in despair, and thought to renounce the theatre.",Rameau,person,(Q1145),occupation,What is the occupation of Rameau?,composer; organist; choreographer; harpsichordist; musicologist; music theorist; theorist
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",H. Lazarus,person,(Q5724751),occupation,What is the occupation of H. Lazarus?,composer; clarinetist; saxophonist; musicologist; music educator; wind instrument player
"F. J. Amor, H. Lazarus, Walter Pettit, F. Ralph, P. Sainton, J. Thomas, A. White, and the Principal.",J. Thomas,person,(Q1701921),occupation,What is the occupation of J. Thomas?,composer; music educator
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Batiste,person,(Q274231),occupation,What is the occupation of Batiste?,composer; organist; university teacher; music educator
"Batiste’s Andante in G, an Offertoire by Lefébure - Wély, 2 Fugue by Mendelssohn, and Gounod’s",Lefébure - Wély,person,(Q546919),occupation,What is the occupation of Lefébure - Wély?,composer; pianist; organist
